14.992097126941719: 20456/47276
35.03852595094726: 21312/47276
56.76712750877181: 21810/47276
71.7844448436995: 21999/47276
83.44679938870674: 22104/47276
101.69985711954614: 22163/47276
120.40466845553095: 22211/47276
139.34338575948468: 22302/47276
153.3227159302479: 22326/47276
172.0026032202967: 22405/47276
191.3846432422013: 22413/47276
217.38783228148327: 22743/47276
229.89666045900938: 22745/47276
247.85720702403452: 22773/47276
260.62137635483276: 22781/47276
287.1084567426674: 22797/47276
292.7292880997053: 22800/47276
312.9855847156146: 22805/47276
327.7290117622733: 22805/47276
353.64797882679204: 22881/47276
368.9972152996903: 22884/47276
386.23724764503027: 22970/47276
404.68640258679034: 22970/47276
423.9198232321148: 22981/47276
443.86181536922004: 22981/47276
460.2281349024543: 22984/47276
480.05815390050736: 22984/47276
502.319708842233: 23040/47276
517.2821361444137: 23084/47276
527.816708877489: 23084/47276
547.6332616366662: 23094/47276
564.8980779538491: 23097/47276
586.1554887230025: 23128/47276
603.1714032253681: 23128/47276
607.3800853012327: 23128/47276
628.2697993399136: 23130/47276
638.6499774744068: 23130/47276
662.5642425005693: 23133/47276
673.7613778644696: 23133/47276
688.0795509065656: 23133/47276
711.3844658203652: 23133/47276
733.6448802385679: 23133/47276
758.1440732856344: 23172/47276
775.4740183964714: 23178/47276
793.4148279170852: 23182/47276
815.8904384305367: 23182/47276
825.1671932827164: 23182/47276
842.5402398290471: 23182/47276
861.3649216084639: 23183/47276
888.1220904229164: 23183/47276
907.5509817216345: 23194/47276
917.6034166522586: 23198/47276
945.7879796392789: 23198/47276
950.0779852204978: 23198/47276
974.4897629017656: 23198/47276
994.9815448891416: 23198/47276
1004.5675028548054: 23215/47276
1019.6722521134966: 23215/47276
1036.366346216167: 23215/47276
1046.487823081801: 23215/47276
1103.7117096558136: 23220/47276
1120.0634433581365: 23229/47276
1138.969775613515: 23229/47276
1145.7500138402984: 23230/47276
1178.918795633195: 23393/47276
1196.2864174955164: 23393/47276
1215.5578847678648: 23393/47276
1237.2805585372785: 23393/47276
1247.8115313489875: 23395/47276
1272.6336929426532: 23396/47276
1284.791321615608: 23396/47276
