10.58174038857213: 7887/47276
24.60802822317965: 8835/47276
35.40479487503608: 9388/47276
51.05526234701803: 9556/47276
62.69612257003924: 17205/47276
78.231360697491: 17273/47276
90.01773768355284: 17822/47276
105.03446554071479: 18181/47276
118.77842567150654: 18808/47276
133.35528914482248: 19439/47276
146.87504338006715: 19620/47276
159.02173241843886: 19852/47276
171.6071106718754: 19852/47276
184.82876985599472: 19871/47276
197.30806068549643: 20083/47276
206.8249573626667: 20132/47276
222.8343554217296: 20135/47276
232.15949648522994: 20154/47276
246.53079701197615: 20158/47276
258.8042942734213: 20230/47276
272.9094183079629: 20230/47276
285.8261749945735: 20230/47276
297.4189373938472: 20231/47276
312.17191084686453: 20274/47276
327.11337815958115: 20321/47276
340.3825095498935: 20321/47276
354.7570639750955: 20321/47276
367.1898333693211: 20321/47276
382.810548274785: 20321/47276
396.57045764684864: 20321/47276
409.6187107987203: 20353/47276
424.5801045672436: 20353/47276
439.6442815005418: 20353/47276
450.14523394059876: 20353/47276
465.62667430074896: 20353/47276
478.5493168909936: 20410/47276
488.34412625905605: 20410/47276
502.1762143842325: 20410/47276
515.8732439447257: 20423/47276
526.8232898631607: 20441/47276
542.4987584218093: 20463/47276
556.633832578052: 20542/47276
569.4136538174347: 20639/47276
584.28785029123: 20664/47276
596.7762489118586: 20678/47276
608.4863030304862: 20678/47276
622.5890152395771: 20688/47276
635.2861528788773: 20736/47276
648.7778991640073: 20841/47276
663.9755865225451: 20884/47276
678.2239336639948: 20884/47276
692.1539064449321: 20884/47276
702.4161469495338: 20953/47276
715.9414184028456: 20953/47276
726.9355436670935: 21739/47276
739.9196737359405: 21744/47276
753.8122256260829: 21765/47276
767.9320185931778: 21765/47276
779.7487777549936: 21814/47276
792.2136578031012: 21814/47276
806.04551189841: 21814/47276
818.8973847318: 21814/47276
831.9785447920963: 21814/47276
845.6820859965588: 21814/47276
860.6883293093387: 21814/47276
874.9435236598058: 21861/47276
889.704572272591: 21861/47276
901.8681513118939: 21902/47276
915.972365224306: 21909/47276
930.2188532301851: 21909/47276
942.953030581097: 21909/47276
957.2561819128578: 21909/47276
972.0604786001214: 21909/47276
985.453151159431: 21974/47276
997.2205255064061: 22048/47276
1009.2915881484374: 22048/47276
1023.3900950956347: 22052/47276
1034.871085888987: 22077/47276
1048.4576072601105: 22077/47276
1061.3068000254182: 22077/47276
1074.671313785654: 22080/47276
1088.2562903386763: 22110/47276
1102.6372152480728: 22159/47276
1119.004161215672: 22189/47276
1132.530365920961: 22189/47276
1147.494967968023: 22189/47276
1158.9359357361764: 22189/47276
1172.783652815308: 22189/47276
1185.9696137824167: 22189/47276
1200.769591859439: 22189/47276
1212.0246634004773: 22189/47276
1226.239698172424: 22201/47276
1240.459435630483: 22267/47276
1254.5674128181295: 22267/47276
1267.9258169327745: 22267/47276
1279.1402179748661: 22267/47276
1292.1314937442876: 22267/47276
1304.904433302667: 22279/47276
1313.5158951552798: 22297/47276
1365.7773849722207: 22299/47276
1414.3947955221613: 22299/47276
1449.334560692166: 22299/47276
1457.9582842813038: 22339/47276
1468.0701635414086: 22487/47276
1479.8518302539712: 22487/47276
1489.5314377246705: 22487/47276
1500.0357854090978: 22487/47276
1507.9605775875184: 22487/47276
1516.5406402937945: 22487/47276
1527.805999375507: 22487/47276
1535.9199463324574: 22489/47276
1547.834987154021: 22489/47276
1556.1662339835573: 22489/47276
1567.0664113874109: 22489/47276
1579.909984369668: 22489/47276
1587.468528400482: 22489/47276
1596.75966744197: 22489/47276
1607.059553428859: 22498/47276
1619.3808173440716: 22498/47276
1630.3147306682145: 22498/47276
1641.0624737667754: 22498/47276
1651.5001063257123: 22498/47276
1660.5212104571738: 22498/47276
1669.3361870760489: 22514/47276
1680.3874974796947: 22514/47276
1692.7138550581226: 22514/47276
1701.7178878849056: 22514/47276
1715.0523553440555: 22514/47276
1722.7845219593055: 22514/47276
1734.6556596868113: 22514/47276
1745.5005035609213: 22514/47276
1757.0450354194038: 22514/47276
1766.030374695534: 22514/47276
1776.8665406785306: 22514/47276
1783.2481021285855: 22514/47276
1795.9909554394037: 22514/47276
1804.2140178133461: 22524/47276
1815.3547934768865: 22524/47276
1824.5342565196177: 22524/47276
1834.0258478688534: 22524/47276
1843.8373500659557: 22524/47276
1854.515981365175: 22524/47276
1862.6395872745543: 22526/47276
1873.9186921299158: 22526/47276
1883.6891955841556: 22531/47276
1892.5772906408836: 22531/47276
1902.2503132690426: 22531/47276
1915.182683926531: 22555/47276
1923.4444073918992: 22555/47276
1933.096235066122: 22573/47276
1944.0172397233514: 22573/47276
1953.0360869677731: 22573/47276
1962.8334807382057: 22573/47276
1972.8362038061994: 22573/47276
1982.5980883379611: 22573/47276
1993.2572558340198: 22573/47276
2004.9243392041437: 22573/47276
2014.632761717512: 22573/47276
2022.0033888867056: 22573/47276
2033.3162296660187: 22573/47276
2044.6764016060076: 22573/47276
2057.4386165877077: 22573/47276
2065.699141033517: 22573/47276
2075.834144373237: 22573/47276
2086.6363682249457: 22573/47276
2098.175594941906: 22573/47276
2111.0247217059823: 22580/47276
2120.299101985036: 22580/47276
2132.1197436908687: 22580/47276
2143.283358510497: 22600/47276
2155.6197792350113: 22600/47276
2162.686744591941: 22602/47276
2173.8145551022685: 22602/47276
2184.4033467539184: 22602/47276
2194.641053042576: 22602/47276
2203.293640190869: 22602/47276
2215.176930442844: 22602/47276
2225.4503285205574: 22602/47276
2232.8523259452695: 22605/47276
2244.508086433146: 22605/47276
2253.0948691180874: 22606/47276
2264.2992029279235: 22606/47276
2274.0037319508274: 22606/47276
2287.039717404716: 22617/47276
2297.0718004013524: 22617/47276
2307.2784714124887: 22617/47276
2317.219599536102: 22617/47276
2327.2907298798773: 22617/47276
2338.504343817337: 22617/47276
2353.2242804452967: 22617/47276
2367.156331409431: 22617/47276
2376.002569786029: 22617/47276
2387.8888530399695: 22617/47276
2398.912597493005: 22617/47276
2407.973830523312: 22617/47276
2419.52910057399: 22617/47276
2430.963690920477: 22617/47276
2437.928252299812: 22617/47276
2448.17023907375: 22617/47276
2460.1561263477893: 22617/47276
2470.6087043328826: 22617/47276
2481.2670558470945: 22617/47276
2493.937870572989: 22617/47276
2504.342773842115: 22617/47276
2511.581211526687: 22617/47276
2525.7556472407014: 22617/47276
2533.4500926185538: 22617/47276
2542.529497282539: 22617/47276
2551.8840550484438: 22617/47276
2561.485499672629: 22617/47276
2570.1719539015594: 22617/47276
2578.548067500015: 22617/47276
2586.1530914117147: 22617/47276
2596.5923125507948: 22617/47276
2605.5803716142354: 22617/47276
2614.2779442345036: 22617/47276
2623.8086624209136: 22617/47276
2634.6780676426197: 22617/47276
2641.4210833132297: 22620/47276
2649.532740323732: 22620/47276
2659.5319512118012: 22620/47276
2669.083815289833: 22620/47276
2676.9325155521665: 22620/47276
2685.806450016178: 22620/47276
2693.134150099512: 22620/47276
2706.506791320088: 22620/47276
2721.1834853540286: 22620/47276
2738.5359480586994: 22631/47276
2751.191237484668: 22631/47276
2764.3905947453354: 22631/47276
2777.3355453128083: 22631/47276
2791.273154664429: 22631/47276
2803.247865563204: 22631/47276
2815.3916209401164: 22631/47276
2829.434340053725: 22643/47276
2841.000137983982: 22643/47276
2858.119359986467: 22643/47276
2873.1644698966693: 22643/47276
2886.5972767506187: 22643/47276
2898.656524371062: 22643/47276
2910.112613297899: 22643/47276
2924.2901385726022: 22643/47276
2937.1639958122882: 22643/47276
2951.844457262667: 22643/47276
2968.2514100929175: 22643/47276
2979.5932338808598: 22643/47276
2994.3375970711786: 22643/47276
3006.5591896636447: 22643/47276
3021.5770526849947: 22670/47276
3035.1392646295512: 22670/47276
3050.5214328561324: 22670/47276
3063.7958945201985: 22670/47276
3080.352595985802: 22680/47276
3093.8869287331677: 22680/47276
3109.978060719296: 22680/47276
3121.811935795768: 22680/47276
3134.282034239125: 22680/47276
3147.5231949345157: 22680/47276
3154.7950732206273: 22680/47276
3165.3915585433106: 22680/47276
3173.4515169258334: 22680/47276
3184.3671653771476: 22680/47276
3193.522853364901: 22680/47276
3203.1536464448795: 22680/47276
3212.378909831307: 22680/47276
3222.555394539845: 22680/47276
3234.4299444328017: 22680/47276
3242.4092134354723: 22680/47276
3252.044834450947: 22680/47276
3261.1931431026524: 22680/47276
3270.6122068151044: 22731/47276
3281.895232188593: 22766/47276
3291.661428342277: 22771/47276
3302.664474891886: 22775/47276
3312.434255933705: 22807/47276
3321.909026775518: 22846/47276
3331.209656990694: 22846/47276
3341.724875683457: 22846/47276
3350.9637480266083: 22846/47276
3358.9097092709153: 22846/47276
3372.0671463195076: 22846/47276
3379.8419912658824: 22851/47276
3391.5880078645987: 22851/47276
3402.3143021584583: 22851/47276
3412.364998473997: 22851/47276
3424.991026231053: 22851/47276
3434.018000166141: 22851/47276
3443.5365374242356: 22851/47276
3455.7324279234886: 22861/47276
3462.6543193962416: 22864/47276
3473.884242909687: 22864/47276
3481.4746184886703: 22864/47276
3492.096454369627: 22879/47276
3501.6681997607093: 22879/47276
3512.1850717311986: 22879/47276
3522.2360747280086: 22879/47276
3530.2222582939694: 22879/47276
3540.9970176873835: 22879/47276
3552.7849330441118: 22879/47276
3565.2660404407775: 22879/47276
3575.7570631262665: 22971/47276
3584.485438652736: 22971/47276
3594.756517034921: 22971/47276
3603.625624411829: 22971/47276
3613.5884468035592: 22971/47276
3623.3656841205175: 22971/47276
3632.3280696792676: 22971/47276
3642.0233574218573: 22971/47276
3652.5311520468895: 22971/47276
3661.001496982969: 22971/47276
3669.9370344383565: 22971/47276
3679.4309597054435: 22971/47276
3687.464106061569: 22971/47276
3701.984339985037: 22979/47276
3711.59890759276: 22979/47276
3719.1114881330777: 22979/47276
3729.6596833761914: 22979/47276
3739.6929963828175: 22979/47276
3748.2689621832196: 22979/47276
3755.3602254133966: 22979/47276
3764.978664049862: 22979/47276
3775.413293033861: 22979/47276
