20.087788581848145: 4813/19268
65.68243074417114: 5439/19268
109.90760517120361: 5596/19268
166.74408650398254: 5951/19268
178.55964255332947: 5971/19268
231.44922065734863: 6084/19268
283.04068183898926: 6156/19268
324.17534136772156: 6182/19268
364.7171835899353: 6191/19268
413.63859820365906: 6239/19268
459.3324158191681: 6248/19268
496.9716145992279: 6248/19268
513.6002864837646: 6263/19268
564.0315194129944: 6304/19268
616.1865243911743: 6319/19268
656.8644347190857: 6320/19268
702.9852397441864: 6320/19268
747.55899477005: 6327/19268
761.185033082962: 6329/19268
800.1381251811981: 6346/19268
848.259598493576: 6351/19268
889.1428446769714: 6356/19268
933.0174391269684: 6362/19268
980.1160101890564: 6364/19268
1031.8521182537079: 6374/19268
1075.147564649582: 6384/19268
1114.4181814193726: 6385/19268
1130.0619223117828: 6388/19268
1180.6099154949188: 6397/19268
1220.9987199306488: 6397/19268
1258.696801662445: 6399/19268
1328.8947057724: 6500/19268
1351.742544412613: 6502/19268
1393.5607733726501: 6502/19268
1442.941549539566: 6503/19268
1451.598391532898: 6503/19268
1459.4573166370392: 6503/19268
1498.6528046131134: 6503/19268
1541.75310921669: 6506/19268
1585.832543849945: 6506/19268
1632.7478597164154: 6528/19268
1673.7631719112396: 6528/19268
1714.6726973056793: 6528/19268
1740.1995947360992: 6530/19268
1788.5643637180328: 6544/19268
1832.7546679973602: 6544/19268
1880.9003641605377: 6549/19268
1911.4871408939362: 6549/19268
1920.066665172577: 6549/19268
1978.2925345897675: 6553/19268
2028.0964624881744: 6566/19268
2074.8270127773285: 6566/19268
2083.68439912796: 6566/19268
2126.8912630081177: 6570/19268
2137.9697608947754: 6570/19268
2193.5907547473907: 6570/19268
2256.583869934082: 6576/19268
2298.6648240089417: 6576/19268
2349.0331778526306: 6578/19268
2401.0695872306824: 6580/19268
2453.6771862506866: 6584/19268
2462.5617451667786: 6584/19268
2471.1957454681396: 6584/19268
2516.1548302173615: 6584/19268
2556.831585407257: 6584/19268
2603.2477798461914: 6584/19268
2650.034417629242: 6584/19268
