8.672211412614741: 3928/19268
16.26307000903971: 4318/19268
22.747594863970736: 4447/19268
32.40755388888437: 4471/19268
40.74646616686917: 4515/19268
49.39552663920652: 4801/19268
58.61169509166588: 4828/19268
64.53835056113313: 4900/19268
73.38544326483442: 4900/19268
79.7102304345506: 4950/19268
86.0727571203948: 5288/19268
96.1918536926306: 5328/19268
107.61259161877075: 5338/19268
112.80479134916929: 5356/19268
122.0545575374635: 5427/19268
125.67017075852448: 5512/19268
138.95685886096817: 5516/19268
146.55728774512508: 5530/19268
154.7926328563859: 5549/19268
164.10070701240784: 5555/19268
173.0026837412103: 5566/19268
182.26139589111767: 5581/19268
191.80212673530107: 5581/19268
197.7338973031468: 5587/19268
208.1427161227208: 5612/19268
215.1782637307492: 5663/19268
221.1405620948355: 5671/19268
231.40058482127597: 5745/19268
237.6169602965996: 5748/19268
247.57449182308142: 5749/19268
257.20518619071953: 5749/19268
262.67527947175927: 5759/19268
270.001923884568: 5773/19268
279.25340500851075: 5778/19268
289.11623699633157: 5778/19268
293.8977489467059: 5778/19268
302.71480310390046: 5778/19268
310.1386455370706: 5784/19268
318.0102804471975: 5784/19268
327.33123839930585: 5784/19268
335.686926875702: 5784/19268
341.54596935733764: 5793/19268
351.8157054578895: 5797/19268
359.65623058676766: 5805/19268
370.37797316383654: 5808/19268
376.6742232941078: 5808/19268
385.5535275360061: 5812/19268
391.4062431792557: 5814/19268
401.2967885447935: 5932/19268
406.597681845337: 5966/19268
417.6021691877581: 5967/19268
427.4552021491391: 5967/19268
433.3914039450627: 5971/19268
442.22830406978215: 5972/19268
448.32537426438705: 5981/19268
461.2594460474788: 5981/19268
464.87517411784006: 5983/19268
473.99639274802547: 5990/19268
482.3138061174735: 5990/19268
492.17374675173886: 5990/19268
496.2685330830503: 5990/19268
507.1383544044449: 6053/19268
515.7717316810259: 6057/19268
526.3694218161766: 6083/19268
529.5250448473455: 6107/19268
539.8991089718039: 6109/19268
546.4954145778518: 6109/19268
556.4834878379314: 6109/19268
566.6314864113876: 6109/19268
573.2739757935881: 6109/19268
589.4900324915686: 6109/19268
598.2474711914421: 6114/19268
607.05881985162: 6116/19268
611.6916779228094: 6116/19268
621.8589334249783: 6141/19268
631.0196474631259: 6141/19268
642.9240022168901: 6141/19268
647.1204012492681: 6141/19268
660.8904467860694: 6141/19268
668.4187390925126: 6141/19268
673.8101768825306: 6141/19268
684.6778349445035: 6152/19268
691.9495832646866: 6157/19268
702.2686450302772: 6164/19268
708.0723060512975: 6164/19268
717.8048344836895: 6167/19268
723.9702054325525: 6167/19268
734.3425716638143: 6167/19268
739.714707402369: 6168/19268
746.1082873655839: 6168/19268
753.7341855090822: 6168/19268
771.3131790142029: 6168/19268
774.2777663131317: 6168/19268
785.5658158104778: 6169/19268
792.4108177296083: 6169/19268
802.7435354598838: 6169/19268
811.7197869326797: 6169/19268
819.9727797823342: 6169/19268
829.1151493134712: 6169/19268
834.8765451092819: 6170/19268
843.8719911525642: 6176/19268
849.13385616448: 6176/19268
861.022207163612: 6191/19268
865.0081810951885: 6191/19268
875.3220254211401: 6192/19268
883.41905327706: 6192/19268
891.539013305453: 6192/19268
897.5196197986522: 6192/19268
910.601165101606: 6192/19268
919.2231695991405: 6192/19268
922.0622195175775: 6217/19268
933.1633501733107: 6217/19268
948.7549478007387: 6217/19268
952.5303709914673: 6220/19268
959.8726591182759: 6220/19268
970.2135330671117: 6220/19268
977.6417766024776: 6220/19268
992.9414425007207: 6220/19268
999.6195613535837: 6220/19268
1008.6296772811885: 6220/19268
1015.7732270668575: 6220/19268
1024.663526320131: 6220/19268
1031.966587127672: 6228/19268
1045.9759704134422: 6228/19268
1054.407813044842: 6228/19268
1058.2727149326427: 6242/19268
1068.5302717703344: 6242/19268
