14.461796557007474: 17588/47276
25.02815760335914: 17912/47276
44.45694665074273: 21325/47276
57.356735520838534: 21708/47276
73.0713212081094: 21949/47276
89.52355026693061: 22214/47276
105.5447363294657: 22275/47276
121.77333405137601: 22296/47276
134.39385187688666: 22313/47276
145.5800382010653: 22377/47276
161.24983978682002: 22650/47276
178.04976002172398: 22739/47276
194.6477250503316: 22750/47276
207.681249097982: 22948/47276
219.98198158468136: 22984/47276
233.1170017898394: 23012/47276
253.3841709887588: 23023/47276
266.132567334392: 23043/47276
277.2925065379235: 23107/47276
289.8636958862503: 23114/47276
309.5541841401349: 23124/47276
320.0207801649975: 23124/47276
335.6724778521282: 23125/47276
352.3343359639533: 23150/47276
364.0442014055923: 23150/47276
382.32804655362645: 23152/47276
395.7394832375315: 23175/47276
409.3490546240847: 23175/47276
422.10241367587935: 23177/47276
435.13623451592497: 23177/47276
442.34379345557153: 23177/47276
463.1587068163081: 23241/47276
473.05328165529073: 23243/47276
489.19333711339345: 23244/47276
502.3813379967296: 23291/47276
513.2672791080831: 23294/47276
529.6268123452214: 23300/47276
551.7424982302124: 23303/47276
563.5096387561739: 23323/47276
579.4909059987002: 23324/47276
605.751201458613: 23384/47276
619.765849550287: 23384/47276
640.2427913617821: 23384/47276
653.1069290454984: 23384/47276
662.2042900932637: 23385/47276
680.473221048605: 23387/47276
687.9085939696645: 23387/47276
700.4776759611597: 23387/47276
714.8970611323147: 23391/47276
727.8823502150617: 23391/47276
746.7772478621587: 23391/47276
757.6009047777378: 23391/47276
771.8813680191948: 23391/47276
781.5927327595628: 23393/47276
794.9222632473547: 23393/47276
809.855673023395: 23393/47276
821.8192967069234: 23393/47276
840.5103946262826: 23393/47276
848.4660383514941: 23393/47276
860.9952565189756: 23393/47276
880.1638667301539: 23393/47276
890.8560302325035: 23394/47276
908.6148852717956: 23404/47276
921.9227727581969: 23408/47276
944.5405516810031: 23412/47276
960.2097678383296: 23412/47276
975.5820592860233: 23412/47276
988.2952972726964: 23412/47276
1002.6923128425452: 23412/47276
1013.0679735306963: 23412/47276
1026.6829817310838: 23413/47276
1040.7931856615296: 23438/47276
1055.031555965151: 23438/47276
1067.2696470158044: 23439/47276
1078.0624334069064: 23439/47276
1093.4266798748608: 23439/47276
1108.179782552469: 23439/47276
1122.02560538813: 23439/47276
1135.2734074876823: 23439/47276
1155.2556616275933: 23443/47276
1161.7918749073363: 23444/47276
1180.1215861356377: 23444/47276
1193.3758668020396: 23444/47276
1208.2579766327467: 23445/47276
1222.4503997875015: 23445/47276
1241.7075422814275: 23448/47276
1258.9455187438805: 23449/47276
1268.1064802590201: 23449/47276
1278.9251475360365: 23449/47276
1288.7086500851522: 23469/47276
1298.953467212539: 23469/47276
1312.3996113222556: 23469/47276
1327.446718180908: 23471/47276
1339.8357607010716: 23471/47276
1370.7337510416214: 23471/47276
1385.8604482305536: 23471/47276
1402.4181409021028: 23471/47276
1417.7013800228224: 23471/47276
1434.2301256563621: 23471/47276
1446.0042802678474: 23471/47276
1458.9567131752347: 23471/47276
1469.2522041152129: 23474/47276
1483.3018828434779: 23485/47276
1495.3091697441514: 23488/47276
1511.1496701451435: 23492/47276
1527.1961041786358: 23495/47276
1535.1279960727015: 23497/47276
1555.5721852538263: 23497/47276
1572.4505869759423: 23498/47276
1586.181000918864: 23513/47276
1600.4855511620524: 23513/47276
1606.2935664985953: 23513/47276
1625.195444970124: 23513/47276
1639.0436869710234: 23513/47276
1654.7381553284426: 23516/47276
1673.970042897706: 23517/47276
1687.3466851597361: 23517/47276
1703.8340302763388: 23519/47276
1718.0807577264209: 23525/47276
1730.3657516924993: 23525/47276
1743.5126045532365: 23619/47276
1757.9810222736826: 23622/47276
1770.7840699369751: 23622/47276
1783.068422348043: 23625/47276
1799.4642295523556: 23625/47276
1810.5399979655333: 23625/47276
1825.39089304443: 23625/47276
1843.4168437743247: 23625/47276
1862.0291256470975: 23631/47276
1875.1860888129445: 23631/47276
1890.0182913133651: 23631/47276
1902.5261891678783: 23631/47276
1917.2798479398757: 23631/47276
1933.154153386049: 23631/47276
