84.96668392936832: 5424/19268
160.69661110621982: 6004/19268
236.9436910345654: 6473/19268
309.77457158384027: 6488/19268
384.2811045901931: 6532/19268
477.2464885133102: 6730/19268
531.1430944339137: 6731/19268
619.7474426835789: 6732/19268
683.1474909787594: 6732/19268
775.7548329123073: 6732/19268
864.2166761053663: 6732/19268
934.8026543935185: 6732/19268
1018.9935625792305: 6741/19268
1126.7017171710588: 6745/19268
1177.3417284367754: 6745/19268
1260.2203458516192: 6745/19268
1364.701305047328: 6745/19268
1439.9357406924548: 6745/19268
1527.4657161747236: 6745/19268
1600.642389978718: 6745/19268
1675.3830095196142: 6745/19268
1764.286692656282: 6745/19268
1841.3431568086503: 6745/19268
1915.3887063356283: 6745/19268
1976.411869732671: 6745/19268
2072.079274520548: 6746/19268
2149.735415943056: 6746/19268
2254.8109445255473: 6746/19268
2322.2854317105894: 6746/19268
2392.1341659353807: 6747/19268
2471.4389799427936: 6747/19268
2523.110982675636: 6747/19268
2625.4035669748987: 6747/19268
2711.14266961298: 6751/19268
2764.3072002986696: 6751/19268
2852.657186473088: 6752/19268
2905.046781360829: 6752/19268
2970.72791663821: 6756/19268
3042.7788712858014: 6756/19268
3131.5703016142857: 6757/19268
3181.079002411668: 6757/19268
3254.0546343523174: 6757/19268
3338.5275674091185: 6757/19268
3435.3813765640975: 6757/19268
3495.856326648392: 6757/19268
3556.568886711703: 6757/19268
3648.4079897369106: 6760/19268
3725.866249067379: 6760/19268
3817.5319853714695: 6760/19268
3872.586977217378: 6760/19268
3938.090174821165: 6763/19268
4011.4813138940467: 6764/19268
4075.4463792477636: 6764/19268
4158.600016127476: 6764/19268
4212.937686765715: 6764/19268
4301.247873174024: 6764/19268
4374.887537161758: 6765/19268
4427.1794524244315: 6765/19268
4518.384145570701: 6765/19268
4600.8918768092435: 6765/19268
4669.689569926572: 6765/19268
4723.612192055173: 6765/19268
4816.298440281004: 6765/19268
4897.775921126086: 6765/19268
4971.388088995198: 6765/19268
5049.046236169421: 6769/19268
5111.252736451778: 6772/19268
5193.778053991023: 6772/19268
5295.28681531874: 6772/19268
5365.42929994402: 6772/19268
5448.398460756013: 6772/19268
5509.21788808085: 6772/19268
5594.5559190663: 6776/19268
5655.649300796914: 6776/19268
5738.402315215446: 6776/19268
5811.250178257993: 6776/19268
5880.204186588492: 6776/19268
5954.503353315528: 6776/19268
6025.658537800071: 6776/19268
6118.421635165125: 6776/19268
6201.171058708643: 6776/19268
6272.218179046467: 6776/19268
6349.544158536157: 6777/19268
6425.3185320353405: 6777/19268
6497.298880128121: 6779/19268
6580.167953310514: 6779/19268
6652.070152319307: 6779/19268
6752.944562874702: 6779/19268
6819.166066104382: 6779/19268
6878.696747069722: 6779/19268
6937.130708177458: 6779/19268
7016.197173176927: 6779/19268
7099.1215941605915: 6782/19268
7170.564019412819: 6783/19268
7260.30900763096: 6784/19268
7342.6664526530485: 6784/19268
7428.190531500515: 6784/19268
7514.092793126568: 6784/19268
7560.551579490982: 6784/19268
7635.769308142467: 6785/19268
7708.9105974707345: 6785/19268
7766.741007448196: 6785/19268
7877.511540038688: 6785/19268
7942.343819517206: 6785/19268
7996.413431105284: 6785/19268
8092.063417669338: 6785/19268
8164.643899341501: 6789/19268
8237.54892503987: 6789/19268
8310.997486387967: 6789/19268
8371.230438419432: 6789/19268
8456.961961320341: 6790/19268
8557.279092289946: 6791/19268
8622.193633143428: 6791/19268
8684.73659772782: 6791/19268
8769.162850158174: 6791/19268
8850.097015931025: 6792/19268
8927.277026560987: 6793/19268
9013.566811560755: 6793/19268
9082.22033580498: 6793/19268
9185.881016571013: 6793/19268
9260.15738598693: 6793/19268
9335.734027595963: 6793/19268
9396.933665997423: 6793/19268
9465.782324682415: 6793/19268
9550.430151207196: 6793/19268
9618.584199389312: 6793/19268
9696.841917483882: 6796/19268
9777.938136382965: 6803/19268
9853.745606942723: 6803/19268
9942.553003742112: 6803/19268
10013.87623337992: 6803/19268
10108.72829939953: 6803/19268
10185.444623545827: 6804/19268
10260.205303414328: 6804/19268
10325.022975366675: 6804/19268
10410.837373007073: 6804/19268
10484.507676698071: 6805/19268
10559.274696999955: 6805/19268
10632.932173941103: 6806/19268
10680.58643100271: 6806/19268
10752.33657526173: 6806/19268
10825.41663201188: 6806/19268
10915.768647438084: 6806/19268
10984.221314636497: 6806/19268
11067.379752390169: 6806/19268
11136.739607675703: 6806/19268
11209.61875928174: 6806/19268
11293.533360101728: 6807/19268
11375.380757527519: 6807/19268
11438.397973658648: 6810/19268
11511.4483115457: 6810/19268
11589.045941173708: 6810/19268
11680.288609140145: 6810/19268
11748.521124881026: 6810/19268
11829.478415196398: 6811/19268
11929.269157113773: 6811/19268
11995.708045747437: 6811/19268
12065.319874904515: 6811/19268
12158.241879991354: 6811/19268
12221.548284288221: 6812/19268
12311.969397559627: 6812/19268
12369.67734665454: 6812/19268
12456.712499995832: 6812/19268
12528.552151497668: 6812/19268
12588.410556756475: 6812/19268
12637.862722221904: 6812/19268
12733.140790716632: 6812/19268
12817.940593660418: 6812/19268
12914.278607872637: 6812/19268
12980.81810853131: 6812/19268
13044.308066853597: 6813/19268
13133.892115568684: 6813/19268
13188.643372505958: 6813/19268
13266.881498366496: 6813/19268
13330.974020687085: 6817/19268
13406.243140416773: 6817/19268
13495.318471941018: 6817/19268
13576.898217970083: 6817/19268
13643.31918693378: 6818/19268
13726.869370477467: 6819/19268
13804.302123863783: 6819/19268
13870.958838749266: 6819/19268
13951.023811867604: 6822/19268
14026.374598144293: 6822/19268
14114.835494123985: 6822/19268
14203.280987172722: 6825/19268
14278.259189291995: 6826/19268
14353.33225791446: 6826/19268
14421.418289239815: 6827/19268
14515.463124912627: 6828/19268
14585.408296433252: 6829/19268
14680.014839848869: 6829/19268
14742.681049444302: 6829/19268
14835.40074896532: 6829/19268
14909.745919291603: 6829/19268
14992.166674769109: 6830/19268
15071.64635580962: 6830/19268
15142.55085050702: 6830/19268
15249.232496394237: 6830/19268
15300.000113728205: 6830/19268
15372.86587140955: 6830/19268
15452.03834860295: 6830/19268
15536.922340651112: 6831/19268
15625.082678630968: 6831/19268
15703.530400163165: 6831/19268
15790.290859745188: 6831/19268
15890.878290217639: 6831/19268
15967.627080435912: 6831/19268
16054.706277727899: 6831/19268
16105.96941939537: 6831/19268
16186.020171390048: 6831/19268
16257.697288810312: 6831/19268
16337.217142594565: 6831/19268
16405.675412709297: 6831/19268
16492.77117327121: 6831/19268
16581.619566032565: 6831/19268
16667.738344362526: 6831/19268
16748.20259719125: 6831/19268
16856.857059503032: 6831/19268
16924.83538364891: 6831/19268
17003.610600511318: 6835/19268
17083.772933468706: 6835/19268
17166.37946394596: 6835/19268
17285.953532362524: 6835/19268
17342.8785631827: 6839/19268
17423.952047338422: 6839/19268
17516.17225383659: 6839/19268
17571.099381500564: 6840/19268
17679.416517133504: 6842/19268
17749.01165930149: 6843/19268
17810.427528047305: 6843/19268
17901.76745663274: 6843/19268
17987.745457334997: 6843/19268
18061.530407767128: 6843/19268
18130.953807665926: 6843/19268
18205.78985626393: 6843/19268
18281.51269795075: 6846/19268
18369.32495421698: 6846/19268
18443.506920772827: 6847/19268
18534.84420595349: 6847/19268
18600.27782605538: 6848/19268
18699.523947276895: 6848/19268
18777.064414408185: 6848/19268
18874.475673443823: 6848/19268
18941.047407091737: 6848/19268
19044.953096411435: 6849/19268
19092.193150693693: 6849/19268
19180.838737028447: 6849/19268
19240.885756523727: 6850/19268
19311.886521093216: 6850/19268
19380.43689630663: 6850/19268
19461.020884970472: 6850/19268
19528.26244756993: 6850/19268
19596.89598489944: 6850/19268
19680.214589950054: 6850/19268
19778.964340964423: 6850/19268
19841.779462333583: 6850/19268
19907.753968442667: 6851/19268
19999.599016355427: 6851/19268
20058.351128821643: 6851/19268
20168.933958914997: 6853/19268
20265.652860490463: 6853/19268
20345.506957296577: 6853/19268
20431.90628641403: 6853/19268
20488.793388620794: 6853/19268
20560.649689611768: 6858/19268
20645.54603439207: 6858/19268
20719.284524423118: 6858/19268
20809.61543055641: 6858/19268
20893.003708430868: 6858/19268
20998.70697870472: 6858/19268
21081.76970246143: 6858/19268
21163.489618905627: 6858/19268
21247.243054040988: 6858/19268
21331.65903454255: 6858/19268
21395.327256077984: 6858/19268
21473.671298843376: 6858/19268
21525.987853443654: 6858/19268
21618.369030225305: 6858/19268
21693.739093843287: 6858/19268
21755.86198967638: 6858/19268
21836.283597386577: 6858/19268
21923.03207627525: 6862/19268
21988.74075772277: 6862/19268
22075.644756337784: 6862/19268
22140.85544131267: 6862/19268
22222.930830741567: 6862/19268
22303.232636375018: 6862/19268
22386.77000771594: 6862/19268
22458.678276155435: 6863/19268
22567.27318167766: 6863/19268
22642.757651252254: 6867/19268
22698.134582195344: 6867/19268
22791.033522035355: 6867/19268
22867.944541197776: 6868/19268
22950.308565949683: 6868/19268
23017.432466432987: 6868/19268
23116.609055444493: 6868/19268
23177.572912089272: 6868/19268
23267.08581655001: 6868/19268
23360.932308041538: 6868/19268
23431.46590489362: 6868/19268
23507.15374451211: 6868/19268
23572.285078421162: 6868/19268
23662.268655748623: 6869/19268
23761.524137899043: 6869/19268
23815.679396724176: 6869/19268
23892.65420639744: 6869/19268
23997.619901547983: 6869/19268
24045.99375687072: 6869/19268
24134.13867870688: 6871/19268
24210.533597909172: 6871/19268
24301.739403079617: 6871/19268
24365.36917719099: 6871/19268
24453.08728680897: 6871/19268
24544.641079520297: 6871/19268
24620.847612516365: 6871/19268
24685.244603510302: 6873/19268
24756.74800217836: 6873/19268
24840.276037458898: 6873/19268
24914.85168645828: 6873/19268
24998.547908984256: 6873/19268
25077.067771715057: 6873/19268
25159.7042250245: 6876/19268
25234.73564132451: 6876/19268
25307.099201117275: 6876/19268
25402.44944416762: 6876/19268
25472.861292535974: 6876/19268
25553.353922411512: 6876/19268
25611.57000294797: 6876/19268
25716.04830792615: 6879/19268
25770.608935092278: 6880/19268
25854.1751684852: 6880/19268
25928.439534291494: 6880/19268
26025.08546555274: 6880/19268
26086.514302275158: 6880/19268
26178.293037598065: 6880/19268
26262.002223632913: 6880/19268
26316.657269841628: 6880/19268
26371.72013232933: 6880/19268
26451.37904230973: 6881/19268
26549.78392339309: 6881/19268
26608.98438009676: 6881/19268
26701.058055015572: 6881/19268
26757.397949754202: 6881/19268
26843.136595508437: 6881/19268
26947.087814757135: 6881/19268
27011.96913489826: 6884/19268
27079.99947536774: 6884/19268
27137.619348689826: 6884/19268
27210.140725553607: 6884/19268
27281.693155855097: 6884/19268
27350.659853348792: 6884/19268
27436.86539721928: 6884/19268
27508.865808195038: 6884/19268
27571.71283987219: 6884/19268
27643.87582320101: 6886/19268
27709.943703812514: 6886/19268
27796.209092363257: 6886/19268
27895.980432541914: 6886/19268
27989.603704052126: 6886/19268
28063.660441328862: 6886/19268
28146.545986422057: 6886/19268
28237.11373298318: 6886/19268
28327.449052459484: 6887/19268
28418.088237715623: 6887/19268
28494.29223913811: 6887/19268
28548.873007799157: 6887/19268
28657.577136420325: 6887/19268
28732.411879137515: 6888/19268
28812.253694651456: 6888/19268
28872.749453568067: 6888/19268
28963.05737041224: 6888/19268
29034.16195387604: 6888/19268
29115.11698875305: 6888/19268
29199.44146817772: 6888/19268
29292.874780485232: 6895/19268
29376.01586650531: 6896/19268
29456.77002595445: 6897/19268
29557.81622559093: 6898/19268
29618.389668992637: 6898/19268
29683.159722753677: 6898/19268
29773.523004207527: 6898/19268
29837.916273264822: 6898/19268
29926.233559151802: 6898/19268
29999.85917461324: 6898/19268
30046.303841435525: 6898/19268
30140.408246621148: 6898/19268
30227.897886723487: 6899/19268
30298.990445727602: 6899/19268
30381.569533421694: 6900/19268
30477.597019875644: 6900/19268
30553.083510148437: 6900/19268
30635.947486690577: 6900/19268
30704.76701660993: 6900/19268
30787.933526996814: 6900/19268
30879.176189386235: 6900/19268
30953.137184082716: 6900/19268
31023.97535010981: 6900/19268
31091.506806135476: 6901/19268
31182.015536561426: 6901/19268
31269.48023789846: 6901/19268
31327.283791250567: 6902/19268
31414.14597839287: 6902/19268
31501.440559354323: 6902/19268
31584.092635840352: 6902/19268
31647.9806092384: 6902/19268
31728.760735870117: 6902/19268
31792.222296131255: 6902/19268
31875.89456043914: 6902/19268
31967.09273935096: 6902/19268
32036.6666982482: 6902/19268
32111.72232922285: 6902/19268
32181.6886638416: 6903/19268
32255.16815527667: 6903/19268
32352.42259576634: 6903/19268
32452.45086359645: 6903/19268
32505.51529014235: 6903/19268
32574.740712212973: 6903/19268
32682.00742701355: 6903/19268
32756.60467562076: 6908/19268
32846.89710782234: 6908/19268
32948.99461111074: 6908/19268
33038.02607094033: 6908/19268
33086.28911422877: 6909/19268
33178.62464300958: 6910/19268
33249.62219127297: 6910/19268
33331.41245628049: 6910/19268
33417.38824651741: 6910/19268
33499.72478918171: 6910/19268
33556.59882193491: 6910/19268
33634.077302919446: 6910/19268
33704.21347610463: 6911/19268
33779.23656777673: 6911/19268
33867.303951362956: 6911/19268
