36.29145644210294: 23140/47276
70.42137792120599: 23489/47276
89.33863404055214: 23574/47276
119.51915627192793: 23576/47276
134.1275230947646: 23601/47276
169.82278458764955: 23602/47276
201.77346867931456: 23602/47276
236.65366238465674: 23602/47276
246.56573109936213: 23602/47276
276.20074031639075: 23603/47276
296.42303716981183: 23603/47276
310.82761658906907: 23603/47276
334.1841740957151: 23603/47276
372.92579252127285: 23604/47276
401.8617540462833: 23604/47276
438.43187860434074: 23604/47276
464.63645510034013: 23604/47276
479.6293921082973: 23605/47276
517.7522172389379: 23605/47276
551.1105370368223: 23605/47276
579.6109919797457: 23606/47276
617.6856710936922: 23606/47276
652.2140181840227: 23606/47276
669.1245580014423: 23606/47276
695.6380145091908: 23607/47276
729.739168335603: 23607/47276
763.2579354866107: 23607/47276
796.8080459252167: 23608/47276
828.8331732623202: 23608/47276
854.4687999095744: 23608/47276
867.8360039326009: 23608/47276
894.0379570825015: 23609/47276
911.5420599006516: 23609/47276
950.3160918924791: 23609/47276
985.6869204903935: 23609/47276
1006.0528285761709: 23610/47276
1024.3201292087776: 23610/47276
1043.5109547558966: 23610/47276
1081.460166047352: 23610/47276
1118.1925991862843: 23611/47276
1135.146589807632: 23611/47276
1154.8344078484708: 23611/47276
1188.8915988603587: 23611/47276
1208.5179054925609: 23612/47276
1235.6503184462904: 23612/47276
1260.1127832198306: 23612/47276
1287.6469474091678: 23612/47276
1311.4176832064845: 23613/47276
1338.0296650559903: 23613/47276
1376.5239466846456: 23613/47276
1407.4234542636232: 23614/47276
1442.7080134359976: 23614/47276
1481.194314962642: 23614/47276
1496.9520774152077: 23614/47276
1508.0768050953127: 23614/47276
1523.5785424050032: 23615/47276
1555.6100512480775: 23615/47276
1569.7034267389618: 23615/47276
1599.523712253705: 23615/47276
1612.8758945844852: 23615/47276
1641.8881098621828: 23616/47276
1671.5175993005396: 23616/47276
1701.3685761755794: 23616/47276
1739.4916681579243: 23617/47276
1771.1434831165732: 23617/47276
1783.9350435317047: 23617/47276
1796.1111261541841: 23617/47276
1821.744022973598: 23617/47276
1857.6958827650687: 23618/47276
1867.322667462868: 23618/47276
1889.6609983430642: 23618/47276
1924.767458408528: 23618/47276
1945.7583139204983: 23619/47276
1974.170236771409: 23619/47276
1990.7017025121734: 23619/47276
2019.4407437617294: 23619/47276
2034.5756880838337: 23619/47276
2061.9331403292526: 23620/47276
2088.6614432969136: 23620/47276
2113.429939686565: 23620/47276
2145.004115693507: 23620/47276
2178.9208660916584: 23621/47276
2206.0944459198313: 23621/47276
2233.900369505085: 23621/47276
2257.812441670423: 23622/47276
2276.812982937901: 23622/47276
2287.3925674622915: 23622/47276
2304.6848342843955: 23622/47276
2334.8920577504437: 23622/47276
2368.4973277681556: 23623/47276
2382.7231701000364: 23623/47276
2415.9120874474024: 23623/47276
2441.221446276723: 23623/47276
2458.218011649034: 23623/47276
2476.740719187705: 23624/47276
2502.201008231707: 23624/47276
2532.7864305152766: 23624/47276
2552.297630451225: 23624/47276
2564.322577018538: 23624/47276
2583.1549463307197: 23625/47276
2597.2773777487128: 23625/47276
2618.956848759443: 23625/47276
2629.1356056899203: 23625/47276
2639.032410412741: 23625/47276
2661.0734622966775: 23625/47276
2697.1086663238443: 23626/47276
2722.29986226626: 23626/47276
2753.929275066938: 23626/47276
2788.3637048279297: 23627/47276
2803.8266825112682: 23627/47276
2831.917253016544: 23627/47276
2848.0693293765653: 23627/47276
2868.6765175643504: 23627/47276
2887.2645873101974: 23627/47276
2925.6192746383585: 23628/47276
2950.8676243901405: 23628/47276
2964.7662507540126: 23628/47276
2999.169870958137: 23628/47276
3031.1185006310902: 23629/47276
3068.19593256471: 23629/47276
3093.4765602587595: 23629/47276
3109.6306960571724: 23629/47276
3148.3291560557127: 23630/47276
3177.2776355779815: 23630/47276
3199.3046895366483: 23630/47276
3224.53129946651: 23631/47276
3259.8686642373295: 23631/47276
3276.0127021943595: 23631/47276
3300.6534978201607: 23631/47276
3325.560408845133: 23631/47276
3352.7006066645627: 23632/47276
3391.679610114346: 23632/47276
3426.0273009500856: 23632/47276
3438.6286708531475: 23633/47276
3459.1699694940544: 23633/47276
3470.994626806818: 23633/47276
3509.509702090814: 23633/47276
3537.113103200879: 23633/47276
3557.9827847291813: 23634/47276
3568.650383056135: 23634/47276
3589.9381573570286: 23634/47276
3612.5920966560757: 23634/47276
3635.2941715837633: 23634/47276
3648.660528565895: 23634/47276
3663.267737626: 23635/47276
3687.808417545018: 23635/47276
3718.4805379803292: 23635/47276
3749.62485629381: 23635/47276
3763.6890792635836: 23635/47276
3798.4861733392113: 23636/47276
3824.4004967629917: 23636/47276
3834.1438696635882: 23636/47276
3868.284854342088: 23636/47276
3880.6917445081654: 23637/47276
3919.361317183817: 23637/47276
3951.556741967093: 23637/47276
3970.472765491949: 23637/47276
4000.944381987528: 23638/47276
4017.2882619035468: 23638/47276
4035.75400614998: 23638/47276
4048.2060065126566: 23638/47276
4064.510341952295: 23638/47276
4074.807947725642: 23638/47276
4111.244374439764: 23639/47276
4123.943551518563: 23639/47276
4133.122544345299: 23639/47276
4163.462367598529: 23639/47276
4191.9481170197105: 23639/47276
4204.144155168103: 23640/47276
4222.961144343343: 23640/47276
4255.599981232898: 23640/47276
4274.385044007805: 23640/47276
4302.561632266698: 23640/47276
4312.290484655008: 23640/47276
4336.704381630824: 23641/47276
4356.806985102495: 23641/47276
4381.379436254065: 23641/47276
4408.922017590972: 23641/47276
4442.162015184364: 23642/47276
4467.14388641906: 23642/47276
