15.585333432026811: 3731/19268
34.90416622165327: 5351/19268
56.00080604672113: 5781/19268
64.83317401280883: 5804/19268
77.11230783062743: 5877/19268
98.30128891306491: 6011/19268
119.59413026518504: 6011/19268
128.53789512665188: 6194/19268
148.09644193065336: 6194/19268
161.64475702416453: 6194/19268
181.81093766970562: 6194/19268
197.70672482273542: 6194/19268
212.09647282702454: 6194/19268
230.39998425363396: 6194/19268
248.81214150849914: 6194/19268
260.5694266506595: 6194/19268
281.79703580019384: 6296/19268
300.57135534377085: 6296/19268
317.6444980768046: 6296/19268
338.135309284304: 6420/19268
356.1432343628903: 6420/19268
375.3481695212778: 6420/19268
395.90450243947976: 6420/19268
405.5494256902741: 6420/19268
422.2858684110651: 6420/19268
441.0356088430444: 6427/19268
456.1859202653105: 6443/19268
476.3878246703133: 6444/19268
482.44672289421146: 6444/19268
500.5030817531111: 6444/19268
519.3885327744283: 6444/19268
536.9373193499712: 6444/19268
549.7521498944657: 6472/19268
566.8109661156136: 6496/19268
590.9504069142943: 6496/19268
607.7850679550453: 6496/19268
627.2289645084633: 6497/19268
644.0716448345731: 6497/19268
654.0000375538476: 6497/19268
669.6194114724346: 6497/19268
681.683116260584: 6497/19268
692.4556109132169: 6497/19268
707.8601347292237: 6497/19268
715.2720555513414: 6497/19268
720.9473104150338: 6497/19268
728.8860725146661: 6497/19268
746.895167227514: 6505/19268
763.9026148117741: 6505/19268
772.5383677823702: 6505/19268
790.4965489628327: 6505/19268
816.2887975973745: 6564/19268
833.3753286786329: 6641/19268
840.1307935064112: 6641/19268
859.7245574970357: 6641/19268
875.8376715422859: 6641/19268
890.4798932674098: 6641/19268
912.2420283960178: 6641/19268
928.4972747803525: 6641/19268
948.1817786837361: 6641/19268
960.796768368123: 6641/19268
983.0169132491114: 6641/19268
1003.7963835617668: 6677/19268
1018.4505476249061: 6677/19268
1041.3815746435157: 6677/19268
1059.5624938663266: 6677/19268
1071.8303015403612: 6677/19268
1086.3813965238585: 6677/19268
1105.740693438783: 6677/19268
1124.2005797729469: 6677/19268
1139.3740271789582: 6677/19268
1152.1998015615131: 6677/19268
1171.5434823767769: 6677/19268
1189.3432131769512: 6677/19268
1206.4165608809308: 6677/19268
1221.856420047544: 6677/19268
1244.5156052849086: 6677/19268
1260.8461702124268: 6677/19268
1277.5079431043348: 6677/19268
1297.0637774238535: 6677/19268
1319.7278626082166: 6677/19268
1334.8655846465865: 6677/19268
1354.9171808218496: 6677/19268
1375.9375376697294: 6677/19268
1391.3490116624723: 6677/19268
1411.3096699326643: 6677/19268
1418.9913495230767: 6677/19268
1430.3702315294204: 6677/19268
1453.3006908618574: 6677/19268
1467.990638717562: 6677/19268
1488.3228265552482: 6677/19268
1504.993712231126: 6677/19268
1514.1078068263776: 6677/19268
1530.773528492557: 6677/19268
1550.6974044535743: 6677/19268
1567.1682920845626: 6686/19268
1584.2930378807098: 6731/19268
1596.5257904499515: 6731/19268
1611.6621033566992: 6731/19268
1619.6892747242819: 6731/19268
1639.3903187131066: 6731/19268
1660.9109171905786: 6731/19268
1672.5349704911116: 6731/19268
1692.3678151637193: 6731/19268
1711.1538394282659: 6731/19268
1714.3907802064443: 6731/19268
1733.5965029935262: 6731/19268
1750.224226836961: 6731/19268
1767.5959688913906: 6731/19268
1778.8916985744802: 6731/19268
1791.3259096395702: 6731/19268
1807.500541601283: 6731/19268
1817.6490763467814: 6731/19268
1837.5001413014527: 6731/19268
1855.8166597989614: 6731/19268
1874.729279496622: 6731/19268
1892.642600666657: 6731/19268
1913.636000312203: 6731/19268
1921.6279169662291: 6731/19268
1937.8303557079819: 6731/19268
1961.5608391391063: 6731/19268
1973.5719298932804: 6731/19268
1991.2356738025908: 6731/19268
2010.5952930345934: 6731/19268
2028.2860100079492: 6731/19268
2044.9525780021481: 6731/19268
2058.675868954638: 6731/19268
2079.490715783289: 6731/19268
2084.1170617213384: 6732/19268
2102.7458291576827: 6732/19268
2117.922086685336: 6732/19268
2127.232655393335: 6732/19268
2144.4284284509813: 6732/19268
2164.7597883910375: 6732/19268
2178.862786010075: 6732/19268
2199.8861866144266: 6732/19268
2214.1391658997823: 6732/19268
2232.2238770573604: 6732/19268
2250.989479946899: 6732/19268
2267.2576320705766: 6732/19268
2287.4803380883122: 6732/19268
2305.9529035015767: 6732/19268
2322.219601912928: 6732/19268
2342.292048770427: 6732/19268
2360.918380239836: 6732/19268
2379.537496192085: 6738/19268
2389.8651966747616: 6738/19268
2407.4779372063813: 6738/19268
2425.547504234202: 6738/19268
2441.4893132606276: 6738/19268
2457.801551664915: 6738/19268
2476.682767657539: 6738/19268
2491.072907355941: 6738/19268
2508.8254830012243: 6738/19268
2517.9966291466467: 6738/19268
2534.7084542657876: 6738/19268
2549.778691723179: 6738/19268
2562.4725944687575: 6738/19268
2581.529877940872: 6738/19268
2600.212777134976: 6738/19268
2614.8167431082757: 6738/19268
2632.7159622673444: 6738/19268
2646.2327067489155: 6738/19268
2668.696157773377: 6738/19268
2687.362143928027: 6738/19268
