12.513897506674692: 17284/47276
24.00202840940672: 19444/47276
37.28107832031796: 21206/47276
52.53319216936898: 21377/47276
67.76505481485464: 21830/47276
80.74688609153351: 21959/47276
93.32030184974245: 22244/47276
106.75796302266599: 22246/47276
119.52553131582242: 22384/47276
132.38748104996216: 22483/47276
144.99869689913552: 22491/47276
157.91615486128296: 22497/47276
169.19575738277777: 22500/47276
181.00476109492234: 22505/47276
197.32706986026255: 22542/47276
210.88750629826058: 22574/47276
224.2174335644509: 22576/47276
236.98687967084268: 22576/47276
247.8894260254532: 22588/47276
260.36443230894207: 22601/47276
272.4378770571841: 22645/47276
286.3472838502332: 22712/47276
298.34403837357866: 22735/47276
311.085885853487: 22921/47276
323.01198995867077: 22926/47276
335.1287830702404: 22926/47276
346.81234188096795: 22926/47276
359.8518895282302: 22926/47276
372.728534239739: 22995/47276
384.9306655355292: 23033/47276
398.4952860651708: 23033/47276
411.50099242294016: 23081/47276
426.1961033141642: 23083/47276
438.9334732529654: 23090/47276
450.82932169196647: 23092/47276
462.118848434375: 23093/47276
473.99298755434575: 23093/47276
485.2361330754255: 23093/47276
496.4337819301283: 23093/47276
509.5275878704766: 23098/47276
522.4793551567342: 23098/47276
533.5324357766854: 23098/47276
547.3783056108902: 23114/47276
559.6697830107919: 23115/47276
571.703269052517: 23115/47276
583.6300046926602: 23244/47276
599.1789876549833: 23283/47276
610.5751979155759: 23283/47276
623.1929458472476: 23284/47276
634.3963491448948: 23284/47276
648.1213359669736: 23284/47276
661.635390924808: 23285/47276
679.2378685486123: 23286/47276
690.1583715632418: 23286/47276
702.8249724887677: 23286/47276
714.3595203945333: 23286/47276
727.6579906573716: 23286/47276
740.487987490436: 23353/47276
753.7468141378745: 23353/47276
765.1127001471201: 23353/47276
779.1123015666374: 23355/47276
790.5591881558818: 23447/47276
803.3845228175031: 23448/47276
812.5322678664197: 23448/47276
825.1067036500026: 23448/47276
837.1102918287767: 23448/47276
848.7325851188167: 23448/47276
861.2353923892069: 23448/47276
873.4903580306575: 23448/47276
887.2223989875171: 23448/47276
898.984691932454: 23448/47276
908.3610241228055: 23448/47276
918.2542410529392: 23448/47276
937.0649877371732: 23448/47276
946.6528612940516: 23448/47276
960.2412889349979: 23448/47276
972.3213745913124: 23448/47276
984.524531305934: 23448/47276
993.5524064589373: 23448/47276
1005.9484954526131: 23448/47276
1015.6940642821678: 23448/47276
1028.6476019958038: 23448/47276
1040.434065428206: 23459/47276
1050.587876996685: 23459/47276
1062.7658856630576: 23459/47276
1076.1693352774591: 23459/47276
1085.9258386600907: 23477/47276
1095.667187302931: 23477/47276
1109.3762623559478: 23477/47276
1121.2556957114994: 23477/47276
1133.9688168263299: 23477/47276
1146.2322058014536: 23487/47276
1158.2208645963688: 23487/47276
1172.0081573267355: 23487/47276
1184.3422477823503: 23507/47276
1197.5333298352411: 23507/47276
1210.049224798871: 23507/47276
1223.592537623652: 23507/47276
1232.771023428622: 23507/47276
1245.8105291860982: 23507/47276
1257.9315174525595: 23507/47276
1270.823086023384: 23507/47276
1282.8776857253151: 23507/47276
1294.008316081005: 23507/47276
1306.3981099688529: 23509/47276
1319.6833378664373: 23509/47276
1331.47746703948: 23509/47276
1345.7089258521032: 23509/47276
1356.081329693527: 23509/47276
1368.6840687963788: 23510/47276
1379.6173317965035: 23510/47276
1394.1195630611396: 23524/47276
1406.0277000173064: 23524/47276
1416.915029650478: 23524/47276
1428.606641540642: 23524/47276
1438.3076919313487: 23524/47276
1451.3134518383306: 23524/47276
1465.2676116795576: 23524/47276
1478.101632478293: 23524/47276
1489.9285566487804: 23555/47276
1504.625423773304: 23563/47276
1516.6536550079393: 23563/47276
1528.721214616407: 23563/47276
1538.9917598940217: 23563/47276
1552.6356807364016: 23568/47276
1564.4327350505544: 23568/47276
1574.9254961327078: 23568/47276
1586.9658119185071: 23568/47276
1599.371878276861: 23568/47276
1613.2941759514197: 23569/47276
1622.6684432660797: 23569/47276
1636.6439367701141: 23569/47276
1646.0408047829935: 23569/47276
1661.7353352731295: 23569/47276
1674.822032966927: 23569/47276
1689.45678161695: 23569/47276
1698.6783300222824: 23569/47276
1711.6404667045033: 23569/47276
1722.8180193032126: 23569/47276
1735.9198499229396: 23569/47276
1747.574644550032: 23573/47276
1758.7100427960888: 23573/47276
1771.5474591250495: 23573/47276
1783.2973071403103: 23573/47276
1795.2991985524754: 23573/47276
1807.6577219265998: 23573/47276
1818.606473508499: 23573/47276
1830.8309516958295: 23573/47276
1844.0450024069607: 23573/47276
1857.267631281898: 23573/47276
1869.8209551999983: 23573/47276
1882.328523452719: 23573/47276
1898.561279454454: 23573/47276
1911.0929395028934: 23573/47276
1924.5956620298657: 23573/47276
1934.225967108385: 23573/47276
1946.3564156273883: 23573/47276
1959.8323054409036: 23573/47276
1973.390917058077: 23573/47276
1985.619821485963: 23573/47276
1997.6930500479705: 23573/47276
2009.6566491160852: 23573/47276
2021.2303874916972: 23573/47276
2033.1553824859934: 23573/47276
2045.375215267941: 23573/47276
2057.9488569242144: 23573/47276
2071.5496432233303: 23573/47276
2082.843426727227: 23573/47276
2097.577082038028: 23573/47276
2105.3359499326793: 23573/47276
2117.1962300846976: 23573/47276
2129.277742885376: 23573/47276
2140.902271144182: 23573/47276
2154.911637243957: 23573/47276
2166.60475092403: 23573/47276
2179.017481618373: 23573/47276
2191.591898344282: 23573/47276
2203.9834060657818: 23573/47276
2217.041539479148: 23573/47276
2226.902141051957: 23573/47276
2238.005865469089: 23573/47276
2248.483353550573: 23573/47276
2262.215843208254: 23573/47276
2274.6928141187273: 23573/47276
2287.162663520993: 23573/47276
2299.3286693603673: 23573/47276
2312.0371556291107: 23573/47276
2325.408436772745: 23573/47276
2337.581897462252: 23573/47276
2350.584737316368: 23573/47276
2362.25760311131: 23573/47276
2376.2335677396104: 23573/47276
2387.5146642092054: 23573/47276
2402.0631890488908: 23573/47276
2413.0501944986304: 23573/47276
2423.922808983064: 23573/47276
2436.0117891233504: 23573/47276
2448.236806641348: 23573/47276
2461.5549855882005: 23573/47276
2471.622447511885: 23573/47276
2484.3480090941553: 23573/47276
2500.0671432111235: 23573/47276
2514.2925972169796: 23577/47276
2527.271098337699: 23577/47276
2541.844796638416: 23577/47276
2555.551130518534: 23577/47276
2567.4793986692403: 23577/47276
2579.2655520091957: 23577/47276
2589.724183281445: 23577/47276
2600.0453857667744: 23577/47276
2610.854608044129: 23577/47276
2623.4949795238354: 23577/47276
2632.870836607809: 23577/47276
2644.3448824893458: 23577/47276
2654.433377688777: 23577/47276
2670.9683567671736: 23577/47276
2682.4189170596846: 23577/47276
2693.562602036648: 23577/47276
2706.4906434035247: 23577/47276
2718.551660988491: 23577/47276
2731.962318156942: 23577/47276
2744.299598807775: 23577/47276
2758.529725551424: 23577/47276
2769.846441687292: 23577/47276
2781.331201783077: 23577/47276
2790.238884438888: 23577/47276
2803.1627275656424: 23577/47276
2818.6506922559397: 23577/47276
2830.3296979785187: 23577/47276
2841.390452881595: 23577/47276
2850.7210879608933: 23577/47276
2863.663221567254: 23593/47276
2876.4534964186087: 23593/47276
2891.6443305986413: 23593/47276
2903.527268307481: 23593/47276
2915.4402894379828: 23593/47276
2928.883875896311: 23593/47276
2944.3261275729956: 23593/47276
2956.424871312128: 23593/47276
2966.5433801116137: 23593/47276
2978.2526759389407: 23593/47276
2991.775433676826: 23593/47276
3005.8157800025915: 23593/47276
3017.0985016224436: 23593/47276
3031.0551371849806: 23593/47276
3042.1128992545778: 23593/47276
