Position(function_name='_ZN8solidity8langutil11TokenTraits11isBooleanOpENS0_5TokenE', line_start=314, column_start=49, line_end=314, column_end=64)
Position(function_name='_ZN8solidity8langutil11TokenTraits11isBooleanOpENS0_5TokenE', line_start=314, column_start=68, line_end=314, column_end=84)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isUnaryOpENS0_5TokenE', line_start=315, column_start=47, line_end=315, column_end=63)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isUnaryOpENS0_5TokenE', line_start=315, column_start=67, line_end=315, column_end=86)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isUnaryOpENS0_5TokenE', line_start=315, column_start=91, line_end=315, column_end=107)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isCountOpENS0_5TokenE', line_start=316, column_start=46, line_end=316, column_end=62)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isCountOpENS0_5TokenE', line_start=316, column_start=66, line_end=316, column_end=82)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isShiftOpENS0_5TokenE', line_start=317, column_start=46, line_end=317, column_end=64)
Position(function_name='_ZN8solidity8langutil11TokenTraits9isShiftOpENS0_5TokenE', line_start=317, column_start=68, line_end=317, column_end=86)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isVariableVisibilitySpecifierENS0_5TokenE', line_start=318, column_start=66, line_end=318, column_end=85)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isVariableVisibilitySpecifierENS0_5TokenE', line_start=318, column_start=89, line_end=318, column_end=109)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isVariableVisibilitySpecifierENS0_5TokenE', line_start=318, column_start=113, line_end=318, column_end=134)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isVisibilitySpecifierENS0_5TokenE', line_start=319, column_start=58, line_end=319, column_end=91)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isVisibilitySpecifierENS0_5TokenE', line_start=319, column_start=95, line_end=319, column_end=116)
Position(function_name='_ZN8solidity8langutil11TokenTraits19isLocationSpecifierENS0_5TokenE', line_start=320, column_start=56, line_end=320, column_end=75)
Position(function_name='_ZN8solidity8langutil11TokenTraits19isLocationSpecifierENS0_5TokenE', line_start=320, column_start=79, line_end=320, column_end=99)
Position(function_name='_ZN8solidity8langutil11TokenTraits19isLocationSpecifierENS0_5TokenE', line_start=320, column_start=103, line_end=320, column_end=124)
