11.437513828277588: 1376/19268
22.917831897735596: 3231/19268
24.11939764022827: 3381/19268
28.580471754074097: 3458/19268
39.80415725708008: 3529/19268
41.49591851234436: 3536/19268
43.68790245056152: 3557/19268
49.86013436317444: 3673/19268
51.058753967285156: 4847/19268
52.32628798484802: 4847/19268
65.31307053565979: 4899/19268
73.30897736549377: 4947/19268
79.5721960067749: 5026/19268
97.40674877166748: 5064/19268
98.67833185195923: 5075/19268
121.04228186607361: 5093/19268
127.27705264091492: 5445/19268
133.52561712265015: 5481/19268
153.06559252738953: 5490/19268
154.94408202171326: 5490/19268
156.20946621894836: 5490/19268
163.76670837402344: 5494/19268
164.95068359375: 5605/19268
166.20847916603088: 5689/19268
187.43993067741394: 5699/19268
194.10812711715698: 5747/19268
218.91516304016113: 5760/19268
220.77998518943787: 5762/19268
227.25955200195312: 5762/19268
253.2917778491974: 5779/19268
275.3037052154541: 5784/19268
277.509640455246: 5822/19268
300.5647974014282: 5824/19268
302.0848093032837: 5825/19268
303.28519773483276: 5825/19268
304.8099162578583: 5826/19268
307.12781834602356: 5831/19268
333.1659212112427: 5843/19268
339.379159450531: 5850/19268
354.08073115348816: 5859/19268
355.26968717575073: 5859/19268
357.4106822013855: 5868/19268
579.5132586956024: 5868/19268
591.5257344245911: 5877/19268
602.926967382431: 5893/19268
604.1604890823364: 5895/19268
605.8724687099457: 5895/19268
622.1272194385529: 5895/19268
635.5299959182739: 5898/19268
641.7468626499176: 5925/19268
658.2304306030273: 5925/19268
659.4327299594879: 5957/19268
665.8777899742126: 5962/19268
672.1078345775604: 5962/19268
674.4441111087799: 5963/19268
696.6127834320068: 5968/19268
697.8391869068146: 5968/19268
699.5219745635986: 5997/19268
700.8527207374573: 5997/19268
728.9077956676483: 6008/19268
730.1619689464569: 6008/19268
733.5883386135101: 6008/19268
746.4057970046997: 6013/19268
769.2707679271698: 6014/19268
781.0057363510132: 6014/19268
793.486213684082: 6023/19268
794.8172261714935: 6023/19268
815.2764368057251: 6031/19268
821.5665369033813: 6031/19268
828.3276188373566: 6031/19268
829.5688390731812: 6031/19268
831.0169694423676: 6031/19268
857.279495716095: 6031/19268
863.4847049713135: 6035/19268
864.7069184780121: 6035/19268
866.3962826728821: 6037/19268
867.6405520439148: 6038/19268
874.8817873001099: 6038/19268
877.6865894794464: 6038/19268
878.9284155368805: 6039/19268
896.4686164855957: 6039/19268
897.943594455719: 6039/19268
900.8123404979706: 6039/19268
907.2428314685822: 6062/19268
913.6997604370117: 6062/19268
914.8925778865814: 6067/19268
927.3556649684906: 6067/19268
933.6061763763428: 6100/19268
934.8201050758362: 6112/19268
980.8762919902802: 6112/19268
1002.1563656330109: 6112/19268
1003.451226234436: 6113/19268
1004.9663140773773: 6113/19268
1008.1180899143219: 6113/19268
1009.5705857276917: 6122/19268
1010.8729865550995: 6122/19268
1012.2460799217224: 6122/19268
1013.5021622180939: 6124/19268
1014.7299814224243: 6124/19268
1016.0013072490692: 6124/19268
1018.1245160102844: 6124/19268
1019.4222798347473: 6124/19268
1020.7174763679504: 6139/19268
1022.0900378227234: 6139/19268
1023.4652354717255: 6160/19268
1024.7674684524536: 6160/19268
1026.0310480594635: 6161/19268
1027.5585627555847: 6161/19268
1028.7937705516815: 6161/19268
1030.2972314357758: 6161/19268
1031.7880792617798: 6161/19268
1033.0787239074707: 6172/19268
1034.6071224212646: 6181/19268
1035.80264878273: 6181/19268
1037.327111005783: 6181/19268
1038.769382238388: 6185/19268
1039.9583103656769: 6185/19268
1041.1829612255096: 6196/19268
1042.494665145874: 6196/19268
1043.997724056244: 6196/19268
1045.2186932563782: 6201/19268
1046.6739404201508: 6201/19268
1047.89244222641: 6201/19268
1049.3902134895325: 6201/19268
1050.8243930339813: 6204/19268
1052.0334076881409: 6204/19268
1053.5555543899536: 6204/19268
1054.7766132354736: 6211/19268
1056.2267582416534: 6216/19268
1057.5491061210632: 6217/19268
1058.7640526294708: 6217/19268
1060.446938276291: 6219/19268
1061.925888299942: 6219/19268
1063.173538684845: 6219/19268
1064.673602104187: 6219/19268
1066.1142728328705: 6219/19268
1067.6326270103455: 6223/19268
1068.9028627872467: 6223/19268
1070.3935244083405: 6223/19268
1071.6011617183685: 6223/19268
1073.0075249671936: 6230/19268
1074.753331899643: 6230/19268
1076.4097266197205: 6230/19268
1077.6279435157776: 6231/19268
1079.1638338565826: 6231/19268
1080.669148683548: 6239/19268
1082.3391509056091: 6240/19268
1083.5743825435638: 6240/19268
1084.8377802371979: 6240/19268
1086.0826108455658: 6240/19268
1087.7680940628052: 6240/19268
1089.4216861724854: 6240/19268
1091.1812660694122: 6243/19268
1093.1123406887054: 6243/19268
1094.358720779419: 6243/19268
1095.8108584880829: 6243/19268
1097.2736077308655: 6245/19268
1098.4853026866913: 6245/19268
1099.9139020442963: 6245/19268
1101.1593205928802: 6245/19268
1102.3539826869965: 6245/19268
1103.5704972743988: 6248/19268
1104.7960996627808: 6248/19268
1106.3378593921661: 6253/19268
1109.583149433136: 6258/19268
1110.8246726989746: 6258/19268
1112.3144268989563: 6258/19268
1113.827633857727: 6258/19268
1116.8593699932098: 6266/19268
1118.7530093193054: 6266/19268
1119.9776599407196: 6266/19268
1121.4891908168793: 6266/19268
1122.8193390369415: 6266/19268
1124.5391056537628: 6266/19268
1125.7671430110931: 6270/19268
1127.43727517128: 6270/19268
1129.1348340511322: 6270/19268
1130.5644578933716: 6270/19268
1131.7777984142303: 6270/19268
1133.0419285297394: 6271/19268
1134.7801406383514: 6271/19268
1136.227722644806: 6271/19268
1137.7052872180939: 6271/19268
1138.9289326667786: 6272/19268
1140.1501677036285: 6272/19268
1141.8236482143402: 6272/19268
1143.317753791809: 6274/19268
1144.7929103374481: 6274/19268
1146.0434937477112: 6274/19268
1147.9516139030457: 6274/19268
1149.7240245342255: 6274/19268
1151.2029995918274: 6274/19268
1152.6069328784943: 6274/19268
1154.0345294475555: 6274/19268
1155.2487659454346: 6274/19268
1156.6999082565308: 6274/19268
1158.14199757576: 6274/19268
1159.3812801837921: 6274/19268
1160.6575932502747: 6276/19268
1163.256549835205: 6276/19268
1165.6082632541656: 6276/19268
1168.3342959880829: 6276/19268
1169.5881826877594: 6276/19268
1171.4739518165588: 6276/19268
1172.9850723743439: 6288/19268
1174.7218642234802: 6288/19268
1176.1730363368988: 6288/19268
1177.6285183429718: 6288/19268
1178.8931093215942: 6288/19268
1180.1138212680817: 6288/19268
1181.3411417007446: 6288/19268
1183.036996603012: 6288/19268
1184.713189125061: 6288/19268
1187.3842124938965: 6288/19268
1189.0231184959412: 6288/19268
1191.372899055481: 6290/19268
1192.8475260734558: 6290/19268
1194.1441974639893: 6290/19268
1195.6972630023956: 6293/19268
1197.0560793876648: 6293/19268
1198.287292957306: 6293/19268
1199.7368948459625: 6293/19268
1201.4200916290283: 6293/19268
1203.6448953151703: 6293/19268
1204.8519079685211: 6293/19268
1206.5857739448547: 6293/19268
1208.0848016738892: 6293/19268
1209.6040613651276: 6293/19268
1211.786037683487: 6293/19268
1213.4450364112854: 6293/19268
1214.6871354579926: 6293/19268
1217.2705550193787: 6293/19268
1218.5271248817444: 6293/19268
1221.3302066326141: 6293/19268
1222.5306684970856: 6293/19268
1224.0449781417847: 6293/19268
1225.308470249176: 6293/19268
1227.0023386478424: 6299/19268
1228.2943241596222: 6299/19268
1230.46249461174: 6301/19268
1231.9234540462494: 6301/19268
1233.1749017238617: 6302/19268
1234.4518508911133: 6302/19268
1236.9522211551666: 6302/19268
1238.8755230903625: 6302/19268
1240.3664071559906: 6302/19268
1241.9138638973236: 6302/19268
1243.129296541214: 6302/19268
1245.0038690567017: 6302/19268
1246.4891066551208: 6302/19268
1247.940094947815: 6302/19268
1249.6445803642273: 6302/19268
1251.5963869094849: 6302/19268
1253.534188747406: 6302/19268
1255.2313876152039: 6302/19268
1256.4430747032166: 6302/19268
1257.9040372371674: 6309/19268
1259.1393852233887: 6309/19268
1260.8938972949982: 6309/19268
1262.3838503360748: 6309/19268
1264.106333732605: 6309/19268
1266.036568403244: 6309/19268
1267.2554051876068: 6310/19268
1268.5238027572632: 6322/19268
1270.0026409626007: 6323/19268
1271.2880465984344: 6323/19268
1272.5672311782837: 6323/19268
1273.7744598388672: 6323/19268
1275.3139357566833: 6323/19268
1277.0212211608887: 6323/19268
1278.502074956894: 6323/19268
1279.6987845897675: 6323/19268
1281.1335327625275: 6327/19268
1282.6322202682495: 6327/19268
1284.338482618332: 6327/19268
1285.801542520523: 6327/19268
1287.2899487018585: 6327/19268
1288.761182308197: 6327/19268
1290.7255721092224: 6327/19268
1291.9648008346558: 6327/19268
1295.394252538681: 6327/19268
1302.7973988056183: 6327/19268
1304.1047937870026: 6327/19268
1305.6024119853973: 6327/19268
1306.8016197681427: 6330/19268
1308.7609722614288: 6330/19268
1310.4477803707123: 6330/19268
1316.3158421516418: 6330/19268
1317.9987313747406: 6330/19268
1319.4851703643799: 6330/19268
1321.148737192154: 6332/19268
1322.5784223079681: 6332/19268
1323.794956445694: 6332/19268
1325.2474074363708: 6332/19268
1326.4982223510742: 6332/19268
1327.984563589096: 6332/19268
1329.6424634456635: 6332/19268
1331.110586643219: 6336/19268
1332.5863721370697: 6336/19268
1334.2249836921692: 6336/19268
1335.683352470398: 6336/19268
1336.9638295173645: 6336/19268
1338.2039823532104: 6336/19268
1339.6883945465088: 6338/19268
1341.8188087940216: 6338/19268
1343.016687631607: 6342/19268
1344.4540903568268: 6342/19268
1345.6364815235138: 6342/19268
1347.1485481262207: 6342/19268
1348.660136938095: 6343/19268
1349.929556131363: 6343/19268
1351.357381105423: 6343/19268
1352.889942407608: 6343/19268
1354.1193895339966: 6343/19268
1355.598286151886: 6343/19268
1357.0609364509583: 6344/19268
1358.3167235851288: 6344/19268
1359.597633600235: 6344/19268
1360.8536748886108: 6344/19268
1362.0428664684296: 6344/19268
1363.757741689682: 6344/19268
1365.0098240375519: 6344/19268
1366.2780072689056: 6345/19268
1368.396487236023: 6345/19268
1369.6648969650269: 6345/19268
1371.3694469928741: 6345/19268
1372.5988097190857: 6345/19268
1374.0797622203827: 6349/19268
1375.3214390277863: 6349/19268
1377.289836883545: 6349/19268
1378.7067997455597: 6349/19268
1380.140703678131: 6349/19268
1381.362080335617: 6350/19268
1383.8707304000854: 6350/19268
1385.3115696907043: 6350/19268
1386.6574985980988: 6352/19268
1387.8698661327362: 6352/19268
1389.3227870464325: 6352/19268
1390.5342299938202: 6353/19268
1391.9642510414124: 6353/19268
1396.9162323474884: 6353/19268
1398.4207935333252: 6353/19268
1399.8956246376038: 6353/19268
1401.4049139022827: 6353/19268
1402.6440818309784: 6353/19268
1405.2893459796906: 6353/19268
1408.1093621253967: 6353/19268
1410.205505847931: 6354/19268
1411.6838841438293: 6354/19268
1413.2168242931366: 6354/19268
1415.1960334777832: 6354/19268
1417.0816266536713: 6354/19268
1418.7889716625214: 6354/19268
1420.2713594436646: 6354/19268
1421.9365479946136: 6354/19268
1423.136059999466: 6354/19268
1424.3787245750427: 6359/19268
1425.6494944095612: 6359/19268
1427.9484248161316: 6359/19268
1429.4116814136505: 6359/19268
1430.669537305832: 6359/19268
1432.1656692028046: 6359/19268
1433.414442539215: 6360/19268
1434.9100341796875: 6360/19268
1436.5505681037903: 6360/19268
1437.9873633384705: 6361/19268
1439.4353711605072: 6361/19268
1440.6921639442444: 6361/19268
1441.9291460514069: 6361/19268
1443.8287823200226: 6361/19268
1445.7172560691833: 6361/19268
1447.1667351722717: 6361/19268
1448.752473115921: 6361/19268
1453.937660932541: 6361/19268
1456.121503353119: 6361/19268
1457.3516297340393: 6361/19268
1458.6667184829712: 6361/19268
1460.8814542293549: 6361/19268
1462.7842888832092: 6361/19268
1464.2862589359283: 6361/19268
1465.5545241832733: 6361/19268
1466.784893989563: 6361/19268
1468.0782306194305: 6361/19268
1469.287204504013: 6361/19268
1470.6053647994995: 6361/19268
1472.2957246303558: 6361/19268
1473.5238296985626: 6361/19268
1476.5336468219757: 6361/19268
1477.7657523155212: 6362/19268
1479.2402651309967: 6362/19268
1480.4425609111786: 6362/19268
1481.7091014385223: 6362/19268
1482.9769160747528: 6362/19268
1484.645175933838: 6362/19268
1486.0203595161438: 6362/19268
1487.5100569725037: 6362/19268
1489.0005543231964: 6362/19268
1491.8620772361755: 6362/19268
1493.393038034439: 6369/19268
1495.1216700077057: 6369/19268
1497.9185671806335: 6369/19268
1499.1355454921722: 6369/19268
1500.5900599956512: 6369/19268
1501.825570821762: 6369/19268
1504.0310821533203: 6369/19268
1505.7676589488983: 6369/19268
1507.3169376850128: 6369/19268
1508.561266899109: 6369/19268
