8.396946907043457: 7025/47276
16.907124280929565: 13559/47276
25.4531831741333: 15603/47276
34.01282358169556: 15738/47276
42.56421637535095: 15804/47276
51.18495416641235: 15850/47276
60.2489972114563: 15952/47276
69.29992628097534: 18419/47276
77.84871888160706: 18432/47276
86.37469172477722: 18437/47276
95.07752275466919: 19607/47276
103.6845326423645: 19627/47276
112.38527870178223: 20045/47276
121.07171368598938: 20072/47276
129.69764065742493: 20586/47276
138.25470161437988: 20593/47276
147.27537512779236: 20655/47276
156.09863758087158: 20688/47276
164.82954812049866: 20692/47276
173.6918556690216: 20724/47276
183.24070143699646: 21024/47276
192.28739953041077: 21122/47276
201.0043420791626: 21122/47276
209.7817416191101: 21235/47276
218.55399441719055: 21242/47276
227.29167318344116: 21363/47276
236.1840512752533: 21365/47276
244.9080376625061: 21415/47276
253.7242910861969: 21424/47276
262.563104391098: 21428/47276
271.48506927490234: 21482/47276
280.21977829933167: 21482/47276
289.04350423812866: 21972/47276
298.1867411136627: 22108/47276
306.9156484603882: 22211/47276
316.5713436603546: 22211/47276
325.4859347343445: 22316/47276
334.32222032546997: 22316/47276
344.0191898345947: 22318/47276
353.1313645839691: 22350/47276
362.6711459159851: 22358/47276
371.74245262145996: 22371/47276
380.5539104938507: 22371/47276
389.5491843223572: 22385/47276
398.3281786441803: 22385/47276
407.5675206184387: 22385/47276
416.67860746383667: 22422/47276
425.72239899635315: 22431/47276
434.7185881137848: 22433/47276
443.50707817077637: 22433/47276
452.4264738559723: 22482/47276
461.6333498954773: 22486/47276
470.4466440677643: 22486/47276
480.66626048088074: 22486/47276
489.50198316574097: 22487/47276
498.3756773471832: 22487/47276
507.1899881362915: 22487/47276
515.9115042686462: 22493/47276
524.673565864563: 22493/47276
533.9308857917786: 22494/47276
543.1057727336884: 22496/47276
551.917858839035: 22496/47276
560.7024133205414: 22516/47276
569.5363893508911: 22660/47276
578.3174993991852: 22660/47276
587.3714883327484: 22660/47276
596.5738780498505: 22664/47276
605.4598290920258: 22664/47276
614.2616996765137: 22664/47276
623.6620562076569: 22664/47276
632.4223914146423: 22664/47276
641.1671764850616: 22775/47276
650.7589690685272: 22776/47276
659.4605979919434: 22776/47276
668.3295485973358: 22782/47276
677.1014912128448: 22787/47276
686.0315833091736: 22787/47276
694.8696458339691: 22787/47276
703.8447325229645: 22787/47276
713.0649998188019: 22787/47276
722.0725650787354: 22787/47276
730.989289522171: 22837/47276
739.7772212028503: 22880/47276
749.3283727169037: 22880/47276
758.1421349048615: 22894/47276
766.9354436397552: 22904/47276
776.0567545890808: 22904/47276
785.4098324775696: 22904/47276
794.1108748912811: 22904/47276
803.0200643539429: 22904/47276
812.0213553905487: 22904/47276
821.0645608901978: 22906/47276
829.8837976455688: 22906/47276
838.7679674625397: 22906/47276
847.5626554489136: 22906/47276
856.3716292381287: 22906/47276
865.5465846061707: 22911/47276
874.7662906646729: 22914/47276
883.570850610733: 22915/47276
892.6796429157257: 22915/47276
901.5572831630707: 22915/47276
910.3646900653839: 22915/47276
919.1846446990967: 22916/47276
928.4632794857025: 22916/47276
937.6072390079498: 22931/47276
946.4753441810608: 22931/47276
955.4230995178223: 22931/47276
964.3933308124542: 22932/47276
973.2247915267944: 22932/47276
982.2049558162689: 22944/47276
991.269914150238: 22944/47276
1000.0601699352264: 22944/47276
1009.5885212421417: 22944/47276
1023.4181160926819: 22949/47276
1032.310210943222: 22949/47276
1041.3586525917053: 22950/47276
1050.1204917430878: 22950/47276
1058.9303662776947: 22950/47276
1068.1995069980621: 23026/47276
1077.0372290611267: 23066/47276
1085.9349994659424: 23066/47276
1094.6810321807861: 23066/47276
1103.5029063224792: 23067/47276
1112.8948357105255: 23067/47276
1122.4118156433105: 23067/47276
1131.9210305213928: 23067/47276
1141.3401675224304: 23067/47276
1150.1710846424103: 23067/47276
1159.0482308864594: 23087/47276
1167.885419368744: 23088/47276
1176.8384025096893: 23088/47276
1185.6260526180267: 23088/47276
1194.4844393730164: 23088/47276
1203.2961902618408: 23088/47276
1212.481458902359: 23088/47276
1221.5148980617523: 23088/47276
1230.5243294239044: 23088/47276
1239.5907490253448: 23088/47276
1248.498731136322: 23088/47276
1257.4330627918243: 23089/47276
1266.271667957306: 23097/47276
1275.4001672267914: 23097/47276
1284.9469258785248: 23097/47276
1293.737417936325: 23097/47276
1302.6236789226532: 23097/47276
1311.6810555458069: 23097/47276
1320.6792755126953: 23097/47276
1329.4544026851654: 23097/47276
1339.0525724887848: 23097/47276
1348.8215236663818: 23097/47276
1357.7793090343475: 23097/47276
1367.3273496627808: 23097/47276
1376.255925655365: 23097/47276
1385.1250863075256: 23097/47276
1393.8200163841248: 23097/47276
1402.597678899765: 23101/47276
1411.430237531662: 23101/47276
1420.6329307556152: 23101/47276
1429.4134378433228: 23144/47276
1438.143960237503: 23145/47276
1447.1808516979218: 23145/47276
1455.9771325588226: 23145/47276
1465.2491810321808: 23145/47276
1474.1074690818787: 23145/47276
1483.288054227829: 23145/47276
1492.1650218963623: 23145/47276
1501.0843632221222: 23147/47276
1509.893099308014: 23147/47276
1519.212993144989: 23147/47276
1528.2424964904785: 23147/47276
1537.3659188747406: 23147/47276
1546.9205639362335: 23169/47276
1556.0136346817017: 23169/47276
1565.1060440540314: 23169/47276
1573.9616689682007: 23169/47276
1583.4651663303375: 23169/47276
1592.4344103336334: 23171/47276
1601.4861233234406: 23171/47276
1611.0076849460602: 23171/47276
1619.842479467392: 23171/47276
1628.868394613266: 23171/47276
1639.9988791942596: 23171/47276
1650.593917131424: 23171/47276
1659.6421320438385: 23171/47276
1669.0648531913757: 23171/47276
1678.6418974399567: 23171/47276
1688.198409318924: 23171/47276
1697.1114881038666: 23171/47276
1706.1000990867615: 23171/47276
1715.77073264122: 23171/47276
1724.608386516571: 23171/47276
1733.6506915092468: 23171/47276
1744.032383441925: 23171/47276
1754.1692464351654: 23171/47276
1763.267252445221: 23171/47276
1772.617223739624: 23171/47276
1781.5812623500824: 23171/47276
1790.6892728805542: 23171/47276
1799.6523268222809: 23171/47276
1808.7784826755524: 23171/47276
1817.8653857707977: 23171/47276
1826.7051668167114: 23171/47276
1836.056279182434: 23171/47276
1845.3390095233917: 23171/47276
1854.2290680408478: 23172/47276
1863.3167479038239: 23172/47276
1872.5619237422943: 23172/47276
1881.6074883937836: 23172/47276
1890.5013272762299: 23172/47276
1899.345002412796: 23172/47276
1908.27574801445: 23172/47276
1917.6768369674683: 23172/47276
1926.5411183834076: 23172/47276
1935.5741345882416: 23172/47276
1944.3920578956604: 23172/47276
1953.447910785675: 23172/47276
1963.0049049854279: 23172/47276
1971.8393366336823: 23172/47276
1980.9821481704712: 23172/47276
1990.0738286972046: 23172/47276
1999.2452006340027: 23172/47276
2007.9918384552002: 23172/47276
2016.9123556613922: 23172/47276
2026.0188400745392: 23172/47276
2034.8541312217712: 23172/47276
2044.0847477912903: 23172/47276
2053.229645013809: 23172/47276
2062.0814096927643: 23172/47276
2070.9129202365875: 23179/47276
2079.7422304153442: 23179/47276
2088.475893974304: 23179/47276
2097.46181845665: 23179/47276
2106.3778777122498: 23179/47276
2115.491230726242: 23179/47276
2124.436071872711: 23179/47276
2133.5882382392883: 23179/47276
2142.829515695572: 23179/47276
2151.712981700897: 23180/47276
2160.489476442337: 23180/47276
2169.2418665885925: 23180/47276
2178.083559513092: 23180/47276
2186.9386932849884: 23180/47276
2196.0427730083466: 23180/47276
2204.918645620346: 23180/47276
2214.0666794776917: 23180/47276
2222.93390417099: 23180/47276
2231.9174633026123: 23180/47276
2240.785579442978: 23180/47276
2249.780644416809: 23196/47276
2258.680457353592: 23196/47276
2267.472836494446: 23196/47276
2276.2579617500305: 23196/47276
2285.2035048007965: 23196/47276
2294.269060611725: 23196/47276
2303.6322190761566: 23196/47276
2312.873128890991: 23196/47276
2321.8676812648773: 23196/47276
2330.831717967987: 23196/47276
2339.6723272800446: 23196/47276
2348.528710126877: 23196/47276
2357.872065782547: 23196/47276
2366.7000267505646: 23196/47276
2375.7561054229736: 23196/47276
2384.697710752487: 23196/47276
2393.526347875595: 23220/47276
2402.356938123703: 23220/47276
2411.085758447647: 23220/47276
2420.2316575050354: 23220/47276
2429.2801694869995: 23220/47276
2438.3662583827972: 23220/47276
2447.250749349594: 23220/47276
2456.714637517929: 23220/47276
2465.9961614608765: 23220/47276
2475.0481407642365: 23220/47276
2483.8088562488556: 23220/47276
2492.5884499549866: 23220/47276
2501.811453104019: 23220/47276
2510.6226172447205: 23220/47276
2544.3456239700317: 23220/47276
2553.1608633995056: 23220/47276
2562.0208485126495: 23220/47276
2570.7726821899414: 23220/47276
2579.76317691803: 23220/47276
2588.698124885559: 23220/47276
2597.5755321979523: 23220/47276
2606.721195459366: 23220/47276
2615.8880326747894: 23220/47276
2625.032206058502: 23220/47276
2634.1117753982544: 23220/47276
2643.0464646816254: 23220/47276
2651.9658365249634: 23220/47276
2660.969236135483: 23220/47276
2669.8949699401855: 23220/47276
2678.6411471366882: 23220/47276
2687.5848174095154: 23220/47276
2697.2245106697083: 23220/47276
2706.107323408127: 23220/47276
2714.9146060943604: 23220/47276
2723.70667886734: 23220/47276
2732.604942560196: 23220/47276
2741.485606431961: 23220/47276
2750.3067529201508: 23220/47276
2759.02907371521: 23220/47276
2767.9622614383698: 23220/47276
2776.7189285755157: 23220/47276
2785.993906021118: 23220/47276
2794.920000076294: 23220/47276
2803.9234466552734: 23220/47276
2812.8260550498962: 23220/47276
2821.8919916152954: 23222/47276
2830.820392370224: 23222/47276
2839.5796308517456: 23222/47276
2848.4669828414917: 23222/47276
2857.2803535461426: 23222/47276
2866.16748213768: 23222/47276
2875.0471324920654: 23222/47276
2883.9537801742554: 23222/47276
2893.02157664299: 23222/47276
2901.8020374774933: 23222/47276
