11.883149440300235: 17995/47276
22.353269533436197: 19769/47276
35.1886106801665: 20493/47276
46.14206259235426: 20803/47276
57.98373695572905: 20960/47276
70.23057941226423: 21240/47276
82.72330353203046: 21727/47276
94.24606183885957: 21788/47276
105.69020662385209: 21814/47276
118.34499998698057: 22176/47276
131.1444964288739: 22210/47276
144.9821023034492: 22423/47276
156.34291312700307: 22552/47276
170.0041253454733: 22691/47276
183.04509612440066: 22739/47276
194.57044878865773: 22758/47276
206.78161098197833: 22759/47276
220.3244757266514: 22761/47276
231.63265435353938: 22776/47276
243.2219369440644: 22780/47276
255.06664503021474: 22818/47276
266.39625445668133: 22856/47276
279.2589260066511: 22866/47276
293.3148362332446: 22963/47276
305.31810081827246: 22965/47276
318.108376110331: 22978/47276
330.0821591380855: 23082/47276
344.44096903154514: 23105/47276
355.9224981734566: 23131/47276
368.8070657961891: 23200/47276
378.2389874533542: 23200/47276
391.369389097939: 23201/47276
401.5794546875732: 23201/47276
415.2376361278403: 23203/47276
426.10509769190327: 23203/47276
437.535846073976: 23203/47276
448.58558088047886: 23203/47276
458.17750351615143: 23203/47276
472.38695686167034: 23224/47276
488.8205161227302: 23251/47276
503.588397566758: 23256/47276
511.82808448188354: 23257/47276
526.1445929888473: 23258/47276
537.0709710122912: 23258/47276
547.5232882693707: 23258/47276
560.730017565239: 23258/47276
572.6152398496511: 23262/47276
584.7312469857892: 23265/47276
600.7214688323784: 23284/47276
611.5025232430011: 23287/47276
624.5513953829807: 23300/47276
636.3270674629725: 23300/47276
647.9412123601683: 23300/47276
659.554860041716: 23300/47276
670.7633121325089: 23305/47276
681.6680797917576: 23305/47276
693.7547849863269: 23305/47276
706.8359918089593: 23312/47276
719.0837704231116: 23313/47276
731.8098941077213: 23313/47276
742.9694587081643: 23313/47276
757.0522928951855: 23313/47276
768.3005222585043: 23313/47276
779.6293707323141: 23313/47276
794.5756501502703: 23319/47276
807.3319816445577: 23319/47276
820.7823022274541: 23319/47276
832.3190023228788: 23323/47276
845.5810830662801: 23323/47276
857.1103236416792: 23323/47276
871.1349346257077: 23323/47276
885.0938098007052: 23323/47276
897.8966586174867: 23325/47276
910.0390446362643: 23325/47276
923.2929977983765: 23325/47276
935.9252440898208: 23325/47276
946.1199346754227: 23325/47276
963.4044070314525: 23325/47276
978.3910914800708: 23511/47276
990.5252259655172: 23511/47276
1002.2602393990788: 23511/47276
1014.4818130761404: 23511/47276
1027.2204185406117: 23511/47276
1039.0191554500743: 23511/47276
1050.6336602284223: 23521/47276
1062.2563116948772: 23521/47276
1074.934261954136: 23521/47276
1087.150005909544: 23525/47276
1097.7074415150157: 23525/47276
1109.6901515288887: 23525/47276
1124.5435351648368: 23525/47276
1137.1534816389585: 23562/47276
1149.139868699828: 23562/47276
1163.4916704947234: 23562/47276
1175.7835854544098: 23562/47276
1188.6455050146985: 23562/47276
1201.0913547079801: 23562/47276
1212.6554184060615: 23562/47276
1222.133680500329: 23562/47276
1234.4782219721535: 23562/47276
1247.2334495921648: 23562/47276
1258.7950958755193: 23562/47276
1270.6962580751704: 23562/47276
1283.6970254418127: 23562/47276
1294.899405134784: 23562/47276
1307.984529243552: 23563/47276
1320.617317218788: 23564/47276
1330.565278881443: 23564/47276
1343.1859468824505: 23564/47276
1355.8361871166976: 23570/47276
1381.871605448512: 23570/47276
1403.5935679261927: 23570/47276
1417.5576505420793: 23570/47276
1428.7381746976562: 23570/47276
1440.8588493813131: 23570/47276
1452.0492492465642: 23570/47276
1465.1863524615776: 23570/47276
1477.1414075118157: 23570/47276
1488.074251655339: 23570/47276
1497.9199324618967: 23570/47276
1507.5025680390963: 23570/47276
1519.2575247510122: 23570/47276
1531.9113958516234: 23570/47276
1545.3632837592274: 23570/47276
1555.3472341619374: 23570/47276
1565.3755124054903: 23570/47276
1577.4504905733836: 23570/47276
1589.4471979649823: 23570/47276
1603.1495836047443: 23570/47276
1617.0129672739122: 23570/47276
1627.978929731889: 23570/47276
1642.646601660249: 23572/47276
1657.7020294436638: 23572/47276
1670.636273538614: 23572/47276
1682.4025250653183: 23572/47276
1693.4607104522215: 23572/47276
1702.3253870510966: 23572/47276
1715.828368030656: 23572/47276
1724.611287978156: 23572/47276
1738.357822692322: 23573/47276
1747.3942602420561: 23573/47276
1760.2669671557007: 23573/47276
1771.3069078738245: 23573/47276
1783.6886343898614: 23573/47276
1795.741182323868: 23573/47276
1808.8101241100023: 23573/47276
1820.021937070485: 23573/47276
1832.8785857939044: 23573/47276
1846.0459657607832: 23573/47276
1864.0658008492107: 23581/47276
1872.358007127459: 23581/47276
1886.120032961415: 23625/47276
1896.7750779290025: 23625/47276
1910.835514635545: 23625/47276
1922.7332722164494: 23625/47276
1935.4601452268755: 23625/47276
1945.953575332619: 23625/47276
1958.1783962698555: 23625/47276
1970.5813226673454: 23625/47276
1979.6702108469667: 23625/47276
1992.1646657006709: 23625/47276
2004.0122763068255: 23625/47276
2015.6449550063783: 23625/47276
2026.4118965381674: 23625/47276
2040.2837103229397: 23625/47276
2050.9855757171977: 23625/47276
2065.1202923855903: 23625/47276
2074.83924420885: 23625/47276
2087.8348733629873: 23625/47276
2097.1732540275593: 23625/47276
2110.5884387494666: 23625/47276
2122.578683823651: 23625/47276
2134.1554025691894: 23625/47276
2144.9359927916157: 23626/47276
2157.7412258375816: 23626/47276
2173.2167524964398: 23626/47276
2184.238882241213: 23626/47276
2195.8779995723335: 23626/47276
2208.4830013791566: 23626/47276
2222.2203481387705: 23626/47276
2235.528378059991: 23626/47276
2247.740242371491: 23626/47276
2259.0620960625147: 23626/47276
2272.2859649322936: 23626/47276
2289.1076043677085: 23626/47276
2300.9997194456305: 23626/47276
2310.4370976480914: 23626/47276
2322.89304683517: 23626/47276
2334.43957773443: 23626/47276
2346.6280596699307: 23626/47276
2358.0682126997194: 23626/47276
2372.001617626416: 23653/47276
2383.6284236247157: 23653/47276
2395.4868285914827: 23653/47276
2407.076090405958: 23653/47276
2419.039476313291: 23653/47276
2431.2922143610326: 23653/47276
2443.485499781318: 23653/47276
2459.4844234962734: 23683/47276
2471.4336038283673: 23683/47276
2480.838516525927: 23683/47276
2493.8752807472447: 23683/47276
2506.692196495774: 23683/47276
2583.04326008348: 23683/47276
2595.4562108955733: 23683/47276
2612.6565482532433: 23683/47276
2625.117888844863: 23683/47276
2636.8212401204623: 23683/47276
2649.4601000538287: 23683/47276
2662.8502525782274: 23683/47276
2672.263029668784: 23683/47276
2685.2556264650525: 23683/47276
2694.4804180444485: 23683/47276
2707.969459899582: 23683/47276
2716.868705759902: 23683/47276
2727.9613667287567: 23683/47276
2741.480761055046: 23683/47276
2752.871259461479: 23684/47276
2764.5035053779156: 23684/47276
2778.710335323477: 23684/47276
