49.09136182856198: 5603/19268
102.25350443503338: 6371/19268
150.8993174313532: 6773/19268
184.34269127475787: 6773/19268
221.95132148759433: 6773/19268
286.57533077809086: 6773/19268
333.8006126879028: 6773/19268
380.8043770913681: 6773/19268
442.8826938289043: 6773/19268
495.42118384217525: 6773/19268
559.0809294155586: 6773/19268
579.394904122593: 6773/19268
658.3205770460057: 6774/19268
691.3548024787499: 6774/19268
743.9738037856825: 6774/19268
784.5658001037482: 6774/19268
846.7293291325371: 6776/19268
885.6771610425029: 6776/19268
929.2516581440353: 6781/19268
961.9477451233203: 6782/19268
1009.3928767600862: 6782/19268
1067.3641140384964: 6782/19268
1125.2815371542963: 6782/19268
1167.818986676036: 6782/19268
1216.9733859540024: 6784/19268
1274.700961978077: 6784/19268
1314.672848602461: 6784/19268
1376.6544461067353: 6784/19268
1415.538470524859: 6785/19268
1452.9178975734587: 6786/19268
1495.787289787284: 6786/19268
1537.338311819046: 6786/19268
1594.3256869380646: 6786/19268
1649.3721582577675: 6786/19268
1694.829485981845: 6786/19268
1755.436162155795: 6786/19268
1790.6565732701974: 6786/19268
1841.7056486113124: 6786/19268
1911.0133157210125: 6786/19268
1950.086962793508: 6787/19268
1996.077405732657: 6787/19268
2039.83361490427: 6787/19268
2106.338668817804: 6787/19268
2155.2670033228255: 6787/19268
2209.0781901239234: 6787/19268
2247.03953568841: 6788/19268
2294.9724847217485: 6788/19268
2347.246832235959: 6788/19268
2378.726459215899: 6788/19268
2426.116023305653: 6790/19268
2468.1242606806054: 6791/19268
2530.7149343679052: 6791/19268
2580.7136048260177: 6792/19268
2631.6692169588814: 6792/19268
2683.897258105383: 6794/19268
2746.6780282672785: 6794/19268
2791.657476935813: 6794/19268
2855.1224123494494: 6794/19268
2910.361065713672: 6794/19268
2979.4002257562684: 6795/19268
3016.0287402108543: 6795/19268
3056.508660296744: 6795/19268
3107.770657654934: 6795/19268
3160.0462181815374: 6795/19268
3198.134356517683: 6795/19268
3228.1923196773396: 6795/19268
3268.874797821947: 6795/19268
3342.3918420693044: 6796/19268
3379.9855050148544: 6796/19268
3437.436263675778: 6796/19268
3467.66784454312: 6796/19268
3514.8768342746507: 6796/19268
3560.0575440039775: 6796/19268
3613.8768942841652: 6796/19268
3648.208229293143: 6797/19268
3673.9458112994557: 6797/19268
3739.852198433599: 6799/19268
3783.2692701237042: 6800/19268
3836.47065881283: 6800/19268
3880.297435091368: 6801/19268
3910.51023413041: 6801/19268
3978.3735970909192: 6802/19268
4012.0713156188194: 6802/19268
4080.394163228653: 6802/19268
4106.417172392999: 6802/19268
4134.831008744858: 6802/19268
4174.4214175523275: 6802/19268
4212.705783388467: 6803/19268
4268.587658558509: 6803/19268
4329.364682003061: 6803/19268
4369.5743189583145: 6803/19268
4392.113948645774: 6803/19268
4436.203580612548: 6803/19268
4476.277617585208: 6803/19268
4534.335721098064: 6804/19268
4568.946924838962: 6804/19268
4594.213728739801: 6804/19268
4642.037826649398: 6804/19268
4689.327545880187: 6806/19268
4731.2236036352815: 6806/19268
4785.223540688719: 6806/19268
4841.4518820703715: 6808/19268
4895.920057185191: 6808/19268
4934.33016574107: 6808/19268
4997.153532951091: 6808/19268
5043.93709113342: 6808/19268
5086.9088689262835: 6808/19268
5130.156521167289: 6809/19268
5181.766862271913: 6809/19268
5222.907300630902: 6809/19268
5252.42141804984: 6809/19268
5296.410784804017: 6810/19268
5341.712219536427: 6810/19268
5389.4975624598665: 6810/19268
5417.956604265772: 6810/19268
5464.630831791612: 6810/19268
5538.109903815064: 6810/19268
5568.282339197644: 6810/19268
5631.057269836567: 6811/19268
5654.880379430336: 6811/19268
5698.621407030131: 6811/19268
5729.733355806502: 6811/19268
5765.448948782143: 6814/19268
5828.396166522541: 6814/19268
5871.642691464783: 6814/19268
5921.932065995892: 6814/19268
5978.883907772806: 6814/19268
6018.497068641129: 6814/19268
6054.955997199143: 6814/19268
6098.426910185353: 6814/19268
6151.764221317916: 6814/19268
6195.716588125297: 6814/19268
6244.0669212745715: 6814/19268
6291.508402970885: 6814/19268
6340.906849405267: 6814/19268
6400.535074613407: 6815/19268
6434.610677484914: 6815/19268
6485.752073160815: 6819/19268
6542.014860225932: 6819/19268
6597.758973031988: 6819/19268
6658.3797044693565: 6819/19268
6692.373561525492: 6819/19268
6731.192244664647: 6819/19268
6764.655976988829: 6819/19268
6812.660362401034: 6819/19268
6856.609841557272: 6819/19268
6913.329008990208: 6819/19268
6947.659042911971: 6819/19268
7024.962520413836: 6819/19268
7064.396778706441: 6819/19268
7111.406425966828: 6819/19268
7168.31913194509: 6819/19268
7219.352078461344: 6819/19268
7246.657365316078: 6821/19268
7290.596303330354: 6821/19268
7337.330977187782: 6823/19268
7381.93092343036: 6823/19268
7432.984314417291: 6823/19268
7483.577586206661: 6823/19268
7537.194320120077: 6823/19268
7568.80834102081: 6823/19268
7621.76016720678: 6823/19268
7663.43941151547: 6823/19268
7732.227578629772: 6826/19268
7763.6372793487935: 6826/19268
7827.863885279208: 6826/19268
7872.2616290173255: 6826/19268
7921.498687757243: 6826/19268
7986.437794096945: 6826/19268
8029.789934828963: 6827/19268
8084.952569830666: 6827/19268
8132.652670440273: 6827/19268
8177.787491852754: 6827/19268
8229.664756297116: 6828/19268
8264.85420192929: 6828/19268
8324.832928136344: 6828/19268
8358.47510184367: 6828/19268
8412.641714515079: 6829/19268
8468.498344858419: 6829/19268
8517.537420081624: 6830/19268
8562.439253308783: 6830/19268
8616.926039391596: 6830/19268
8674.43329344781: 6830/19268
8734.90044455473: 6830/19268
8773.02131888641: 6830/19268
8826.730704703177: 6830/19268
8871.01377932913: 6830/19268
8911.395135555113: 6830/19268
8940.589335713492: 6830/19268
9004.576941151581: 6830/19268
9057.957920584471: 6830/19268
9106.916463990265: 6830/19268
9146.195940494712: 6830/19268
9182.218702962948: 6830/19268
9229.214207523824: 6832/19268
9281.149880099952: 6832/19268
9324.566362056144: 6832/19268
9357.881027176672: 6832/19268
9400.5010157669: 6832/19268
9467.719404455222: 6832/19268
9509.798076325666: 6832/19268
9567.581893884626: 6832/19268
9598.644525687152: 6838/19268
9639.180094686555: 6838/19268
9701.099476297488: 6838/19268
9757.422591450431: 6838/19268
9799.978604909888: 6838/19268
9839.769048057697: 6838/19268
9880.135865610036: 6838/19268
9942.922012199453: 6838/19268
10007.429859779108: 6840/19268
10055.016486135351: 6840/19268
10110.720488526118: 6840/19268
10164.704742392776: 6840/19268
10217.701027013225: 6840/19268
10270.94375367252: 6840/19268
10324.752547036629: 6840/19268
10380.591486330173: 6840/19268
10447.07283942066: 6840/19268
10487.171838128726: 6840/19268
10526.211287245815: 6843/19268
10564.171881495462: 6843/19268
10603.010993181097: 6844/19268
10657.489105635652: 6845/19268
10717.81433312683: 6845/19268
10759.472177232521: 6845/19268
10796.134969272865: 6845/19268
10871.110753765624: 6845/19268
10912.713794902184: 6845/19268
10959.435471024295: 6846/19268
11003.706393295004: 6846/19268
11067.235807663808: 6846/19268
11115.732449971769: 6846/19268
11164.559443311442: 6846/19268
11232.982896314412: 6846/19268
11266.031395514201: 6846/19268
11300.111346318552: 6846/19268
11364.11252690332: 6847/19268
11410.722197668701: 6848/19268
11465.518348266505: 6848/19268
11495.648659834615: 6848/19268
11532.560900052433: 6848/19268
11579.307989374045: 6848/19268
11644.610988086542: 6848/19268
11698.023163948239: 6848/19268
11742.493275610597: 6848/19268
11781.938092270582: 6849/19268
11834.856505178694: 6849/19268
11880.184981734259: 6850/19268
11931.821541569245: 6850/19268
11987.733710908264: 6851/19268
12022.532655435933: 6851/19268
12051.605786499897: 6852/19268
12089.379247356042: 6852/19268
12147.945907433616: 6852/19268
