1.1858417987823486: 11056/47276
2.3926289081573486: 11593/47276
3.628817558288574: 14220/47276
4.846548795700073: 16819/47276
6.05269718170166: 16863/47276
7.2354161739349365: 17010/47276
8.411238431930542: 17259/47276
10.17839527130127: 17336/47276
11.339183807373047: 17359/47276
12.541722536087036: 18088/47276
13.752644300460815: 18831/47276
14.95969820022583: 18871/47276
16.194974660873413: 18875/47276
17.39614248275757: 18902/47276
18.604905128479004: 18904/47276
19.785330533981323: 18912/47276
20.979482173919678: 19111/47276
22.116780042648315: 19132/47276
23.343498706817627: 19208/47276
24.57572650909424: 19245/47276
25.80600643157959: 19294/47276
27.017205953598022: 19448/47276
28.23311948776245: 19448/47276
29.441439390182495: 19458/47276
30.690873861312866: 19462/47276
31.88251543045044: 19848/47276
33.080899238586426: 19950/47276
34.26934480667114: 20037/47276
35.44298458099365: 20090/47276
36.62880516052246: 20090/47276
37.85089945793152: 20193/47276
41.00114846229553: 20198/47276
42.18684530258179: 20198/47276
43.39517617225647: 20664/47276
44.59207630157471: 20684/47276
45.78762197494507: 21560/47276
46.96362519264221: 21560/47276
48.1379337310791: 21560/47276
49.353968381881714: 21560/47276
50.59062719345093: 21576/47276
51.811492681503296: 21586/47276
53.004801511764526: 21927/47276
54.21373152732849: 21927/47276
55.41038632392883: 21939/47276
56.60291123390198: 21940/47276
57.80734658241272: 21940/47276
59.04762530326843: 22150/47276
60.26490902900696: 22213/47276
61.43615913391113: 22213/47276
62.63472008705139: 22219/47276
63.797908306121826: 22224/47276
64.99154281616211: 22269/47276
66.20065665245056: 22269/47276
67.43495535850525: 22269/47276
68.61223149299622: 22405/47276
69.89015436172485: 22405/47276
71.09055209159851: 22411/47276
72.25384402275085: 22411/47276
73.40546250343323: 22411/47276
74.61301136016846: 22418/47276
75.78148126602173: 22418/47276
76.98311305046082: 22430/47276
78.16652798652649: 22430/47276
79.35731244087219: 22471/47276
80.55624580383301: 22471/47276
81.77467656135559: 22471/47276
83.00635313987732: 22471/47276
84.19581484794617: 22475/47276
85.36799049377441: 22476/47276
86.62507820129395: 22478/47276
87.82381701469421: 22478/47276
88.97377395629883: 22478/47276
90.18596386909485: 22478/47276
91.39255499839783: 22630/47276
92.6796498298645: 22630/47276
93.9050076007843: 22630/47276
95.17696070671082: 22630/47276
96.46647906303406: 22631/47276
97.65140843391418: 22631/47276
98.84047484397888: 22657/47276
100.06282353401184: 22657/47276
101.29191994667053: 22659/47276
102.45670771598816: 22659/47276
103.61626696586609: 22659/47276
105.10498785972595: 22674/47276
106.29462480545044: 22693/47276
107.47983717918396: 22704/47276
108.65489459037781: 22704/47276
109.86273264884949: 22704/47276
111.05730199813843: 22704/47276
112.23021626472473: 22705/47276
113.40651178359985: 22705/47276
114.68143892288208: 22705/47276
115.86958503723145: 22706/47276
117.06057000160217: 22706/47276
118.26037788391113: 22782/47276
119.4923996925354: 22782/47276
120.72089171409607: 22812/47276
121.91203308105469: 22812/47276
123.11141800880432: 22812/47276
124.34637355804443: 22812/47276
125.53407311439514: 22813/47276
126.72897410392761: 22814/47276
127.91769027709961: 22814/47276
129.08709144592285: 22814/47276
130.26758432388306: 22814/47276
131.44954419136047: 22814/47276
132.63076400756836: 22814/47276
133.8187108039856: 22814/47276
135.04526686668396: 22826/47276
136.2514955997467: 22826/47276
137.42082595825195: 22826/47276
138.69511914253235: 22826/47276
139.93010234832764: 22826/47276
141.1809561252594: 22926/47276
142.39002966880798: 23077/47276
143.5617938041687: 23082/47276
144.747004032135: 23082/47276
145.96241211891174: 23082/47276
147.15719270706177: 23083/47276
148.35261368751526: 23085/47276
149.54476928710938: 23085/47276
150.74732637405396: 23085/47276
151.95007252693176: 23085/47276
153.16274547576904: 23085/47276
154.36076974868774: 23085/47276
155.53732419013977: 23085/47276
156.71980142593384: 23085/47276
157.96463298797607: 23085/47276
