33.66206728066247: 4710/19268
118.97302111831569: 5499/19268
178.2758482864043: 6392/19268
251.41387286488592: 6488/19268
309.4599347712703: 6499/19268
366.3107561008994: 6747/19268
434.75826981135515: 6747/19268
486.37704064738955: 6747/19268
546.3138936512482: 6747/19268
613.459226315511: 6751/19268
698.1851450254943: 6751/19268
765.6744900197838: 6752/19268
853.1550281064785: 6757/19268
910.2529105800014: 6757/19268
964.480280330631: 6758/19268
1022.3083661915275: 6767/19268
1071.8180961958758: 6767/19268
1141.396080202945: 6767/19268
1189.8027951928968: 6767/19268
1229.7239628265925: 6767/19268
1309.5545484333982: 6767/19268
1350.357841920793: 6768/19268
1423.3836067558275: 6768/19268
1472.210081022806: 6768/19268
1536.0537253311688: 6768/19268
1612.9731780692955: 6768/19268
1651.7493677973032: 6768/19268
1734.2714508605525: 6768/19268
1807.4291294933216: 6768/19268
1857.5185524117128: 6768/19268
1924.8481340641679: 6775/19268
1994.682416083836: 6775/19268
2081.4811380300653: 6775/19268
2139.9969635367274: 6775/19268
2217.854411633779: 6776/19268
2276.123321190313: 6776/19268
2338.323359141129: 6776/19268
2384.0500129558877: 6776/19268
2459.246010638246: 6776/19268
2502.550264637316: 6776/19268
2568.0564166461895: 6776/19268
2657.681930861209: 6776/19268
2693.6990990840936: 6776/19268
2756.5078970717614: 6776/19268
2815.7128996624383: 6776/19268
2892.1192375751752: 6776/19268
2941.386471183813: 6776/19268
3014.373328668367: 6776/19268
3064.753576958112: 6777/19268
3128.027227911257: 6778/19268
3191.5422713955127: 6782/19268
3286.6485559877497: 6782/19268
3340.875841421624: 6782/19268
3412.6932154837514: 6782/19268
3471.139923368519: 6783/19268
3522.847195039999: 6783/19268
3598.2625901426786: 6783/19268
3659.9287943366603: 6787/19268
3722.9422996271546: 6787/19268
3788.0645913223434: 6787/19268
3859.087552229336: 6787/19268
3919.793854661921: 6787/19268
3973.1185764063157: 6787/19268
4027.055147064152: 6790/19268
4080.955317148982: 6791/19268
4146.67076407862: 6791/19268
4219.336305198338: 6791/19268
4274.969298405935: 6791/19268
4351.396094357315: 6792/19268
4435.6183336980675: 6792/19268
4489.93619191241: 6792/19268
4552.298027626268: 6792/19268
4599.903153376416: 6792/19268
4655.086676575976: 6792/19268
4724.838341803491: 6792/19268
4785.522231196294: 6792/19268
4844.942427085449: 6793/19268
4897.971196204395: 6793/19268
4968.806210074966: 6793/19268
5036.137721104172: 6793/19268
5108.125607411049: 6793/19268
5183.7863562243265: 6793/19268
5216.720976910247: 6793/19268
5274.652778532093: 6793/19268
5344.586856144493: 6793/19268
5427.834745135088: 6793/19268
5483.737063015902: 6793/19268
5553.95285314384: 6795/19268
5617.827540630971: 6795/19268
5681.4150307653845: 6795/19268
5735.155970868061: 6798/19268
5785.642677731626: 6798/19268
5865.014230379799: 6798/19268
5925.386333070944: 6798/19268
5988.956295590291: 6798/19268
6030.8365921255945: 6798/19268
6093.714596232046: 6798/19268
6160.228523666281: 6798/19268
6204.355637987436: 6798/19268
6275.81788935107: 6798/19268
6317.947224894726: 6801/19268
6375.567709020734: 6801/19268
6443.915286184343: 6801/19268
6494.480279978104: 6801/19268
6562.939602403992: 6801/19268
6611.924506632091: 6801/19268
6679.84848456714: 6801/19268
6757.805179406507: 6804/19268
6840.1529586430825: 6804/19268
6890.293436722707: 6804/19268
6964.786483274068: 6806/19268
7038.926243319315: 6806/19268
7105.916512889859: 6807/19268
7153.910237805027: 6807/19268
7243.201321065741: 6807/19268
7316.833923973824: 6807/19268
7371.385804058347: 6807/19268
7409.591144004054: 6807/19268
7487.271467191318: 6807/19268
7536.1434541574645: 6807/19268
7604.689342707265: 6807/19268
7664.318952876051: 6807/19268
7708.908198530653: 6808/19268
7789.006103965397: 6808/19268
7859.220044882901: 6812/19268
7895.234449641899: 6812/19268
7961.22182701264: 6812/19268
8045.332553761715: 6813/19268
8117.967520739709: 6813/19268
8167.230048251303: 6813/19268
8240.852725576953: 6813/19268
8283.005971273411: 6814/19268
8343.587805036206: 6814/19268
8415.555480642632: 6814/19268
8459.14183501409: 6814/19268
8532.720820749453: 6814/19268
8610.618703403068: 6816/19268
8673.26401713661: 6817/19268
8733.696244345136: 6818/19268
8804.169584368296: 6818/19268
8890.208873333973: 6818/19268
