9.9118645973791: 14279/47276
20.789129860082472: 18631/47276
31.14901945203441: 19502/47276
42.84593537366803: 20704/47276
55.727861085338844: 21216/47276
67.68482224639075: 21504/47276
79.97099627680463: 21557/47276
92.80113768682791: 21763/47276
108.2647831459167: 21791/47276
118.28670995378103: 21816/47276
132.43806161656929: 22252/47276
143.29186139133688: 22361/47276
156.20534628107828: 22377/47276
166.9037329174604: 22377/47276
179.0941164393602: 22574/47276
191.8316849447487: 22574/47276
203.241813176089: 22600/47276
216.34639754271893: 22607/47276
224.04955558944016: 22607/47276
236.80140128652107: 22613/47276
249.1844972072824: 22698/47276
260.4864528797428: 22782/47276
273.18574927582176: 22786/47276
285.99429111853874: 22823/47276
296.64190960300374: 22823/47276
309.84420424758514: 22841/47276
322.8825445809571: 22857/47276
334.2144669782588: 22859/47276
348.05075188652137: 22946/47276
359.03185160398897: 22960/47276
370.9324876141241: 22961/47276
381.69514706002866: 22961/47276
394.46715173863527: 22961/47276
406.7532881770466: 23049/47276
419.13687519265807: 23082/47276
431.3323616638664: 23082/47276
440.86824524130145: 23082/47276
453.42056340290213: 23254/47276
465.3927283219978: 23254/47276
480.46664535781207: 23327/47276
490.5749809901659: 23327/47276
501.66898671963446: 23327/47276
514.1912337033725: 23338/47276
527.9959546054051: 23338/47276
541.4086054717044: 23357/47276
552.9671093441332: 23369/47276
566.0483476292441: 23369/47276
574.1021284136103: 23369/47276
584.8170150677495: 23392/47276
600.646389661233: 23458/47276
610.9478799302855: 23458/47276
622.8147037154623: 23480/47276
634.9723267333155: 23480/47276
647.5194098620893: 23480/47276
661.9325322220125: 23484/47276
672.2477168496666: 23504/47276
685.8108301361248: 23508/47276
696.6793278274029: 23508/47276
709.0356673535911: 23510/47276
720.0143489358642: 23510/47276
731.648630018698: 23510/47276
744.2992583185211: 23511/47276
756.6004553293418: 23511/47276
767.7374911642453: 23511/47276
778.1658073467579: 23511/47276
790.3227296777234: 23539/47276
801.3110982645318: 23539/47276
813.1294132061307: 23539/47276
824.8011307504136: 23539/47276
837.8037972466574: 23539/47276
847.24811306588: 23539/47276
858.5933447484675: 23547/47276
868.6689808101272: 23547/47276
883.0837684121219: 23549/47276
893.431152508481: 23549/47276
908.4253052699179: 23549/47276
921.5302614919227: 23559/47276
930.6964110164862: 23559/47276
952.6661246349875: 23559/47276
971.218429660963: 23559/47276
984.9844604759056: 23559/47276
995.8400581996311: 23560/47276
1007.2666747311793: 23560/47276
1019.8228821118676: 23560/47276
1030.608763162712: 23560/47276
1041.4551196972998: 23560/47276
1053.476278078442: 23560/47276
1063.513571910776: 23562/47276
1075.5975986320811: 23562/47276
1090.1175178811116: 23573/47276
1102.5904877058083: 23573/47276
1114.98210505918: 23573/47276
1125.2001090151984: 23573/47276
1136.4669649119028: 23573/47276
1150.1054850734831: 23575/47276
1165.6396513004574: 23575/47276
1178.2081352056853: 23575/47276
1188.8938908900866: 23575/47276
1200.8921654716473: 23577/47276
1211.5620001102093: 23577/47276
1223.0670428297524: 23578/47276
1234.9245956695356: 23578/47276
1245.2298473931721: 23578/47276
1258.4722286908777: 23578/47276
1271.3569577170579: 23578/47276
1284.652901205219: 23578/47276
1296.2778942367997: 23578/47276
1310.1754517176148: 23579/47276
1321.9232637733182: 23579/47276
1334.1851149597594: 23579/47276
1351.549021639462: 23581/47276
1363.7072381861042: 23581/47276
1376.5105407996225: 23581/47276
1388.7159942072874: 23581/47276
1404.425891523909: 23582/47276
1415.8925473751308: 23582/47276
1431.5797941448436: 23582/47276
1442.7356906745056: 23586/47276
1452.51405248227: 23586/47276
1461.956553992679: 23586/47276
1473.6260882051604: 23586/47276
1486.866334127665: 23586/47276
1501.5661441530212: 23654/47276
1513.59737306837: 23654/47276
1524.6308072677482: 23654/47276
1535.8756416937097: 23654/47276
1548.1484431632687: 23654/47276
1573.2165153050516: 23654/47276
1581.5615964817302: 23654/47276
1593.1935548588053: 23654/47276
1607.0472967326307: 23654/47276
1620.9752579316132: 23654/47276
1630.896549323949: 23654/47276
1643.2036648912024: 23654/47276
1656.9992638694712: 23655/47276
1668.7274986789528: 23656/47276
1679.4211813716017: 23656/47276
1693.3172953777255: 23656/47276
1703.2938655122773: 23656/47276
1715.4765373759128: 23656/47276
1725.875220097447: 23656/47276
1738.9855082415065: 23656/47276
1750.2557423313888: 23657/47276
1763.5346120035642: 23658/47276
1777.3777802953718: 23658/47276
1788.3349542158685: 23658/47276
1800.9727884111737: 23658/47276
1812.8577121622957: 23658/47276
1826.459262059483: 23658/47276
1835.7361394246213: 23662/47276
1849.6143493548436: 23662/47276
1860.1900382493384: 23662/47276
1873.9437686681617: 23662/47276
1887.8214983909625: 23662/47276
1899.2039142478748: 23662/47276
1912.8396246055677: 23662/47276
1926.3687088240033: 23662/47276
1935.2634336932924: 23662/47276
1946.7346205353886: 23662/47276
1956.2800994702873: 23662/47276
1969.2019040874331: 23662/47276
1980.9266576979542: 23662/47276
1993.4671471793927: 23662/47276
2007.547834368969: 23662/47276
2022.4691045934644: 23685/47276
2035.6554662369665: 23690/47276
2047.0555144608948: 23690/47276
2059.825374659569: 23690/47276
2072.35532728031: 23690/47276
2085.8298450317307: 23690/47276
2097.896994790154: 23690/47276
2109.7687569082027: 23690/47276
2121.4220054799353: 23690/47276
2132.887288797331: 23690/47276
2144.80532572898: 23691/47276
2157.23139441797: 23691/47276
2167.984774981015: 23693/47276
2181.6077468617036: 23693/47276
2192.3506280601327: 23693/47276
2204.52672116618: 23693/47276
2217.3111948181236: 23693/47276
2227.0065091209685: 23693/47276
2242.5028652328347: 23694/47276
2253.1506164643056: 23694/47276
2265.844393642731: 23694/47276
2276.167614375003: 23694/47276
2290.396210532458: 23694/47276
2305.294756383577: 23694/47276
2320.672461908143: 23695/47276
2333.1182749760046: 23695/47276
2347.3690859872504: 23695/47276
2359.4122900528387: 23695/47276
2369.9136269074365: 23695/47276
2381.20499559844: 23695/47276
2394.3139677519043: 23695/47276
2404.756929345543: 23695/47276
2415.6503976250715: 23695/47276
2424.7543775423455: 23695/47276
2437.292769094878: 23695/47276
2451.45024571811: 23695/47276
2462.365989288374: 23695/47276
2474.7410451338733: 23695/47276
2486.5339573295355: 23695/47276
2500.526505520411: 23695/47276
2513.2222406179903: 23695/47276
2527.4222891260233: 23695/47276
2536.067146547131: 23695/47276
2549.0822123428575: 23695/47276
2560.2030878268442: 23695/47276
2576.155845694648: 23695/47276
2588.4199098780437: 23695/47276
2600.9925976522363: 23696/47276
2613.7113800840507: 23696/47276
2626.457006386176: 23696/47276
2638.0144409379145: 23696/47276
2650.7560982869745: 23696/47276
2663.030130670244: 23696/47276
2675.290497076202: 23696/47276
2688.914692685807: 23696/47276
2702.2955224300454: 23696/47276
2715.668074889391: 23696/47276
2726.943223407383: 23696/47276
2739.6853994606518: 23696/47276
2752.562187301164: 23696/47276
2764.6683329382204: 23696/47276
2774.6616113673986: 23696/47276
2788.7353362102135: 23696/47276
2798.1485500735694: 23696/47276
2811.751535619238: 23696/47276
2822.999453152459: 23696/47276
2844.277972121651: 23696/47276
2854.862768460174: 23696/47276
2867.623740770501: 23696/47276
2877.9957752064342: 23696/47276
2893.29794962444: 23704/47276
2903.7050849990082: 23704/47276
2916.5388213641295: 23704/47276
2928.821147235667: 23704/47276
2941.4977329118956: 23704/47276
2954.2398522545923: 23704/47276
2969.374459022757: 23704/47276
2981.042843824731: 23704/47276
2993.127726103517: 23704/47276
3003.275668701835: 23704/47276
3017.2612805412773: 23704/47276
3027.682288703147: 23704/47276
3040.711848151372: 23704/47276
3050.7872160515763: 23704/47276
3062.544645861439: 23704/47276
3075.9894112161096: 23704/47276
3090.139032707833: 23704/47276
3099.6795933982226: 23704/47276
3111.0717467119916: 23704/47276
3123.7072585483716: 23704/47276
3135.5501081080265: 23704/47276
3147.132611629866: 23704/47276
3158.4542842100054: 23704/47276
3171.628804003562: 23704/47276
3182.772652307189: 23704/47276
3193.3191534954: 23704/47276
3203.452525268251: 23704/47276
3215.543283834133: 23704/47276
3229.8881497634043: 23704/47276
3242.074882664253: 23704/47276
3255.3331318570085: 23704/47276
3266.009830452411: 23704/47276
3278.0970536995474: 23704/47276
3289.4707799658117: 23704/47276
3301.983747207516: 23704/47276
3314.4773702548905: 23704/47276
3326.6226480808186: 23707/47276
3339.5126839025397: 23707/47276
3352.5720689117993: 23707/47276
3365.893451875825: 23707/47276
3377.376158569249: 23707/47276
3388.078493682105: 23707/47276
3401.6384808768: 23707/47276
3410.3933443468713: 23707/47276
3423.2548403729247: 23707/47276
3434.565422694157: 23707/47276
3445.3113970878985: 23707/47276
3459.0982468080233: 23707/47276
3470.6712886177916: 23707/47276
3483.545032741987: 23707/47276
3495.5902073062284: 23707/47276
3508.534505909278: 23707/47276
3520.757150921269: 23708/47276
3531.9155813836187: 23708/47276
3543.862928332843: 23708/47276
3556.9414203976735: 23708/47276
3569.289518448661: 23708/47276
3580.9484095660764: 23708/47276
3597.5289366965103: 23708/47276
3606.6648190206065: 23708/47276
3617.810836337224: 23708/47276
3631.756563815013: 23708/47276
3642.562100519882: 23708/47276
3656.014604185402: 23708/47276
3666.3870975101654: 23708/47276
3677.8882799122507: 23708/47276
3690.6920868618713: 23708/47276
3702.9873404949085: 23708/47276
3715.8003985381542: 23708/47276
3729.2493594809944: 23708/47276
3739.9964958291603: 23708/47276
3751.8664619758356: 23708/47276
3764.4794088654644: 23708/47276
3775.445037755653: 23708/47276
3788.232101810478: 23708/47276
3797.413040188097: 23708/47276
3808.9769081992126: 23708/47276
3821.2508093984: 23708/47276
3834.513147260137: 23708/47276
3846.877984631438: 23708/47276
3858.8148837926205: 23708/47276
3871.260028946775: 23708/47276
3885.082150064817: 23708/47276
3899.2495211390983: 23708/47276
3911.58697243503: 23708/47276
3924.701040778079: 23708/47276
3936.3791644672456: 23708/47276
3948.5860873546458: 23708/47276
3959.0557212523227: 23708/47276
3972.4834463919224: 23708/47276
3982.9863147621813: 23708/47276
3995.01084277405: 23708/47276
4009.8052646237875: 23708/47276
4019.8282713929652: 23708/47276
4030.1944419154556: 23708/47276
4042.6759643697897: 23708/47276
4053.501567649367: 23708/47276
4065.8128749948355: 23714/47276
4077.9779259516877: 23714/47276
4094.2560838063428: 23714/47276
4104.203335675483: 23714/47276
4115.478905251383: 23714/47276
4129.409116837284: 23714/47276
4143.356500102226: 23714/47276
4153.56048606709: 23714/47276
4165.862301148026: 23714/47276
4177.645422947535: 23714/47276
4188.80608610084: 23714/47276
4201.428112853014: 23714/47276
4215.299654888261: 23714/47276
4227.483104414504: 23714/47276
4238.966863880111: 23714/47276
4249.995607087681: 23714/47276
4263.504814064054: 23714/47276
4275.352515888609: 23714/47276
4285.714046156638: 23714/47276
4293.575465336348: 23714/47276
4306.29641597481: 23714/47276
4320.443354371967: 23714/47276
4334.4833163534095: 23714/47276
4345.800848931057: 23714/47276
4358.546478216669: 23714/47276
4371.506080991597: 23714/47276
4384.260959514583: 23714/47276
4395.328797936003: 23714/47276
4408.171314853949: 23714/47276
4421.800605992535: 23714/47276
4432.857589538259: 23714/47276
4445.092749155155: 23714/47276
4453.347161906661: 23714/47276
4465.862923125189: 23714/47276
4477.213820685458: 23714/47276
4495.85455055663: 23714/47276
4513.685773212245: 23721/47276
4526.708447193124: 23721/47276
4540.001395032187: 23721/47276
4552.397400125842: 23721/47276
4564.36072507201: 23721/47276
4575.126545538394: 23721/47276
4589.93151519024: 23721/47276
4603.00891140018: 23721/47276
4614.728298523845: 23721/47276
4622.951425748884: 23721/47276
4634.712274220321: 23721/47276
4648.969873087279: 23721/47276
4659.5945563042815: 23721/47276
4669.836978715891: 23721/47276
4677.48108856439: 23721/47276
4690.176866780462: 23721/47276
4700.08775384578: 23721/47276
4713.290491228211: 23721/47276
4725.540360271735: 23721/47276
4737.665336872977: 23721/47276
4751.483284999596: 23721/47276
4772.337537932725: 23723/47276
4784.848150756618: 23723/47276
4797.590358518863: 23723/47276
4809.493061278052: 23723/47276
4822.673598996095: 23723/47276
4834.699815746072: 23723/47276
4848.4679593204455: 23723/47276
4860.923291080591: 23723/47276
4873.659707530467: 23723/47276
4886.377220787757: 23723/47276
4897.338006591628: 23723/47276
4908.361445406579: 23723/47276
4919.23786244627: 23723/47276
4931.466517606864: 23723/47276
4943.589019482972: 23723/47276
4956.159591108: 23723/47276
4970.543873222896: 23723/47276
4984.107541392302: 23723/47276
4995.740229187054: 23723/47276
5007.917184231457: 23723/47276
5019.488352723413: 23723/47276
5031.205631276952: 23723/47276
5043.748129576053: 23723/47276
5057.570971949613: 23723/47276
5068.398221830307: 23723/47276
