35.292067253164795: 5136/19268
65.9395853955294: 5514/19268
73.75077708308714: 5845/19268
86.7640146048591: 5901/19268
95.49210847326904: 6067/19268
105.34026187690979: 6067/19268
134.8430056887093: 6067/19268
158.0694558857367: 6067/19268
160.81544822267063: 6067/19268
190.0728598479463: 6209/19268
220.85036144624553: 6209/19268
249.97552309764907: 6247/19268
280.71257156187653: 6348/19268
320.29471670476727: 6348/19268
376.75425394633: 6488/19268
395.62428907615123: 6499/19268
424.19486095342467: 6508/19268
449.7527337765361: 6530/19268
487.32393968953033: 6547/19268
495.32592755201676: 6547/19268
526.7171447587162: 6547/19268
532.0261539561337: 6547/19268
563.4867781346442: 6547/19268
589.7599410963224: 6547/19268
623.6470072102951: 6547/19268
654.5535215100109: 6592/19268
684.3520248933451: 6592/19268
714.5461505048656: 6593/19268
719.7360404693364: 6593/19268
750.0099680014675: 6593/19268
752.8265774984056: 6593/19268
780.6886606535782: 6593/19268
812.6027081102208: 6593/19268
827.0278096511895: 6593/19268
853.1175846677054: 6593/19268
862.5684300216457: 6593/19268
865.3661930907386: 6593/19268
901.375658521255: 6593/19268
907.3682630255946: 6593/19268
937.5253079077974: 6605/19268
967.1710341469753: 6605/19268
999.3826690439905: 6606/19268
1030.7167687476303: 6606/19268
1059.0412665422944: 6606/19268
1090.987452577626: 6606/19268
1125.3659532042527: 6606/19268
1154.2819051964505: 6631/19268
1220.4425477740153: 6690/19268
1248.4562419912495: 6789/19268
1278.0900539197423: 6789/19268
1313.377296180529: 6789/19268
1346.1867827171923: 6789/19268
1362.5233561503817: 6789/19268
1393.9939983126583: 6789/19268
1418.1861731009603: 6789/19268
1452.9103337308898: 6789/19268
1489.080380546602: 6789/19268
1498.656290046019: 6789/19268
1532.4866628331552: 6789/19268
1546.125524913837: 6789/19268
1576.5283693511055: 6789/19268
1611.6097657231296: 6795/19268
1637.5207904067256: 6795/19268
1662.0114074314793: 6795/19268
1693.24746336361: 6795/19268
1716.787902816672: 6828/19268
1754.0666919601297: 6828/19268
1784.3073400265216: 6828/19268
1818.2304175383226: 6828/19268
1859.1206735020594: 6828/19268
1890.5519030113237: 6828/19268
1912.767684283869: 6828/19268
1945.1762903344734: 6828/19268
1972.5241612641541: 6828/19268
1985.3005717366304: 6828/19268
1991.9078396787856: 6828/19268
2021.5444426632012: 6828/19268
2031.1556502214048: 6851/19268
2070.7358091691676: 6851/19268
2103.8855894121443: 6851/19268
2129.722042835444: 6851/19268
2165.423604465717: 6851/19268
2190.9841791083522: 6851/19268
2221.7365296608273: 6851/19268
2260.609818600764: 6851/19268
2291.495739373142: 6857/19268
2323.484354263147: 6858/19268
2355.403219848323: 6861/19268
2385.919128467162: 6861/19268
2412.7893196716195: 6861/19268
2423.3059152177198: 6861/19268
2432.78501759682: 6861/19268
2440.056455652378: 6861/19268
2469.8010291047567: 6862/19268
2505.407630790737: 6862/19268
2532.311335882798: 6862/19268
2565.89023581001: 6862/19268
2575.16106205107: 6862/19268
2599.0744728335253: 6862/19268
2627.4499964969036: 6876/19268
2638.0956694805595: 6876/19268
2671.6465042423924: 6876/19268
2697.4924692973555: 6876/19268
2728.164106563012: 6876/19268
2761.3930693715065: 6876/19268
2789.1013135221106: 6876/19268
2818.8531535860648: 6876/19268
2833.485890700965: 6876/19268
2877.9748338767927: 6876/19268
2878.3290133228443: 6876/19268
2909.497397277175: 6876/19268
2939.7966310975116: 6876/19268
2975.228549290641: 6877/19268
3004.1856148027027: 6877/19268
3028.0920928319088: 6880/19268
3066.1511737571936: 6880/19268
3092.304359576736: 6880/19268
3138.517991296321: 6880/19268
3149.47820127518: 6880/19268
3180.3136226763754: 6880/19268
3202.8947764313725: 6880/19268
3239.398813203685: 6880/19268
3270.046975151762: 6880/19268
3281.5505838701815: 6880/19268
3311.5808998806065: 6880/19268
3334.413555701894: 6880/19268
3340.7771674814753: 6880/19268
3342.924625633946: 6880/19268
3362.5380925313307: 6880/19268
3386.262350581829: 6880/19268
3421.8603224690783: 6880/19268
3458.6725397865634: 6880/19268
3490.651923541169: 6880/19268
3515.896910810967: 6880/19268
3526.0768422242895: 6880/19268
3535.883797439105: 6880/19268
3573.9473660850617: 6880/19268
3609.900809650779: 6880/19268
3635.5281846165876: 6880/19268
3676.9679923914323: 6880/19268
3710.625517096253: 6894/19268
3712.354778041859: 6894/19268
3742.5984344902413: 6894/19268
3773.5214847430293: 6894/19268
3807.98155285877: 6894/19268
3828.792291114346: 6894/19268
3835.3947198596757: 6894/19268
3870.6429803595724: 6894/19268
3903.149543308191: 6894/19268
3910.224460865889: 6894/19268
3941.392560227263: 6894/19268
3970.397773560601: 6894/19268
3978.21172078158: 6894/19268
3988.7375181171137: 6894/19268
4014.980763883692: 6894/19268
4025.0862907888627: 6894/19268
4053.7536956235126: 6906/19268
4090.023300712168: 6906/19268
4129.656423361985: 6906/19268
4154.782228746987: 6907/19268
4190.420366162961: 6908/19268
4221.8394578305115: 6908/19268
4249.80739745899: 6908/19268
4281.381299705137: 6908/19268
4310.296661895381: 6908/19268
4341.317396455245: 6909/19268
4371.813470183808: 6909/19268
4404.025422151637: 6909/19268
4440.016939996569: 6909/19268
4466.03691887529: 6909/19268
4494.900708902814: 6909/19268
4529.642451093757: 6909/19268
4559.107144645627: 6911/19268
4558.030045839832: 6911/19268
4597.661188068655: 6911/19268
4628.675209220638: 6912/19268
4659.255984338366: 6912/19268
4696.062767884325: 6912/19268
4722.35865090504: 6912/19268
4728.885237814228: 6912/19268
4762.522885642684: 6912/19268
4798.483947656767: 6921/19268
4829.878813003596: 6921/19268
4854.031824393513: 6921/19268
4872.444751468579: 6921/19268
4887.353273968954: 6921/19268
4921.840325927655: 6921/19268
4947.897080063738: 6921/19268
4982.312296066357: 6921/19268
5010.619152003433: 6921/19268
5044.908329130949: 6922/19268
5053.9438038041435: 6922/19268
5075.84572995233: 6922/19268
5085.219846599021: 6922/19268
5120.518840046134: 6922/19268
5140.540415497206: 6922/19268
5162.398432023535: 6922/19268
5204.942748588531: 6922/19268
5215.715975181004: 6922/19268
5240.050383399403: 6922/19268
5265.3791265481095: 6922/19268
5296.9250081312175: 6922/19268
5336.401832370732: 6922/19268
5360.840684428007: 6922/19268
5401.7565407287175: 6922/19268
5429.115003817805: 6922/19268
5460.038117130056: 6922/19268
5491.901946487177: 6922/19268
5525.369311461318: 6922/19268
5558.4860633305525: 6923/19268
5581.3852596521665: 6923/19268
5605.805539302862: 6923/19268
5638.165346516829: 6923/19268
5661.583133580528: 6923/19268
5694.754160782042: 6923/19268
5704.235938636774: 6924/19268
5711.019236580253: 6924/19268
5738.899024119746: 6924/19268
5766.079840713491: 6924/19268
5801.2035633617: 6924/19268
5834.118478691778: 6924/19268
5868.035679224751: 6924/19268
5904.6470231980775: 6924/19268
