35.10171332179523: 18069/47276
51.60327403790861: 22434/47276
80.56424476216819: 22863/47276
106.34997962558053: 23249/47276
136.73175176576572: 23561/47276
158.3741342712335: 23601/47276
183.55779679104432: 23602/47276
211.747408130077: 23602/47276
250.2214365284739: 23602/47276
271.3158331949988: 23603/47276
304.8696654970157: 23603/47276
338.7185467176889: 23603/47276
357.48304192589353: 23603/47276
385.07609503669687: 23604/47276
427.44049067851995: 23604/47276
459.2778799072582: 23604/47276
498.5863361556164: 23605/47276
537.9913690427226: 23605/47276
567.4797867576468: 23605/47276
583.1445539872473: 23606/47276
624.7423868130533: 23606/47276
650.325347156495: 23606/47276
687.9136613352084: 23607/47276
704.0675797207025: 23607/47276
744.8783731167117: 23607/47276
761.7657603791016: 23607/47276
787.8597042216738: 23608/47276
821.4507592768518: 23608/47276
852.1571956079654: 23608/47276
893.4544569702749: 23609/47276
933.0225347579772: 23609/47276
970.5870728510218: 23609/47276
1004.8804402858749: 23610/47276
1043.034321980912: 23610/47276
1076.8627708634097: 23610/47276
1112.1596454240241: 23611/47276
1149.9544655795892: 23611/47276
1169.601354716466: 23611/47276
1183.6157147322508: 23611/47276
1202.6784083778357: 23611/47276
1243.8166009236159: 23612/47276
1265.9570146657006: 23612/47276
1300.452689005766: 23612/47276
1338.6534846360012: 23613/47276
1351.6907310946433: 23613/47276
1390.593864405558: 23613/47276
1424.6888480229727: 23614/47276
1442.7676029498198: 23614/47276
1462.0331153467705: 23614/47276
1479.6906707717333: 23614/47276
1516.3839097279886: 23614/47276
1538.0121338943072: 23615/47276
1551.0999743443451: 23615/47276
1577.9997176893064: 23615/47276
1592.7314760418044: 23615/47276
1607.8100119277015: 23615/47276
1644.9846754161117: 23616/47276
1659.8180326514305: 23616/47276
1683.8281420940582: 23616/47276
1722.5176281535219: 23616/47276
1754.7181339018543: 23617/47276
1769.5794384196643: 23617/47276
1790.029721484947: 23617/47276
1828.504805865851: 23617/47276
1866.5300212001332: 23618/47276
1897.0162958547228: 23618/47276
1936.0393469094201: 23618/47276
1956.788287854154: 23619/47276
1984.6587433734883: 23619/47276
2008.687081843772: 23619/47276
2036.2444475598877: 23619/47276
2073.5128543433693: 23620/47276
2088.3779774873465: 23620/47276
2119.083034062514: 23620/47276
2134.3341342452736: 23620/47276
2174.4262061035433: 23621/47276
2189.996494285326: 23621/47276
2229.0574047373557: 23621/47276
2266.8204863805354: 23621/47276
2301.524916160314: 23622/47276
2320.717932259727: 23622/47276
2346.919613937402: 23622/47276
2361.0732539566493: 23622/47276
2389.124681494691: 23623/47276
2424.4377898862604: 23623/47276
2439.503285888478: 23623/47276
2464.6563152555245: 23623/47276
2498.6780016867024: 23624/47276
2536.9029698620475: 23624/47276
2554.068922595653: 23624/47276
2594.65496338602: 23624/47276
2620.774891830841: 23625/47276
2637.059116288871: 23625/47276
2678.5869111522097: 23625/47276
2702.4258366090403: 23625/47276
2723.374810129542: 23626/47276
2736.8677444965087: 23626/47276
2765.3764301770543: 23626/47276
2791.1970308967066: 23626/47276
2827.2793204475174: 23627/47276
2858.3668115842024: 23627/47276
2879.6416009774125: 23627/47276
2910.135232891988: 23627/47276
2926.285254802174: 23628/47276
2941.2983464349927: 23628/47276
2971.6926358809424: 23628/47276
3014.441395200203: 23628/47276
3032.9386216685075: 23629/47276
3068.6769152519933: 23629/47276
3098.1804652701835: 23629/47276
3125.806495598723: 23629/47276
3150.187845646169: 23630/47276
3185.753819395837: 23630/47276
3216.845224294494: 23630/47276
3231.2887412055074: 23630/47276
3259.3010513522686: 23631/47276
3284.8005513305334: 23631/47276
3299.1863752221834: 23631/47276
3314.7219837785983: 23631/47276
3348.4463178875203: 23631/47276
3390.70001084078: 23632/47276
3422.1758382265834: 23632/47276
3457.8805432241247: 23632/47276
3493.317275823864: 23633/47276
3521.6863970931786: 23633/47276
3562.275221081621: 23633/47276
3597.951289062258: 23634/47276
3628.036577284336: 23634/47276
3665.8235935126686: 23634/47276
3691.7275423638825: 23635/47276
3734.5117884355486: 23635/47276
3759.5748174449873: 23635/47276
3796.392046448713: 23636/47276
3811.8706131399176: 23636/47276
3839.916819540896: 23636/47276
3881.8675663788135: 23636/47276
3919.4518279063773: 23637/47276
3957.7226654636843: 23637/47276
3970.7378077196067: 23637/47276
3986.151167006671: 23637/47276
4017.507697255005: 23638/47276
4041.7489621740156: 23638/47276
4061.5586623051427: 23638/47276
4098.487209817593: 23638/47276
4132.771862462587: 23639/47276
4172.217508747872: 23639/47276
4198.350438618208: 23639/47276
4237.038496192347: 23639/47276
4251.472574038713: 23640/47276
4276.372183343878: 23640/47276
4307.01215731543: 23640/47276
4344.344919169436: 23640/47276
4374.230516459144: 23641/47276
4414.978957107256: 23641/47276
4449.912875258322: 23641/47276
4469.1320835094675: 23642/47276
4495.4611239494725: 23642/47276
4533.988921007302: 23642/47276
4558.995923913677: 23642/47276
4580.914648875321: 23643/47276
4609.1007910412645: 23643/47276
4626.003592814636: 23643/47276
4642.737200910305: 23643/47276
4665.420442186914: 23643/47276
4681.23903350588: 23643/47276
4719.374423998393: 23644/47276
4746.499276900335: 23644/47276
4767.229022756442: 23644/47276
4802.5238123389445: 23645/47276
4843.451075444006: 23645/47276
4876.926918302331: 23645/47276
4895.333759738273: 23645/47276
4929.576878737872: 23646/47276
4955.011110540128: 23646/47276
4994.725587728817: 23646/47276
5018.407050651309: 23646/47276
5052.258113583256: 23647/47276
5079.969733176986: 23647/47276
5095.780318817517: 23647/47276
5108.8254754592635: 23647/47276
5138.525647663815: 23648/47276
5163.407377688216: 23648/47276
5203.290339082112: 23648/47276
5222.1225479442155: 23648/47276
5258.052192621959: 23649/47276
5274.397994976748: 23649/47276
5311.384419923177: 23649/47276
5335.952877389126: 23649/47276
5350.05170170323: 23649/47276
5387.685261233199: 23650/47276
5403.177074444124: 23650/47276
5428.525888908163: 23650/47276
5443.571001920465: 23650/47276
5466.88410440347: 23650/47276
5495.303287571482: 23651/47276
5529.964489758283: 23651/47276
5569.186051224289: 23651/47276
5599.863455466348: 23652/47276
5640.9398636025: 23652/47276
5676.2934772503895: 23652/47276
5708.258450786672: 23653/47276
5734.529754085516: 23653/47276
5766.4248984247315: 23653/47276
5797.705658962334: 23653/47276
5833.010627584776: 23654/47276
5852.948886598133: 23654/47276
5878.609549016441: 23654/47276
5918.399797241732: 23654/47276
5945.455382854193: 23655/47276
5987.807052797247: 23655/47276
6013.718563229125: 23655/47276
6055.0674779493675: 23656/47276
6075.51381502739: 23656/47276
6118.070237084535: 23656/47276
6150.611197903972: 23656/47276
6174.616858922103: 23657/47276
6188.723619546601: 23657/47276
6210.289014881091: 23657/47276
6239.161909400817: 23657/47276
6277.11999107136: 23658/47276
6312.730793231959: 23658/47276
6343.985723320506: 23658/47276
6378.996710418512: 23658/47276
6421.382195248193: 23659/47276
6443.337666040718: 23659/47276
6486.168210226326: 23659/47276
6525.258605629908: 23660/47276
6561.99988164969: 23660/47276
6580.230965836278: 23660/47276
6595.651740506336: 23660/47276
6611.184020776551: 23660/47276
6640.281340318894: 23661/47276
6668.095476974117: 23661/47276
6688.709590923349: 23661/47276
6708.3236451815055: 23661/47276
6743.89152807822: 23662/47276
6775.114241754222: 23662/47276
6806.570418459879: 23662/47276
6828.80520030444: 23662/47276
6852.06391914716: 23662/47276
6887.8505830763615: 23663/47276
6930.5161534369245: 23663/47276
6945.414970913832: 23663/47276
6976.057534919078: 23664/47276
7003.833090679273: 23664/47276
7045.032285380495: 23664/47276
7069.710040353033: 23664/47276
7106.278426015027: 23665/47276
7144.844250980801: 23665/47276
7171.380220706313: 23665/47276
7195.513252794411: 23665/47276
7216.775358243215: 23666/47276
7259.195520432703: 23666/47276
7274.71781025501: 23666/47276
7314.957648738717: 23666/47276
7355.546919970618: 23667/47276
7383.153047971054: 23667/47276
7401.913808402134: 23667/47276
7442.119329517191: 23668/47276
7459.160444190339: 23668/47276
7480.25609384278: 23668/47276
7505.91132743046: 23668/47276
7522.1085025584125: 23668/47276
7563.2310145021665: 23669/47276
7600.093526575335: 23669/47276
7626.041315623541: 23669/47276
7665.783005253925: 23669/47276
7692.58696749171: 23670/47276
7709.209088114794: 23670/47276
7728.516296903312: 23670/47276
7757.807737308631: 23670/47276
7774.868489045824: 23670/47276
7801.847085210674: 23671/47276
7821.811153321843: 23671/47276
7850.9418601426805: 23671/47276
7873.69441442682: 23671/47276
7915.869909659482: 23672/47276
7943.092414891107: 23672/47276
7976.531575315894: 23672/47276
8006.51788705983: 23672/47276
8023.8996244811115: 23672/47276
8055.501490910951: 23673/47276
8089.506561108882: 23673/47276
8107.663330408244: 23673/47276
8125.026837078408: 23673/47276
8142.42809757033: 23673/47276
8181.376044576787: 23674/47276
8218.840580712264: 23674/47276
8248.769834310066: 23674/47276
8283.060132367189: 23675/47276
8325.19656096464: 23675/47276
8338.297168360037: 23675/47276
8354.38636892972: 23675/47276
8379.084772069291: 23675/47276
8415.136292359335: 23676/47276
8429.33815341221: 23676/47276
8462.449412501743: 23676/47276
8502.240327925485: 23676/47276
8526.906711822465: 23677/47276
8541.737837177696: 23677/47276
8577.912705333936: 23677/47276
8603.640320194174: 23677/47276
8642.424903876245: 23678/47276
8685.100621000389: 23678/47276
8706.602267910846: 23678/47276
8746.00537064934: 23678/47276
8768.640042630264: 23679/47276
8808.835563572347: 23679/47276
8837.501015137424: 23679/47276
8878.75014865918: 23680/47276
8915.17676763858: 23680/47276
8942.445453497647: 23680/47276
8956.822494100166: 23680/47276
8989.510531279662: 23680/47276
9016.474639178981: 23681/47276
9048.993261065943: 23681/47276
9071.424083395003: 23681/47276
9104.778110634883: 23681/47276
9145.243937930774: 23682/47276
9185.05663518521: 23682/47276
9227.598375726364: 23682/47276
9255.308654132075: 23683/47276
