1.1706054210662842: 1642/19268
2.3480026721954346: 2422/19268
3.513742685317993: 3657/19268
4.659974813461304: 4023/19268
5.872056007385254: 4060/19268
7.067746877670288: 4087/19268
8.26429796218872: 4243/19268
9.388068199157715: 4275/19268
10.54848051071167: 5002/19268
11.705157041549683: 5008/19268
12.878029346466064: 5346/19268
14.076381921768188: 5359/19268
15.21616244316101: 5377/19268
16.382378578186035: 5382/19268
17.519011735916138: 5475/19268
18.686766386032104: 5481/19268
19.857040405273438: 5528/19268
21.05194330215454: 5596/19268
22.20966076850891: 5607/19268
23.35307550430298: 5626/19268
24.54129385948181: 5627/19268
25.695765733718872: 5631/19268
26.85606050491333: 5634/19268
28.00542902946472: 5650/19268
29.173362731933594: 5659/19268
30.32875108718872: 5690/19268
31.47067379951477: 5737/19268
32.62800359725952: 5752/19268
33.76342701911926: 5804/19268
34.96089506149292: 5804/19268
36.10455012321472: 5804/19268
37.23968458175659: 5806/19268
38.37221360206604: 5810/19268
39.51183843612671: 5874/19268
40.902246952056885: 5882/19268
42.093000411987305: 5899/19268
43.23536777496338: 5900/19268
44.40931987762451: 5923/19268
45.61123776435852: 5931/19268
46.75718116760254: 5931/19268
47.9086058139801: 5931/19268
49.086442947387695: 5931/19268
50.249314069747925: 5931/19268
51.414623975753784: 5943/19268
52.586963176727295: 5947/19268
53.720600605010986: 5947/19268
54.888516902923584: 5949/19268
56.050862073898315: 5949/19268
57.21246886253357: 5949/19268
58.39221167564392: 5951/19268
59.59108090400696: 5960/19268
60.717814683914185: 5974/19268
61.87251877784729: 5976/19268
63.02536630630493: 6037/19268
64.15859508514404: 6037/19268
65.35440993309021: 6042/19268
66.52980160713196: 6044/19268
67.75649571418762: 6045/19268
68.90092968940735: 6060/19268
70.02920389175415: 6063/19268
71.19244194030762: 6081/19268
72.36253190040588: 6091/19268
73.54966282844543: 6094/19268
74.7043936252594: 6114/19268
75.97948455810547: 6114/19268
77.10364723205566: 6115/19268
78.23730421066284: 6115/19268
79.41330575942993: 6115/19268
80.57948589324951: 6115/19268
81.72428727149963: 6115/19268
82.86740922927856: 6115/19268
84.03807950019836: 6115/19268
85.1613039970398: 6120/19268
86.27783203125: 6120/19268
87.41327238082886: 6124/19268
88.55129814147949: 6134/19268
89.74020743370056: 6143/19268
90.9410457611084: 6147/19268
92.10386800765991: 6147/19268
93.27079796791077: 6148/19268
94.40397691726685: 6155/19268
95.56495499610901: 6167/19268
96.71932673454285: 6182/19268
97.88938617706299: 6182/19268
99.09137964248657: 6182/19268
100.28946208953857: 6191/19268
101.52209877967834: 6191/19268
102.7432279586792: 6204/19268
103.94483232498169: 6204/19268
105.10696411132812: 6209/19268
106.29032254219055: 6209/19268
107.50418663024902: 6209/19268
108.65504956245422: 6209/19268
109.8565149307251: 6209/19268
111.3282356262207: 6222/19268
112.5077612400055: 6222/19268
113.64463305473328: 6222/19268
114.80040192604065: 6227/19268
116.00774717330933: 6239/19268
117.18769359588623: 6239/19268
118.39398241043091: 6243/19268
119.54846620559692: 6243/19268
120.7326169013977: 6243/19268
122.01264691352844: 6244/19268
123.16095566749573: 6244/19268
124.31772327423096: 6245/19268
125.4517068862915: 6246/19268
126.59595584869385: 6246/19268
127.76442527770996: 6246/19268
128.91267347335815: 6248/19268
130.0799503326416: 6248/19268
131.24573063850403: 6248/19268
132.40483856201172: 6248/19268
133.5875265598297: 6248/19268
134.74194312095642: 6248/19268
135.8708107471466: 6248/19268
137.00497317314148: 6248/19268
138.1791067123413: 6248/19268
139.31708145141602: 6254/19268
140.47676038742065: 6254/19268
141.64409470558167: 6254/19268
142.78395867347717: 6260/19268
143.97713375091553: 6265/19268
145.1268219947815: 6265/19268
146.27746844291687: 6265/19268
147.42033624649048: 6267/19268
148.59867930412292: 6278/19268
149.80785989761353: 6279/19268
151.01309990882874: 6279/19268
152.17076325416565: 6279/19268
153.3331320285797: 6281/19268
154.49894070625305: 6282/19268
155.67478013038635: 6282/19268
156.86025214195251: 6282/19268
158.00549697875977: 6282/19268
159.17982697486877: 6282/19268
160.39554929733276: 6282/19268
161.5410385131836: 6282/19268
162.70588779449463: 6282/19268
163.84834218025208: 6282/19268
165.014741897583: 6282/19268
166.15953969955444: 6282/19268
167.31778979301453: 6282/19268
168.50383925437927: 6282/19268
169.7120008468628: 6282/19268
170.93586111068726: 6283/19268
172.0716552734375: 6283/19268
173.23641657829285: 6283/19268
174.40951800346375: 6283/19268
175.56020998954773: 6283/19268
176.77204298973083: 6283/19268
177.93626284599304: 6283/19268
179.08515667915344: 6286/19268
180.23327255249023: 6286/19268
181.41789507865906: 6286/19268
182.64756679534912: 6293/19268
183.80498051643372: 6296/19268
185.06477069854736: 6296/19268
186.23592376708984: 6296/19268
187.70457553863525: 6296/19268
188.88512444496155: 6296/19268
190.30481672286987: 6296/19268
191.4501576423645: 6296/19268
192.6005823612213: 6296/19268
193.7377965450287: 6296/19268
199.8945174217224: 6296/19268
201.0259187221527: 6296/19268
202.17870020866394: 6296/19268
203.32338452339172: 6296/19268
204.48036885261536: 6296/19268
205.62332725524902: 6298/19268
206.76448845863342: 6300/19268
207.91400265693665: 6300/19268
209.0739767551422: 6300/19268
210.2954580783844: 6300/19268
211.47623109817505: 6300/19268
213.12766933441162: 6300/19268
214.29730772972107: 6304/19268
215.48604345321655: 6306/19268
216.6536614894867: 6306/19268
218.10632586479187: 6306/19268
219.28734970092773: 6318/19268
220.45466208457947: 6318/19268
221.685777425766: 6334/19268
222.862300157547: 6334/19268
224.59686517715454: 6334/19268
225.7590091228485: 6339/19268
226.95580291748047: 6339/19268
228.21062016487122: 6339/19268
229.4698040485382: 6339/19268
230.63980293273926: 6339/19268
231.82293367385864: 6339/19268
233.0235002040863: 6339/19268
234.4069538116455: 6339/19268
235.77211093902588: 6339/19268
236.9791877269745: 6339/19268
238.14447236061096: 6339/19268
239.58785676956177: 6339/19268
240.81248497962952: 6339/19268
242.4261474609375: 6339/19268
243.61492276191711: 6339/19268
245.00496101379395: 6339/19268
246.43268537521362: 6340/19268
247.65042734146118: 6340/19268
248.8418197631836: 6340/19268
250.02358412742615: 6340/19268
251.1968047618866: 6340/19268
252.65908527374268: 6344/19268
253.85013341903687: 6347/19268
255.0590648651123: 6352/19268
256.2742328643799: 6352/19268
257.72913455963135: 6352/19268
258.88629603385925: 6352/19268
260.3269245624542: 6353/19268
261.51986050605774: 6358/19268
263.1347551345825: 6358/19268
264.2952926158905: 6358/19268
265.45107913017273: 6360/19268
266.61815881729126: 6370/19268
267.87969875335693: 6386/19268
269.0997221469879: 6387/19268
270.3107862472534: 6387/19268
271.75300693511963: 6387/19268
272.943895816803: 6387/19268
274.1256015300751: 6387/19268
275.26958656311035: 6387/19268
276.4651389122009: 6387/19268
277.65454173088074: 6387/19268
278.8614959716797: 6387/19268
280.0764636993408: 6387/19268
281.2310280799866: 6400/19268
282.8978762626648: 6400/19268
284.0660123825073: 6400/19268
285.4846968650818: 6401/19268
286.9054136276245: 6401/19268
288.09377098083496: 6401/19268
289.56639671325684: 6401/19268
290.7710430622101: 6401/19268
291.9926633834839: 6401/19268
293.424507856369: 6401/19268
294.65169978141785: 6401/19268
295.83397912979126: 6402/19268
297.03542017936707: 6402/19268
298.2378602027893: 6402/19268
299.71415400505066: 6404/19268
300.92153811454773: 6404/19268
302.8187119960785: 6404/19268
304.28821063041687: 6404/19268
305.4597797393799: 6404/19268
306.63085746765137: 6404/19268
307.8140847682953: 6404/19268
309.00134778022766: 6404/19268
310.14299154281616: 6404/19268
311.36101484298706: 6405/19268
312.5056743621826: 6405/19268
313.6926848888397: 6406/19268
314.84408259391785: 6407/19268
316.0571413040161: 6407/19268
317.22790718078613: 6407/19268
318.380996465683: 6407/19268
319.53124952316284: 6407/19268
320.710898399353: 6407/19268
321.91601181030273: 6407/19268
323.1036069393158: 6407/19268
324.30164432525635: 6407/19268
325.5003023147583: 6409/19268
326.67505741119385: 6409/19268
327.86099672317505: 6409/19268
329.00966024398804: 6409/19268
330.21142959594727: 6409/19268
331.36481761932373: 6409/19268
332.5083405971527: 6410/19268
333.7264893054962: 6410/19268
334.91801714897156: 6410/19268
336.085378408432: 6410/19268
337.2694172859192: 6410/19268
338.3934931755066: 6410/19268
339.5854594707489: 6410/19268
340.7371942996979: 6411/19268
341.8897840976715: 6411/19268
343.07030844688416: 6411/19268
344.2259957790375: 6420/19268
345.3962905406952: 6421/19268
346.5424289703369: 6421/19268
347.7069697380066: 6423/19268
348.85002398490906: 6423/19268
