32.9693398475647: 5216/19268
64.70738458633423: 5642/19268
97.915531873703: 5847/19268
108.13785433769226: 5868/19268
134.60810613632202: 5952/19268
162.0541214942932: 5968/19268
193.76136684417725: 5993/19268
219.4477698802948: 5995/19268
245.1740050315857: 6007/19268
270.3434729576111: 6013/19268
308.92033648490906: 6140/19268
339.17766761779785: 6153/19268
351.51185393333435: 6194/19268
377.91917300224304: 6204/19268
403.09256172180176: 6232/19268
430.29312467575073: 6250/19268
437.6966435909271: 6256/19268
467.4095950126648: 6263/19268
496.49389839172363: 6271/19268
519.8945472240448: 6271/19268
546.5631639957428: 6279/19268
558.1259844303131: 6292/19268
583.9341580867767: 6317/19268
614.9450101852417: 6320/19268
639.9888753890991: 6322/19268
648.4100081920624: 6322/19268
657.6383967399597: 6330/19268
683.2384338378906: 6330/19268
720.0871794223785: 6343/19268
746.0770773887634: 6343/19268
755.0936417579651: 6343/19268
780.2484312057495: 6343/19268
789.6514887809753: 6344/19268
796.3090853691101: 6344/19268
822.1703908443451: 6344/19268
850.0632436275482: 6344/19268
858.0407471656799: 6344/19268
882.8358633518219: 6345/19268
913.3194966316223: 6355/19268
952.0126476287842: 6368/19268
979.2467460632324: 6368/19268
1011.9756183624268: 6378/19268
1041.352962732315: 6382/19268
1072.7810883522034: 6401/19268
1099.6069824695587: 6402/19268
1108.3610816001892: 6402/19268
1125.6170608997345: 6402/19268
1152.9541101455688: 6403/19268
1178.8984305858612: 6404/19268
1215.5442652702332: 6416/19268
1252.041657447815: 6419/19268
1286.0322909355164: 6423/19268
1316.1830687522888: 6423/19268
1347.7532482147217: 6427/19268
1378.0979781150818: 6428/19268
1406.9784271717072: 6428/19268
1435.6532382965088: 6429/19268
1463.191025018692: 6429/19268
1497.527957201004: 6434/19268
1506.0818235874176: 6435/19268
1537.2553079128265: 6435/19268
1560.4470262527466: 6449/19268
1587.0938320159912: 6457/19268
1613.4744436740875: 6457/19268
1640.4719471931458: 6457/19268
1670.258757352829: 6459/19268
1678.7027666568756: 6459/19268
1704.0341393947601: 6459/19268
1729.4070000648499: 6460/19268
1758.2105486392975: 6461/19268
1786.5412919521332: 6461/19268
1833.9478194713593: 6542/19268
1844.226581811905: 6542/19268
1875.4768476486206: 6542/19268
1887.263418674469: 6542/19268
1914.6998405456543: 6542/19268
1922.615293264389: 6542/19268
1959.1086947917938: 6554/19268
1982.2270736694336: 6554/19268
2016.540979385376: 6562/19268
2032.2791397571564: 6562/19268
2050.325923681259: 6562/19268
2078.000339984894: 6563/19268
2103.985450744629: 6563/19268
2126.1344413757324: 6563/19268
2154.3310685157776: 6563/19268
2180.575871706009: 6563/19268
2216.6046993732452: 6563/19268
2247.4269556999207: 6563/19268
2275.782157897949: 6563/19268
2305.1605632305145: 6570/19268
2335.305683374405: 6570/19268
2345.5477256774902: 6570/19268
2374.1819927692413: 6570/19268
2383.9931864738464: 6572/19268
2411.8506417274475: 6579/19268
2453.4889616966248: 6605/19268
2479.8407850265503: 6605/19268
2491.8125722408295: 6605/19268
2519.7031593322754: 6623/19268
2530.884711265564: 6623/19268
2567.963310956955: 6626/19268
2598.763804912567: 6626/19268
2625.1630063056946: 6626/19268
2632.379524230957: 6626/19268
2662.381759405136: 6639/19268
2677.3885259628296: 6639/19268
2704.2253777980804: 6639/19268
2732.765916824341: 6640/19268
2758.036752462387: 6640/19268
2784.9822850227356: 6640/19268
2793.959494829178: 6640/19268
2825.899016857147: 6640/19268
2834.4350340366364: 6640/19268
2858.8215568065643: 6640/19268
2887.534072160721: 6640/19268
2916.165551185608: 6640/19268
2925.633778810501: 6640/19268
2935.5759615898132: 6640/19268
2961.721435546875: 6640/19268
2989.6861023902893: 6640/19268
2996.357417821884: 6640/19268
3032.0549688339233: 6640/19268
3061.109740972519: 6641/19268
3089.306090593338: 6641/19268
3119.0776793956757: 6643/19268
3131.78862452507: 6643/19268
3157.253313302994: 6643/19268
3186.087758541107: 6643/19268
3212.8868288993835: 6643/19268
3219.758234977722: 6643/19268
3247.6418726444244: 6643/19268
3274.741713285446: 6643/19268
3299.3134531974792: 6645/19268
3322.815046072006: 6646/19268
3329.8948929309845: 6646/19268
3341.0360431671143: 6646/19268
3372.620878458023: 6647/19268
3397.2224264144897: 6647/19268
3426.9967756271362: 6647/19268
3452.614410877228: 6648/19268
3479.335393190384: 6648/19268
3507.3070209026337: 6648/19268
3531.4849932193756: 6648/19268
3559.7641179561615: 6648/19268
3589.775892496109: 6649/19268
3596.9237208366394: 6650/19268
3625.8250839710236: 6650/19268
3633.1675205230713: 6650/19268
3657.178778886795: 6650/19268
3686.1470141410828: 6650/19268
3723.947562932968: 6650/19268
3758.290212392807: 6650/19268
3784.7765638828278: 6650/19268
3814.050706386566: 6650/19268
3841.9837572574615: 6652/19268
3869.024084329605: 6652/19268
3876.1806802749634: 6652/19268
3899.4626631736755: 6652/19268
3930.1988854408264: 6652/19268
3954.974686861038: 6652/19268
3984.3219220638275: 6652/19268
4015.495869874954: 6652/19268
4039.967164993286: 6653/19268
4047.588618040085: 6653/19268
4079.3357603549957: 6653/19268
4108.704056501389: 6653/19268
4116.513336420059: 6653/19268
