56.003011104155014: 5315/19268
106.21311014099538: 5715/19268
169.07293139225686: 6118/19268
214.28694128236876: 6497/19268
273.87471545618035: 6629/19268
308.18655220023675: 6759/19268
357.1034311683604: 6778/19268
393.7248171479654: 6778/19268
449.9928822373468: 6778/19268
524.9105264333967: 6778/19268
550.7261588849715: 6778/19268
606.6582535817777: 6778/19268
652.718406207461: 6778/19268
713.4887970128801: 6778/19268
764.2999703667729: 6779/19268
815.2512932032379: 6779/19268
870.0914341276375: 6779/19268
917.5088637058718: 6780/19268
958.5811436472345: 6780/19268
1003.0671978806214: 6781/19268
1062.0463749014332: 6781/19268
1096.4986558843866: 6781/19268
1163.097839809072: 6781/19268
1189.4059074287222: 6781/19268
1248.7825939055072: 6781/19268
1288.0763116105888: 6781/19268
1344.5168076083194: 6781/19268
1400.454046406815: 6781/19268
1436.7219705064542: 6781/19268
1506.047436231708: 6784/19268
1548.0988304412583: 6784/19268
1596.8975827896377: 6784/19268
1659.1563924391235: 6784/19268
1719.481542494824: 6784/19268
1763.86322847425: 6784/19268
1810.9215272368913: 6785/19268
1849.3101392688213: 6785/19268
1919.0075454015075: 6785/19268
1962.1112561094058: 6785/19268
2011.7525710948157: 6785/19268
2043.7250132181684: 6785/19268
2090.788486869411: 6785/19268
2123.848078552293: 6785/19268
2200.6653033382486: 6787/19268
2223.798819822415: 6787/19268
2287.52864878171: 6787/19268
2334.366205554727: 6787/19268
2368.9128292899845: 6787/19268
2423.3199877747775: 6787/19268
2457.504706886212: 6788/19268
2518.360293373454: 6789/19268
2571.7844252939885: 6792/19268
2612.749401802347: 6793/19268
2664.945824544845: 6793/19268
2704.009351414859: 6793/19268
2751.9492050414074: 6793/19268
2803.2509191773506: 6793/19268
2844.794445384933: 6793/19268
2898.3638467321184: 6793/19268
2964.743446738881: 6793/19268
3032.459314953692: 6793/19268
3064.5583659663725: 6793/19268
3118.700536343857: 6793/19268
3162.4615200637027: 6793/19268
3209.4525725267195: 6794/19268
3264.18355294372: 6794/19268
3309.4565039352697: 6794/19268
3363.4116787734138: 6794/19268
3404.261985073115: 6795/19268
3453.54830985682: 6795/19268
3482.1975221156126: 6795/19268
3551.8887102264366: 6795/19268
3605.5655079955072: 6795/19268
3661.6709333951485: 6795/19268
3709.2594838468726: 6795/19268
3752.788860018978: 6795/19268
3807.1795113058206: 6795/19268
3858.7281971790653: 6798/19268
3915.173937578008: 6798/19268
3949.8453784554013: 6799/19268
3988.2793515278586: 6799/19268
4035.4412426954136: 6799/19268
4061.8422002411526: 6800/19268
4114.430558640938: 6800/19268
4176.183721684094: 6800/19268
4198.640558425754: 6800/19268
4262.732816771845: 6800/19268
4296.196065466616: 6800/19268
4324.6418407175415: 6800/19268
4358.235625276514: 6800/19268
4419.347616044928: 6800/19268
4465.686414204494: 6800/19268
4526.557579996506: 6803/19268
4572.4501722547975: 6803/19268
4630.641361231009: 6803/19268
4676.139244513987: 6803/19268
4719.9605098161055: 6804/19268
4784.018532095305: 6805/19268
4825.3332950790245: 6805/19268
4862.496500811713: 6806/19268
4939.737920915694: 6807/19268
4971.745996894461: 6807/19268
5023.028533984917: 6807/19268
5082.537701512789: 6807/19268
5144.120241350255: 6810/19268
5180.283223776705: 6810/19268
5216.453974783802: 6811/19268
5273.734160047091: 6811/19268
5318.7436806420465: 6811/19268
5387.906657992772: 6811/19268
5439.092342434926: 6811/19268
5478.811474614906: 6811/19268
5537.169196706654: 6811/19268
5576.714716260534: 6811/19268
5624.288930913445: 6811/19268
5682.334581828139: 6811/19268
5738.195118031118: 6811/19268
5786.087104374737: 6811/19268
5833.791944961043: 6811/19268
5885.651885851241: 6811/19268
5930.379629125909: 6815/19268
5974.250021942937: 6815/19268
6013.620976565866: 6815/19268
6069.3829829283095: 6815/19268
6139.545344496588: 6815/19268
6167.187755637041: 6815/19268
6198.778080322837: 6815/19268
6254.829325206766: 6815/19268
6285.379264096217: 6815/19268
6325.414800941964: 6815/19268
6372.856842648764: 6815/19268
6411.808196022723: 6816/19268
6446.910882640846: 6816/19268
6488.986415583302: 6816/19268
6512.6595964733615: 6816/19268
6586.929963514225: 6816/19268
6635.88889120493: 6817/19268
6665.834400838771: 6817/19268
6716.353520329195: 6817/19268
6773.746537175979: 6817/19268
6821.188855552796: 6817/19268
6871.380681402972: 6817/19268
6929.656360136387: 6821/19268
6981.347927791505: 6821/19268
7015.677709693945: 6822/19268
7034.895847915122: 6822/19268
7085.555800023506: 6822/19268
7141.21173298799: 6822/19268
7186.4639621500855: 6822/19268
7219.261911408763: 6822/19268
7243.940533353942: 6822/19268
7286.535921311062: 6823/19268
7322.926618388416: 6824/19268
7376.420217867129: 6824/19268
7427.1200949976455: 6824/19268
7478.2807149406035: 6824/19268
7540.930286482182: 6825/19268
7571.846813064921: 6826/19268
7623.703226597118: 6826/19268
7686.284695527922: 6826/19268
7707.766661425839: 6826/19268
7750.614669613055: 6826/19268
7797.382876575108: 6826/19268
7857.5478715388335: 6826/19268
7917.322641049251: 6826/19268
7966.416442071921: 6826/19268
8027.185218460138: 6826/19268
8074.5603505966965: 6826/19268
8128.535940998591: 6826/19268
8163.021998466724: 6827/19268
8202.834200927417: 6827/19268
8271.975391556789: 6827/19268
8307.641409980295: 6828/19268
8346.53725600242: 6828/19268
8401.342795498602: 6828/19268
8462.481152909728: 6828/19268
8493.499767629215: 6829/19268
8553.53262377665: 6829/19268
8583.914468791469: 6829/19268
8628.427176295181: 6829/19268
8667.786046143166: 6829/19268
8718.830792847102: 6830/19268
8750.841717767345: 6830/19268
8803.018541689296: 6830/19268
8870.710578873593: 6832/19268
8927.158948502074: 6832/19268
8956.73166611212: 6832/19268
9009.499547850332: 6832/19268
9044.018786247227: 6832/19268
9067.341981401887: 6832/19268
9129.335326826018: 6832/19268
9199.253503367014: 6834/19268
9231.0428141873: 6834/19268
9303.19074686803: 6834/19268
9359.44400375426: 6834/19268
9414.29197587715: 6834/19268
