7.070053339004517: 1597/19268
17.552252054214478: 2703/19268
27.07098937034607: 3667/19268
36.1207013130188: 4734/19268
43.52647590637207: 4757/19268
52.512433767318726: 4778/19268
60.73437142372131: 4845/19268
67.89642333984375: 4867/19268
75.67154216766357: 5058/19268
83.14993500709534: 5063/19268
92.78960514068604: 5095/19268
99.86937546730042: 5101/19268
107.53022313117981: 5156/19268
116.69686698913574: 5330/19268
125.07400918006897: 5332/19268
132.03576040267944: 5396/19268
139.50817847251892: 5419/19268
150.8223900794983: 5425/19268
159.11710166931152: 5506/19268
168.70284748077393: 5534/19268
177.46548438072205: 5536/19268
184.80188059806824: 5542/19268
192.10505390167236: 5545/19268
201.28340029716492: 5562/19268
208.155446767807: 5568/19268
215.7562129497528: 5569/19268
223.7084081172943: 5587/19268
230.79229378700256: 5587/19268
238.40978288650513: 5601/19268
246.23022556304932: 5601/19268
253.57454442977905: 5919/19268
261.4835774898529: 5924/19268
269.0993683338165: 5925/19268
277.5811777114868: 5954/19268
285.2286081314087: 5965/19268
295.5087924003601: 5973/19268
302.5739731788635: 5973/19268
309.9992926120758: 5974/19268
318.2947928905487: 5977/19268
325.52633810043335: 6000/19268
335.0073790550232: 6061/19268
343.20013308525085: 6061/19268
351.045695066452: 6061/19268
358.82351541519165: 6071/19268
366.3832948207855: 6072/19268
374.4310348033905: 6081/19268
382.71635937690735: 6085/19268
390.40649580955505: 6087/19268
399.682754278183: 6087/19268
409.4126789569855: 6087/19268
416.36987948417664: 6087/19268
423.71828413009644: 6088/19268
432.20565247535706: 6090/19268
439.26877069473267: 6090/19268
446.95554208755493: 6090/19268
456.39180755615234: 6090/19268
463.69572019577026: 6108/19268
471.0635414123535: 6108/19268
479.39382457733154: 6108/19268
487.2256054878235: 6108/19268
494.3580288887024: 6108/19268
502.39756512641907: 6118/19268
509.77477502822876: 6118/19268
517.0571913719177: 6118/19268
523.8968183994293: 6118/19268
531.5928514003754: 6118/19268
538.7447557449341: 6124/19268
546.1066732406616: 6124/19268
553.367137670517: 6124/19268
561.5016198158264: 6135/19268
568.6714448928833: 6135/19268
576.1603102684021: 6136/19268
583.1710071563721: 6138/19268
592.8739733695984: 6144/19268
600.6001887321472: 6144/19268
608.1465964317322: 6146/19268
615.01598072052: 6146/19268
623.6514937877655: 6157/19268
630.9853496551514: 6170/19268
638.4277601242065: 6170/19268
646.4346678256989: 6170/19268
654.5451245307922: 6172/19268
661.9045145511627: 6173/19268
669.0738627910614: 6173/19268
676.9262909889221: 6174/19268
686.3083438873291: 6174/19268
