23.46798086166382: 4499/19268
63.915436029434204: 5582/19268
89.30302739143372: 5661/19268
120.11877584457397: 5784/19268
146.75288558006287: 5913/19268
172.23126244544983: 5971/19268
178.43832921981812: 5986/19268
207.8920750617981: 6159/19268
215.90172791481018: 6164/19268
243.92745423316956: 6183/19268
269.6338667869568: 6191/19268
278.1656861305237: 6193/19268
301.40321803092957: 6193/19268
328.38771176338196: 6214/19268
356.32641649246216: 6240/19268
383.5128161907196: 6252/19268
417.30677247047424: 6259/19268
425.66342306137085: 6260/19268
454.8757860660553: 6271/19268
479.8163330554962: 6283/19268
488.67105317115784: 6292/19268
495.0638928413391: 6292/19268
518.9918894767761: 6292/19268
547.3996021747589: 6310/19268
575.4635689258575: 6335/19268
601.4624087810516: 6346/19268
634.4367926120758: 6369/19268
659.7626683712006: 6377/19268
669.805422782898: 6377/19268
681.4809398651123: 6388/19268
705.5457034111023: 6395/19268
712.7142603397369: 6396/19268
745.8069908618927: 6407/19268
752.7288296222687: 6407/19268
793.5799674987793: 6419/19268
819.9614646434784: 6420/19268
845.5660436153412: 6420/19268
877.3420920372009: 6424/19268
900.3486785888672: 6425/19268
921.0965611934662: 6425/19268
944.6302826404572: 6450/19268
973.6450142860413: 6450/19268
1005.1032884120941: 6478/19268
1011.9126160144806: 6478/19268
1038.43092751503: 6479/19268
1064.5567858219147: 6479/19268
1090.9638125896454: 6485/19268
1121.6168990135193: 6486/19268
1145.831149339676: 6500/19268
1174.2052319049835: 6505/19268
1181.4157524108887: 6505/19268
1208.7542028427124: 6507/19268
1237.0323803424835: 6510/19268
1268.1052346229553: 6513/19268
1277.487096786499: 6513/19268
1302.4154043197632: 6514/19268
1331.942435503006: 6514/19268
1345.257372379303: 6514/19268
1373.4711470603943: 6516/19268
1420.0445847511292: 6535/19268
1429.245523929596: 6535/19268
1464.641491651535: 6535/19268
1471.5792963504791: 6535/19268
1503.8273344039917: 6554/19268
1510.6494181156158: 6554/19268
1518.2456555366516: 6554/19268
1545.425588130951: 6554/19268
1571.5450041294098: 6554/19268
1599.0966997146606: 6555/19268
1626.9176287651062: 6556/19268
1643.0643467903137: 6556/19268
1677.555452823639: 6556/19268
1703.8871805667877: 6556/19268
1735.486763715744: 6561/19268
1765.0590391159058: 6571/19268
1773.3368558883667: 6571/19268
1800.8099083900452: 6572/19268
1825.4526543617249: 6572/19268
1833.5786364078522: 6574/19268
1842.030751466751: 6574/19268
1870.1974568367004: 6575/19268
1904.4554047584534: 6575/19268
1941.2932331562042: 6576/19268
1949.9195947647095: 6576/19268
1974.4788165092468: 6576/19268
1985.992495059967: 6576/19268
2011.3732328414917: 6576/19268
2041.3147990703583: 6576/19268
2070.126278400421: 6579/19268
2098.3026671409607: 6579/19268
2126.2174396514893: 6579/19268
2150.5085458755493: 6581/19268
2179.174135684967: 6581/19268
2204.9201469421387: 6581/19268
2211.630191087723: 6581/19268
2239.176706790924: 6581/19268
2263.883285522461: 6581/19268
2291.4384377002716: 6583/19268
2315.5688281059265: 6583/19268
2322.842105150223: 6583/19268
2353.487821817398: 6587/19268
2386.711953639984: 6591/19268
2421.010276556015: 6591/19268
2429.738162755966: 6591/19268
2438.9103994369507: 6591/19268
2464.7739810943604: 6591/19268
2501.7859287261963: 6599/19268
2509.5836942195892: 6599/19268
2533.5083668231964: 6602/19268
2562.6920471191406: 6602/19268
2594.755385160446: 6602/19268
2627.2365555763245: 6603/19268
2659.038088083267: 6603/19268
2666.8194708824158: 6603/19268
2691.512164592743: 6603/19268
2732.8264513015747: 6604/19268
2759.959565639496: 6604/19268
2767.5619688034058: 6604/19268
2791.934864759445: 6604/19268
2816.9657492637634: 6605/19268
2844.9703900814056: 6606/19268
2869.750552415848: 6606/19268
2895.610258102417: 6606/19268
2922.1202001571655: 6606/19268
2934.295758008957: 6606/19268
2965.1862137317657: 6607/19268
2973.348117828369: 6607/19268
3002.908845424652: 6607/19268
3033.104642868042: 6609/19268
3061.805456161499: 6611/19268
3093.451893091202: 6611/19268
3114.4403817653656: 6611/19268
3143.4319388866425: 6611/19268
3169.1921133995056: 6611/19268
3200.4643647670746: 6612/19268
3213.3757226467133: 6612/19268
3241.2476308345795: 6612/19268
3256.6581144332886: 6612/19268
3285.370463371277: 6612/19268
3319.558073759079: 6612/19268
3348.628566980362: 6612/19268
3355.597156047821: 6612/19268
3380.3457028865814: 6613/19268
3416.1168892383575: 6613/19268
3454.051627635956: 6613/19268
3482.7461020946503: 6613/19268
3509.3446249961853: 6613/19268
3538.6616592407227: 6613/19268
3552.4784648418427: 6613/19268
3580.8217566013336: 6614/19268
3617.133953809738: 6614/19268
3649.1829586029053: 6615/19268
3682.455857038498: 6615/19268
3709.0230288505554: 6616/19268
3717.0140192508698: 6616/19268
3744.531496524811: 6616/19268
3768.8565237522125: 6617/19268
3783.95233130455: 6617/19268
3811.127639770508: 6617/19268
3835.0604572296143: 6617/19268
3847.862484693527: 6617/19268
3857.8939616680145: 6617/19268
