9.234018802642822: 15181/47276
18.363396883010864: 15759/47276
27.599130392074585: 16118/47276
38.063223361968994: 16439/47276
49.70862817764282: 16750/47276
59.690757751464844: 16770/47276
69.10100841522217: 17083/47276
79.59143114089966: 17096/47276
88.81634306907654: 17663/47276
98.26954364776611: 17680/47276
110.55300784111023: 17712/47276
120.14529991149902: 17712/47276
130.38604831695557: 17754/47276
140.86370611190796: 19185/47276
150.54569387435913: 19187/47276
160.93136858940125: 19219/47276
170.82807421684265: 19221/47276
180.69153141975403: 19247/47276
190.17722606658936: 19253/47276
199.6812400817871: 19400/47276
209.7470829486847: 19402/47276
219.03195643424988: 19407/47276
228.33686447143555: 19410/47276
237.93828535079956: 19415/47276
247.32100558280945: 19454/47276
257.1773512363434: 19454/47276
266.7870771884918: 19454/47276
276.3083510398865: 19815/47276
285.66503047943115: 19815/47276
295.3043360710144: 19932/47276
305.3710563182831: 20003/47276
314.85485100746155: 20004/47276
325.5288920402527: 20004/47276
334.9242899417877: 20016/47276
344.4208183288574: 20170/47276
353.867636680603: 20190/47276
363.25868248939514: 20191/47276
373.0676853656769: 20191/47276
383.1128087043762: 20191/47276
392.5730230808258: 20191/47276
401.9777593612671: 20320/47276
411.49311900138855: 20333/47276
421.1777400970459: 20334/47276
430.563579082489: 20340/47276
440.28429675102234: 20340/47276
449.9835753440857: 20340/47276
459.5711987018585: 20458/47276
469.02288031578064: 20494/47276
478.88932633399963: 20494/47276
488.30855417251587: 20494/47276
498.034517288208: 20494/47276
507.91051840782166: 20494/47276
517.7907791137695: 20494/47276
527.1417949199677: 20497/47276
536.8672528266907: 20497/47276
547.2294869422913: 20515/47276
556.8825323581696: 20535/47276
566.5284068584442: 20568/47276
575.9155168533325: 20571/47276
585.4694581031799: 20571/47276
595.130081653595: 20632/47276
604.5994567871094: 20634/47276
614.1531295776367: 20634/47276
623.5500602722168: 20634/47276
633.1858944892883: 20877/47276
643.07945561409: 20877/47276
652.8033096790314: 20903/47276
662.3698689937592: 20988/47276
671.9776041507721: 21072/47276
681.4945747852325: 21072/47276
691.3457863330841: 21072/47276
701.1378138065338: 21118/47276
710.6419689655304: 21118/47276
720.3429934978485: 21118/47276
730.0631420612335: 21118/47276
739.6353754997253: 21118/47276
749.1244158744812: 21118/47276
758.5341272354126: 21118/47276
767.9549841880798: 21118/47276
777.8174540996552: 21438/47276
787.6717972755432: 21438/47276
797.5970463752747: 21449/47276
807.7973883152008: 21449/47276
817.1966142654419: 21452/47276
826.7147207260132: 21452/47276
836.7796885967255: 21452/47276
846.2105338573456: 21452/47276
855.5165023803711: 21452/47276
864.9124681949615: 21452/47276
874.2853648662567: 21452/47276
883.6473484039307: 21515/47276
893.2348201274872: 21515/47276
902.6709189414978: 21515/47276
912.415013551712: 21520/47276
922.0646815299988: 21520/47276
932.6459972858429: 21531/47276
942.4802341461182: 21533/47276
952.4277007579803: 21534/47276
963.7722897529602: 21534/47276
973.2651515007019: 21538/47276
982.8183746337891: 21538/47276
992.2784788608551: 21538/47276
1002.2186167240143: 21538/47276
1012.028804063797: 21540/47276
1021.5145316123962: 21540/47276
1031.263375043869: 21546/47276
1041.6125140190125: 21546/47276
1051.1471765041351: 21577/47276
1060.7863545417786: 21577/47276
1070.9296970367432: 21577/47276
1080.367953300476: 21577/47276
1089.832571029663: 21577/47276
1099.2705845832825: 21577/47276
1108.7346799373627: 21577/47276
1118.304300069809: 21577/47276
1128.3307240009308: 21577/47276
1137.764466047287: 21577/47276
1147.2331631183624: 21577/47276
1157.2410762310028: 21582/47276
1168.4301884174347: 21606/47276
1178.1481325626373: 21609/47276
1188.1332252025604: 21609/47276
1197.9077620506287: 21609/47276
1207.7181689739227: 22884/47276
1217.3227882385254: 22884/47276
1226.95805311203: 22884/47276
1236.7213079929352: 22885/47276
1246.9292500019073: 22944/47276
1256.6638133525848: 22967/47276
1267.0583429336548: 22970/47276
1276.756044626236: 22972/47276
1287.7367451190948: 22972/47276
1297.4453012943268: 22972/47276
1306.8896131515503: 22972/47276
1317.019822359085: 22972/47276
1326.7268960475922: 22978/47276
1336.4249861240387: 22978/47276
1345.8821876049042: 22978/47276
1356.442020893097: 22978/47276
1366.1282980442047: 22978/47276
1376.0648212432861: 22978/47276
1386.4089896678925: 22978/47276
1396.6037633419037: 22978/47276
1407.240490913391: 22978/47276
1416.8819632530212: 22978/47276
1426.3422765731812: 22978/47276
1435.9207510948181: 22978/47276
1445.7649357318878: 22984/47276
1455.0486526489258: 22984/47276
1464.6215493679047: 22985/47276
1474.1358156204224: 22985/47276
1483.7128863334656: 22988/47276
1493.488855600357: 22988/47276
1503.0297853946686: 22988/47276
1513.2749063968658: 22988/47276
1523.396687746048: 22988/47276
1533.8805332183838: 22988/47276
1543.3697578907013: 22988/47276
1554.1549060344696: 22989/47276
1563.7431132793427: 22990/47276
1576.0651559829712: 22990/47276
1586.207364320755: 22990/47276
1595.8733172416687: 22990/47276
1606.1611614227295: 22990/47276
1616.3205163478851: 22990/47276
1626.1471951007843: 22990/47276
1635.65336728096: 22990/47276
1645.1317739486694: 22990/47276
1654.891436100006: 22990/47276
1665.0140979290009: 22991/47276
1674.6426646709442: 22991/47276
1685.0175619125366: 22991/47276
1696.0005378723145: 22991/47276
1706.1253666877747: 22991/47276
1722.602341413498: 22991/47276
1732.1545960903168: 22991/47276
1741.825632095337: 22991/47276
1751.5604197978973: 22991/47276
1760.990890264511: 22991/47276
1771.198080778122: 22991/47276
1781.3439247608185: 23005/47276
1791.2175796031952: 23005/47276
1800.7490739822388: 23005/47276
1810.3860161304474: 23005/47276
1820.5709166526794: 23005/47276
1830.0028388500214: 23005/47276
1839.7449941635132: 23005/47276
1850.2091541290283: 23024/47276
1859.6640334129333: 23024/47276
1869.4768679141998: 23024/47276
1880.497611284256: 23024/47276
1892.0491378307343: 23024/47276
1901.8288192749023: 23024/47276
1912.018518447876: 23024/47276
1921.4677968025208: 23024/47276
1930.9986038208008: 23057/47276
1941.2432570457458: 23057/47276
1950.6838202476501: 23098/47276
1960.3008093833923: 23098/47276
1970.0362203121185: 23105/47276
1979.9318153858185: 23105/47276
1989.602931022644: 23105/47276
1999.4987647533417: 23105/47276
2009.6041469573975: 23105/47276
2022.0195705890656: 23111/47276
2032.4562964439392: 23111/47276
2042.1054797172546: 23111/47276
2051.8758125305176: 23111/47276
2062.14373087883: 23111/47276
2071.8687121868134: 23111/47276
2082.0695180892944: 23187/47276
2091.8152277469635: 23187/47276
2101.882440805435: 23229/47276
2111.2943830490112: 23229/47276
2121.278841972351: 23229/47276
2130.8397986888885: 23229/47276
2140.795080423355: 23229/47276
2150.980117559433: 23229/47276
2160.9585905075073: 23229/47276
2170.5020549297333: 23229/47276
2180.0284440517426: 23229/47276
2189.5323882102966: 23230/47276
2199.4818568229675: 23230/47276
2209.2795197963715: 23230/47276
2218.7845311164856: 23230/47276
2228.3956162929535: 23230/47276
2237.9012784957886: 23230/47276
2248.205295562744: 23230/47276
2258.8447291851044: 23230/47276
2268.389402151108: 23230/47276
2278.3772733211517: 23230/47276
2288.5136585235596: 23233/47276
2298.1246752738953: 23233/47276
2308.9238147735596: 23240/47276
2318.9109194278717: 23240/47276
2328.415582180023: 23240/47276
2337.9273796081543: 23243/47276
2347.31081199646: 23243/47276
2357.22870016098: 23243/47276
2367.055136680603: 23243/47276
2376.5641691684723: 23243/47276
