8.500602722167969: 3743/19268
28.277343034744263: 5283/19268
45.117746353149414: 5492/19268
62.72456431388855: 5585/19268
81.17988467216492: 5645/19268
98.49107480049133: 5672/19268
120.22436833381653: 5887/19268
137.32973670959473: 5940/19268
157.69305300712585: 6014/19268
175.433744430542: 6027/19268
195.94756937026978: 6142/19268
205.16459131240845: 6143/19268
225.2976222038269: 6150/19268
244.3864245414734: 6173/19268
262.8021285533905: 6179/19268
284.73868346214294: 6230/19268
295.10209560394287: 6233/19268
303.0391511917114: 6237/19268
312.47147941589355: 6239/19268
330.0753993988037: 6254/19268
348.5116572380066: 6261/19268
366.5201966762543: 6271/19268
385.4755687713623: 6282/19268
394.0211946964264: 6283/19268
410.3404462337494: 6283/19268
430.47146701812744: 6293/19268
450.4448788166046: 6296/19268
468.0336363315582: 6307/19268
494.03859663009644: 6335/19268
522.6521055698395: 6466/19268
547.1066982746124: 6485/19268
564.3246312141418: 6486/19268
581.9535386562347: 6488/19268
599.67746925354: 6489/19268
619.8096055984497: 6497/19268
636.7919654846191: 6501/19268
654.3376343250275: 6502/19268
671.7354667186737: 6502/19268
692.9048960208893: 6504/19268
701.9388990402222: 6508/19268
720.4884910583496: 6508/19268
739.5370719432831: 6512/19268
758.3322839736938: 6513/19268
766.4797132015228: 6513/19268
783.9797956943512: 6513/19268
802.6669540405273: 6513/19268
820.7275106906891: 6513/19268
838.5698752403259: 6513/19268
856.3159658908844: 6513/19268
878.6132781505585: 6521/19268
895.5193321704865: 6523/19268
914.6110277175903: 6524/19268
937.0776042938232: 6526/19268
951.2225706577301: 6527/19268
974.8464908599854: 6531/19268
994.9525587558746: 6537/19268
1014.4620764255524: 6543/19268
1032.9248769283295: 6544/19268
1049.6887414455414: 6544/19268
1067.8805871009827: 6545/19268
1087.8701298236847: 6550/19268
1108.2534956932068: 6564/19268
1115.8660061359406: 6564/19268
1134.95671916008: 6580/19268
1152.0369129180908: 6580/19268
1170.715657234192: 6580/19268
1190.9624602794647: 6580/19268
1208.6986610889435: 6580/19268
1215.8578650951385: 6580/19268
1225.2954449653625: 6580/19268
1242.7326650619507: 6580/19268
1258.7540879249573: 6580/19268
1277.6271023750305: 6581/19268
1297.769832611084: 6581/19268
1317.2225823402405: 6581/19268
1339.1054191589355: 6581/19268
1348.435958623886: 6581/19268
1366.5651047229767: 6581/19268
1384.3240208625793: 6581/19268
1393.025818824768: 6581/19268
1402.2056176662445: 6581/19268
1423.208170413971: 6581/19268
1441.0635685920715: 6581/19268
1463.0522096157074: 6584/19268
1482.06409740448: 6586/19268
1504.1544921398163: 6592/19268
1523.9146783351898: 6593/19268
1543.4443337917328: 6593/19268
1565.6120209693909: 6593/19268
1574.8569674491882: 6595/19268
1592.5644268989563: 6595/19268
1611.316291809082: 6597/19268
1628.5890274047852: 6597/19268
1646.3460862636566: 6597/19268
1667.766590833664: 6598/19268
1687.1164400577545: 6603/19268
1704.35093832016: 6603/19268
1719.9723389148712: 6603/19268
1743.3651022911072: 6611/19268
1760.9765138626099: 6611/19268
1771.8826866149902: 6611/19268
1791.0350496768951: 6611/19268
1801.69864487648: 6611/19268
1825.591267824173: 6611/19268
1842.9384410381317: 6611/19268
1861.7138223648071: 6611/19268
1874.659353017807: 6611/19268
1895.896721124649: 6611/19268
1916.8985049724579: 6612/19268
1935.1155664920807: 6612/19268
1947.9398019313812: 6612/19268
1967.330058813095: 6613/19268
1985.618928194046: 6613/19268
2003.1882979869843: 6613/19268
2017.8706004619598: 6613/19268
2042.4875705242157: 6613/19268
2064.999090909958: 6615/19268
2083.9033427238464: 6615/19268
2102.1418023109436: 6615/19268
2123.694854259491: 6615/19268
2143.554037094116: 6616/19268
2172.1937029361725: 6616/19268
2192.4723706245422: 6618/19268
2210.5769283771515: 6618/19268
2217.674464225769: 6618/19268
2237.6388132572174: 6618/19268
2258.6456570625305: 6618/19268
2277.512363433838: 6618/19268
2297.0426530838013: 6618/19268
2314.6876335144043: 6618/19268
2332.1351025104523: 6618/19268
2351.4385511875153: 6618/19268
2367.8133001327515: 6618/19268
2386.8220040798187: 6618/19268
2403.0072450637817: 6618/19268
2421.6991670131683: 6618/19268
2432.7337045669556: 6618/19268
2449.812774181366: 6618/19268
2466.9407505989075: 6619/19268
2483.7853558063507: 6619/19268
2491.1210012435913: 6619/19268
2500.5199184417725: 6619/19268
2510.9157230854034: 6619/19268
2527.995457172394: 6619/19268
2552.790052175522: 6620/19268
2575.093027114868: 6621/19268
2594.346271276474: 6621/19268
2612.337482690811: 6621/19268
2629.363000869751: 6621/19268
2645.795687198639: 6621/19268
2654.108936548233: 6621/19268
2679.2971041202545: 6625/19268
2698.335350036621: 6625/19268
2706.7493460178375: 6625/19268
2727.2643525600433: 6625/19268
2746.3453710079193: 6627/19268
2762.909665822983: 6627/19268
2781.7367022037506: 6627/19268
2799.458470106125: 6627/19268
2819.012209415436: 6627/19268
2836.151440858841: 6627/19268
2854.3627462387085: 6627/19268
2865.4049277305603: 6627/19268
2886.5844736099243: 6631/19268
2903.6763870716095: 6631/19268
2922.205127954483: 6631/19268
2932.7099764347076: 6631/19268
2949.7507133483887: 6632/19268
2969.000630378723: 6632/19268
2978.233658313751: 6632/19268
2996.498928785324: 6632/19268
3014.375791788101: 6632/19268
3031.781603574753: 6632/19268
3050.2710721492767: 6632/19268
3068.08487868309: 6632/19268
3087.488785505295: 6632/19268
3106.629209756851: 6632/19268
3124.7504694461823: 6632/19268
3141.067712545395: 6632/19268
3160.232967376709: 6632/19268
3182.0121886730194: 6632/19268
3191.5754313468933: 6632/19268
3198.988656759262: 6632/19268
3214.1085822582245: 6632/19268
3232.7617115974426: 6632/19268
3252.1997134685516: 6632/19268
3279.4477162361145: 6637/19268
3287.141360759735: 6637/19268
3306.57257938385: 6637/19268
