38.37333259959914: 22243/47276
52.17184094763715: 22836/47276
75.59886086105287: 22948/47276
94.96334177003374: 23247/47276
131.62753011466955: 23251/47276
164.4607863135721: 23602/47276
190.6930703935027: 23602/47276
222.7486077910495: 23602/47276
264.9557929980547: 23602/47276
288.5525292527037: 23603/47276
312.84200002340305: 23603/47276
326.03430283950956: 23603/47276
339.3794298462827: 23603/47276
367.64678549226636: 23603/47276
402.7987653680553: 23604/47276
430.493198597485: 23604/47276
467.4702127894076: 23604/47276
488.8708061999635: 23605/47276
524.5274812164405: 23605/47276
553.2331066001908: 23605/47276
574.0394485631473: 23605/47276
609.6513371007433: 23606/47276
632.6912028350822: 23606/47276
674.8706180699647: 23606/47276
701.1340648455913: 23607/47276
742.4599739848571: 23607/47276
761.010867861228: 23607/47276
793.4675856703952: 23608/47276
816.0274034390033: 23608/47276
851.4836156598699: 23608/47276
879.1046364495461: 23608/47276
912.9105241094605: 23609/47276
954.5213607791827: 23609/47276
997.0078882332291: 23610/47276
1015.5149266176455: 23610/47276
1056.6967142959702: 23610/47276
1096.076606139964: 23610/47276
1135.4572145245572: 23611/47276
1152.3827909792856: 23611/47276
1177.5766766425916: 23611/47276
1219.0595148686264: 23612/47276
1253.7367618495566: 23612/47276
1267.9623798515638: 23612/47276
1308.0989377888252: 23612/47276
1328.6060199752135: 23613/47276
1357.387216935631: 23613/47276
1378.1242001480061: 23613/47276
1413.6091917076928: 23613/47276
1429.3793069636524: 23614/47276
1445.5621302895224: 23614/47276
1482.5918386444378: 23614/47276
1509.8047068776466: 23614/47276
1529.7275894756822: 23615/47276
1555.7578341517922: 23615/47276
1578.1775584129791: 23615/47276
1600.5022090988475: 23615/47276
1630.4086380788199: 23615/47276
1659.8587945051893: 23616/47276
1683.4138152680036: 23616/47276
1724.7028985843945: 23616/47276
1742.4422690976319: 23617/47276
1766.312454677778: 23617/47276
1787.749161111337: 23617/47276
1812.011654836798: 23617/47276
1842.1894527762092: 23617/47276
1863.3406026869916: 23618/47276
1884.4673253812748: 23618/47276
1906.4546643922392: 23618/47276
1926.6914913984992: 23618/47276
1948.6835733792764: 23618/47276
1988.9379737217746: 23619/47276
2019.8796404095156: 23619/47276
2048.9824799172134: 23619/47276
2084.0169295498185: 23620/47276
2104.4025944561945: 23620/47276
2138.21276946185: 23620/47276
2177.4363961869203: 23621/47276
2200.7139541259085: 23621/47276
2220.5026770141685: 23621/47276
2238.6553246891003: 23621/47276
2280.5451625094443: 23622/47276
2294.017353221137: 23622/47276
2307.4429374023443: 23622/47276
2320.8506970778085: 23622/47276
2359.699164632323: 23622/47276
2391.6818654252043: 23623/47276
2409.399384959798: 23623/47276
2435.7480732363433: 23623/47276
2463.8107612235135: 23623/47276
2498.223126824508: 23624/47276
2522.240727704577: 23624/47276
2540.5556086815536: 23624/47276
2579.3131550204034: 23624/47276
2620.537782835908: 23625/47276
2640.3994515537725: 23625/47276
2682.2909480508974: 23625/47276
2715.030843648955: 23626/47276
2737.9561791838096: 23626/47276
2753.578150645724: 23626/47276
2779.2889077479686: 23626/47276
2799.409135315527: 23626/47276
2833.547337434771: 23627/47276
2859.7180541360563: 23627/47276
2887.7989624902793: 23627/47276
2918.648476946799: 23627/47276
2936.8133905163177: 23628/47276
2974.923534617429: 23628/47276
3005.2642470720316: 23628/47276
3021.9222959031135: 23628/47276
3050.990974536531: 23629/47276
3075.7093013068156: 23629/47276
3112.7557776940657: 23629/47276
3127.998307207969: 23629/47276
3162.9377479922405: 23630/47276
3189.95190604406: 23630/47276
3213.775498879743: 23630/47276
3249.064853652736: 23631/47276
3279.982994349882: 23631/47276
3304.672912128472: 23631/47276
3336.509336894078: 23631/47276
3372.3055041780826: 23632/47276
3385.5322259898385: 23632/47276
3401.118641979575: 23632/47276
3418.84053476628: 23632/47276
3434.621823013631: 23632/47276
3457.927876292074: 23632/47276
3495.8389703050443: 23633/47276
3513.0229058740206: 23633/47276
3531.49933123446: 23633/47276
3568.06978412944: 23633/47276
3607.8284090911434: 23634/47276
3632.1538050407235: 23634/47276
3662.342112040545: 23634/47276
3696.2305457072703: 23635/47276
3726.6107151133947: 23635/47276
3745.318945063337: 23635/47276
3782.9033019364556: 23635/47276
3822.5530825185524: 23636/47276
3860.608761426486: 23636/47276
3890.3750437524945: 23636/47276
3919.6818165927416: 23637/47276
3958.027603103596: 23637/47276
3986.1195238966225: 23637/47276
4007.2861206963844: 23637/47276
4023.582990643595: 23638/47276
4044.1023070374654: 23638/47276
4083.498748960181: 23638/47276
4103.699922245234: 23638/47276
4136.856547889008: 23639/47276
4165.438735634618: 23639/47276
4184.966833730983: 23639/47276
4227.259456960389: 23639/47276
4267.044654013239: 23640/47276
4306.9479952744405: 23640/47276
4327.033751479757: 23640/47276
4354.764247990112: 23641/47276
4392.617149523884: 23641/47276
4425.085074466837: 23641/47276
4439.326142642554: 23641/47276
4480.350876733535: 23642/47276
4498.823409581025: 23642/47276
4526.019578719199: 23642/47276
4561.5607872390365: 23642/47276
4583.6952467755045: 23643/47276
4625.679220310129: 23643/47276
4654.424699138924: 23643/47276
4667.76196328399: 23643/47276
4684.316463992169: 23644/47276
4726.120106879716: 23644/47276
4758.774275706397: 23644/47276
4799.878372389682: 23645/47276
4834.105990207458: 23645/47276
4874.56874934557: 23645/47276
4902.862415559532: 23645/47276
4927.809787422069: 23646/47276
4968.525783523268: 23646/47276
5002.664911388852: 23646/47276
5037.210987154975: 23647/47276
5069.451348931351: 23647/47276
5103.257384342343: 23647/47276
5128.59075424341: 23647/47276
5147.636061413349: 23648/47276
5164.317164897236: 23648/47276
5180.529591822013: 23648/47276
5197.931461503772: 23648/47276
5216.061822769804: 23648/47276
5231.099876836322: 23648/47276
5270.450249021188: 23649/47276
5296.065223315406: 23649/47276
5329.4406141842655: 23649/47276
5364.983752192279: 23650/47276
5384.4483641946135: 23650/47276
5399.224114504461: 23650/47276
5439.4481618297295: 23650/47276
5472.256730114641: 23650/47276
5512.989343717223: 23651/47276
5542.05089993415: 23651/47276
5558.296634397623: 23651/47276
5584.0929417000425: 23651/47276
5610.7744682741595: 23652/47276
5634.188120248461: 23652/47276
5664.355678490165: 23652/47276
5703.292179756355: 23653/47276
5745.740967048149: 23653/47276
5765.48466086873: 23653/47276
5800.761862741444: 23653/47276
5836.994341832888: 23654/47276
5873.089200762151: 23654/47276
5911.845152386552: 23654/47276
5944.06046421165: 23655/47276
5960.165923741281: 23655/47276
5973.692476723508: 23655/47276
5995.481616845352: 23655/47276
6020.052095559878: 23655/47276
6056.940171917239: 23656/47276
6075.181934757827: 23656/47276
6115.101892330605: 23656/47276
6145.011379273998: 23656/47276
6178.896478461176: 23657/47276
6195.543546738939: 23657/47276
6213.403856703912: 23657/47276
6248.893914510927: 23657/47276
6290.17879942624: 23658/47276
6318.69250248273: 23658/47276
6354.111011167132: 23658/47276
6372.239127918823: 23658/47276
6389.38832903496: 23658/47276
6404.500417932699: 23659/47276
6434.058053444943: 23659/47276
6475.587026216932: 23659/47276
