60.51931981972089: 4189/19268
129.02074070054542: 4854/19268
199.49011454372322: 6037/19268
264.6849991447118: 6430/19268
330.5832678457871: 6703/19268
421.087603853577: 6749/19268
477.3771437543506: 6763/19268
551.1029121907251: 6763/19268
621.2969612490581: 6765/19268
699.1381484269072: 6765/19268
764.2929335774613: 6765/19268
829.6853473114505: 6765/19268
905.7882037741939: 6765/19268
975.206417980335: 6765/19268
1050.8836997950432: 6765/19268
1107.6613390437697: 6765/19268
1173.6501363252132: 6765/19268
1230.5305116236996: 6768/19268
1281.77287734457: 6768/19268
1347.411341802722: 6768/19268
1434.2969307562564: 6768/19268
1500.4247952659925: 6768/19268
1566.9741093951272: 6768/19268
1620.6678907417245: 6768/19268
1667.2924911104446: 6769/19268
1741.0367490858719: 6771/19268
1810.5075255578256: 6771/19268
1867.0925746427856: 6771/19268
1915.6426916695848: 6771/19268
1985.9401103395992: 6775/19268
2045.3576374035965: 6775/19268
2106.35720906598: 6775/19268
2176.3401593038852: 6775/19268
2246.2722178827166: 6775/19268
2293.4768696022: 6777/19268
2361.838863579004: 6777/19268
2423.821126775411: 6777/19268
2473.6568133096607: 6777/19268
2535.899600129938: 6778/19268
2595.9677068770065: 6780/19268
2654.181213453294: 6780/19268
2712.7697024158756: 6780/19268
2759.2834458422817: 6781/19268
2813.721697976981: 6781/19268
2855.916599783658: 6781/19268
2910.222480566785: 6781/19268
2985.4804585814813: 6784/19268
3037.507202829609: 6784/19268
3090.3894403530016: 6785/19268
3169.067192762069: 6785/19268
3219.09886019288: 6785/19268
3282.005381581055: 6785/19268
3348.4302140834: 6785/19268
3408.9030275312857: 6785/19268
3478.623946959222: 6786/19268
3545.3760859405425: 6786/19268
3608.2886654589815: 6787/19268
3669.6889005905286: 6787/19268
3727.0263662506354: 6788/19268
3789.371927139896: 6788/19268
3869.8231745374587: 6788/19268
3909.517979919553: 6788/19268
3959.2864030818946: 6789/19268
4052.1942995893164: 6789/19268
4095.1288428014527: 6789/19268
4162.134396002822: 6790/19268
4223.321363499331: 6790/19268
4288.806194865366: 6791/19268
4341.629362486665: 6791/19268
4378.209940617436: 6791/19268
4439.728724715849: 6791/19268
4490.64110988111: 6791/19268
4544.825989815694: 6793/19268
4608.04227192255: 6793/19268
4693.829626127983: 6793/19268
4759.585091590491: 6793/19268
4811.5223443771765: 6793/19268
4897.041408182581: 6793/19268
4957.77414885942: 6793/19268
5031.79446159984: 6793/19268
5081.677886918482: 6797/19268
5154.070917121202: 6797/19268
5222.382848015576: 6797/19268
5290.31533198942: 6798/19268
5333.499798586376: 6798/19268
5396.420399722283: 6798/19268
5458.0057175761485: 6798/19268
5543.565043689135: 6798/19268
5602.681556801927: 6798/19268
5679.513039959861: 6798/19268
5735.02725375225: 6801/19268
5803.680093863428: 6801/19268
5878.168317931336: 6801/19268
5927.500032754584: 6801/19268
5983.719224179396: 6801/19268
6056.4967200068595: 6801/19268
6137.194842900222: 6801/19268
6199.54101691118: 6803/19268
6266.66143468671: 6804/19268
6321.871047079262: 6804/19268
6377.252914866951: 6804/19268
6434.571074124555: 6804/19268
6497.383523038103: 6804/19268
6554.502760686591: 6804/19268
6629.621820540232: 6804/19268
6700.275234500373: 6804/19268
6740.22451061028: 6804/19268
6802.68518972065: 6804/19268
6858.882923455027: 6805/19268
6907.558235816056: 6809/19268
6961.529464479869: 6809/19268
7030.252321271282: 6809/19268
7106.789801514385: 6809/19268
7180.696378781257: 6809/19268
7236.974600419349: 6811/19268
7296.5110325319: 6811/19268
7339.134857379148: 6811/19268
7382.360993647877: 6811/19268
7457.889865063672: 6811/19268
7527.690210262922: 6811/19268
7601.152613486796: 6811/19268
7645.223503915361: 6811/19268
7730.124387103694: 6811/19268
7787.904516774318: 6811/19268
7861.792424364213: 6811/19268
7925.59631190098: 6815/19268
7992.611912580041: 6816/19268
8061.835059278292: 6816/19268
8126.314057805417: 6816/19268
8184.29414059107: 6816/19268
8251.952566689786: 6816/19268
8323.908000960237: 6817/19268
8383.601749358937: 6817/19268
8440.399658938693: 6817/19268
8495.195669822397: 6819/19268
8528.298404195535: 6819/19268
8604.834297011326: 6819/19268
8648.913110483185: 6819/19268
8722.843461681343: 6820/19268
8784.395623834176: 6820/19268
8853.106741024196: 6820/19268
8908.598363748: 6821/19268
8966.867967179463: 6821/19268
9024.618314187224: 6821/19268
9095.436337188754: 6821/19268
9169.057863789596: 6821/19268
9230.811808923874: 6821/19268
9296.780905002062: 6821/19268
9349.97395134558: 6821/19268
9430.004796726013: 6821/19268
9475.785868788755: 6821/19268
9540.05126501139: 6821/19268
9593.445240904495: 6821/19268
9667.407037803017: 6821/19268
9754.198945749607: 6821/19268
9817.785880301824: 6822/19268
9873.822232559878: 6822/19268
9926.96988468577: 6822/19268
9988.08173978362: 6823/19268
10021.05097298702: 6823/19268
10115.800572377275: 6823/19268
10159.036392343263: 6823/19268
10228.919764463453: 6823/19268
10274.261779037588: 6823/19268
10341.508892827198: 6827/19268
10400.606139155054: 6828/19268
10458.842031967011: 6829/19268
10520.033903416961: 6829/19268
10582.752637975555: 6829/19268
10659.462382365724: 6829/19268
10721.95278853746: 6829/19268
10761.478704847648: 6829/19268
10830.767324599476: 6829/19268
10892.964717798122: 6830/19268
10951.363789004843: 6830/19268
11017.844845057947: 6830/19268
11088.5505447555: 6830/19268
11161.583420712726: 6831/19268
11225.432255335081: 6831/19268
11286.618576431285: 6831/19268
11354.892056953711: 6836/19268
11412.740204855018: 6836/19268
11496.6126393059: 6836/19268
11537.982297838002: 6836/19268
11598.21850739828: 6836/19268
11649.278277829619: 6836/19268
11735.321724279813: 6836/19268
11788.216296899347: 6836/19268
11848.545263833197: 6837/19268
11905.504620979656: 6837/19268
11983.963317217218: 6837/19268
12039.818486353248: 6837/19268
12105.055639346829: 6837/19268
12165.586491340051: 6837/19268
12211.082540660756: 6837/19268
12267.363800178207: 6837/19268
12328.700020334134: 6837/19268
12385.887343000524: 6837/19268
12447.520073288919: 6837/19268
12524.934692389546: 6837/19268
12570.875956368734: 6837/19268
12628.22655931479: 6837/19268
12693.462075078134: 6840/19268
12757.518721518507: 6840/19268
12834.979645668516: 6840/19268
12890.133973971982: 6840/19268
12948.087185446126: 6840/19268
13017.398999442043: 6840/19268
13059.73862535276: 6845/19268
13129.492596542726: 6845/19268
13200.109764597304: 6845/19268
13266.818768379113: 6845/19268
13357.395882888963: 6845/19268
13422.818092633923: 6845/19268
13469.928180843068: 6845/19268
13526.157745729013: 6845/19268
13563.679894863832: 6847/19268
13629.376404410348: 6847/19268
13707.485331313577: 6847/19268
13781.28324602812: 6847/19268
13828.98601035866: 6849/19268
13903.423004759146: 6849/19268
13954.470372079188: 6849/19268
14026.815175062815: 6849/19268
14071.795251183936: 6849/19268
14142.099822650365: 6849/19268
14182.546221592005: 6851/19268
14264.822898730441: 6851/19268
14342.217051544147: 6851/19268
14382.740703373756: 6851/19268
14453.372680044582: 6851/19268
14509.645166562043: 6852/19268
14561.412605383062: 6852/19268
14652.91774246017: 6852/19268
14704.056192823333: 6852/19268
14761.757975699586: 6853/19268
14823.406324877025: 6853/19268
14872.115090557429: 6853/19268
14945.071819083623: 6854/19268
15008.341944823895: 6854/19268
15062.399774124216: 6854/19268
15124.585053746108: 6854/19268
15189.384414863958: 6854/19268
15249.208036891605: 6854/19268
15341.42425885141: 6854/19268
15402.907102802448: 6854/19268
15464.466413895343: 6857/19268
15552.216710362616: 6859/19268
15624.679471476407: 6859/19268
15684.626949099382: 6859/19268
15740.11413280962: 6859/19268
15795.351985928699: 6859/19268
15886.01423005738: 6859/19268
15944.858755291558: 6859/19268
15999.987098014666: 6859/19268
16075.038819906511: 6859/19268
16141.081470736422: 6859/19268
16197.524961844687: 6859/19268
16260.866581532526: 6859/19268
16330.762567482026: 6859/19268
16399.621887401052: 6860/19268
16466.64397148856: 6860/19268
16529.505722544385: 6860/19268
16608.793124329044: 6861/19268
16666.38045519891: 6861/19268
16740.99012076355: 6861/19268
16828.262052997863: 6861/19268
16900.567367714735: 6861/19268
16960.868266332127: 6861/19268
17019.219436463245: 6861/19268
17086.666792195087: 6861/19268
17160.804470652285: 6861/19268
17233.823576079325: 6861/19268
17290.77292387966: 6861/19268
17353.714056496916: 6861/19268
17415.242625033403: 6861/19268
17483.694080940742: 6861/19268
17525.34995097666: 6861/19268
17601.826122215843: 6865/19268
17656.43373839606: 6865/19268
17712.778202304: 6866/19268
17793.4080097273: 6866/19268
17847.74077224926: 6869/19268
17883.75136676776: 6869/19268
17952.376656534267: 6869/19268
17999.06487551485: 6869/19268
18041.885373073845: 6870/19268
18124.246846097376: 6870/19268
18190.573582246525: 6871/19268
18235.935792958324: 6871/19268
18296.31657072933: 6871/19268
18386.08327132194: 6871/19268
18444.3779111209: 6871/19268
18502.532098906217: 6874/19268
18576.089768158476: 6874/19268
18638.302863359087: 6874/19268
18710.20143916563: 6874/19268
18768.28476690506: 6874/19268
18830.653215610117: 6874/19268
18898.804084370528: 6874/19268
18939.832133455733: 6874/19268
19000.125695808547: 6876/19268
19072.51441540618: 6876/19268
19141.287012561574: 6876/19268
19202.706644791164: 6877/19268
19263.70697205557: 6877/19268
19300.399987287128: 6877/19268
19347.92233427824: 6877/19268
19403.671275811692: 6877/19268
19487.482713899135: 6877/19268
19549.401105184526: 6877/19268
19613.092657352612: 6877/19268
19673.29475324535: 6877/19268
19744.070727048642: 6877/19268
19786.378435444698: 6877/19268
19857.419717957164: 6877/19268
19929.627072332907: 6877/19268
20010.59957870651: 6878/19268
20060.65024635893: 6878/19268
20142.636533339733: 6879/19268
20197.299923544975: 6879/19268
20267.8622503164: 6879/19268
20330.423569590715: 6883/19268
20380.952132180228: 6883/19268
20438.816793461792: 6883/19268
20516.1047970697: 6883/19268
20568.83581433798: 6883/19268
20633.160054845914: 6883/19268
20692.99146015115: 6883/19268
20751.44285826826: 6883/19268
20814.529305361495: 6883/19268
20881.21565692561: 6883/19268
20933.362306542524: 6883/19268
20982.88468929593: 6883/19268
21073.244432367865: 6883/19268
21125.98401362553: 6883/19268
21200.07874884629: 6883/19268
21242.118340334397: 6883/19268
