12.645984888076782: 18820/47276
29.559579610824585: 20434/47276
44.59271454811096: 20732/47276
60.15552639961243: 21177/47276
77.5518262386322: 21386/47276
87.12664771080017: 21476/47276
104.53597259521484: 21594/47276
130.87772130966187: 22121/47276
154.87693238258362: 22407/47276
167.59662628173828: 22496/47276
183.2590503692627: 22498/47276
199.55183053016663: 22533/47276
215.71025228500366: 22534/47276
229.27835488319397: 22548/47276
238.71078753471375: 22555/47276
257.0329096317291: 22657/47276
266.72528529167175: 22657/47276
281.8913326263428: 22660/47276
299.039030790329: 22691/47276
316.7212438583374: 22710/47276
333.8052520751953: 22724/47276
349.9880647659302: 22771/47276
366.9879765510559: 22795/47276
382.93240213394165: 22795/47276
401.1626799106598: 22814/47276
413.64567255973816: 22815/47276
423.5443651676178: 22815/47276
439.11036133766174: 22816/47276
456.1114892959595: 22825/47276
472.6940610408783: 22826/47276
488.49250507354736: 22826/47276
511.4129958152771: 23113/47276
527.918242931366: 23115/47276
543.5536117553711: 23117/47276
562.3543722629547: 23141/47276
578.5005657672882: 23144/47276
599.9863622188568: 23322/47276
613.0669932365417: 23322/47276
623.039936542511: 23322/47276
632.8812968730927: 23322/47276
648.0711424350739: 23323/47276
666.6729891300201: 23324/47276
686.0403542518616: 23391/47276
704.0362794399261: 23403/47276
728.5442926883698: 23448/47276
748.907933473587: 23449/47276
771.6505217552185: 23449/47276
789.1291410923004: 23449/47276
806.3814218044281: 23449/47276
821.589040517807: 23449/47276
831.800906419754: 23449/47276
846.7949855327606: 23449/47276
864.718389749527: 23473/47276
884.657372713089: 23542/47276
894.8555171489716: 23543/47276
905.9628260135651: 23543/47276
920.7108726501465: 23543/47276
937.1612482070923: 23543/47276
947.7495846748352: 23543/47276
957.7253406047821: 23543/47276
979.9737875461578: 23561/47276
996.7405097484589: 23561/47276
1011.3749969005585: 23561/47276
1031.0215847492218: 23561/47276
1043.894474029541: 23561/47276
1063.2944598197937: 23562/47276
1080.8725035190582: 23581/47276
1101.931791305542: 23581/47276
1118.849152803421: 23595/47276
1134.8649356365204: 23595/47276
1153.0360689163208: 23595/47276
1162.583711385727: 23595/47276
1181.7691056728363: 23596/47276
1198.7983458042145: 23609/47276
1219.6773347854614: 23619/47276
1230.9598379135132: 23623/47276
1251.4296534061432: 23623/47276
1269.25692486763: 23623/47276
1288.478502035141: 23623/47276
1306.3623485565186: 23623/47276
1316.4222803115845: 23623/47276
1325.906257390976: 23623/47276
1340.837746143341: 23623/47276
1350.575320482254: 23623/47276
1367.0042371749878: 23625/47276
1383.9215197563171: 23625/47276
1400.9052784442902: 23625/47276
1419.1676189899445: 23625/47276
1429.5293498039246: 23625/47276
1444.8468952178955: 23625/47276
1454.4834542274475: 23625/47276
1471.4124829769135: 23625/47276
1481.0537266731262: 23626/47276
1490.8668394088745: 23626/47276
1510.4111173152924: 23626/47276
1529.4812972545624: 23631/47276
1548.7639939785004: 23646/47276
1569.7925641536713: 23646/47276
1588.196385383606: 23646/47276
1604.7124996185303: 23646/47276
1616.035608291626: 23646/47276
1635.51544880867: 23647/47276
1650.5036325454712: 23647/47276
1660.4894578456879: 23647/47276
1679.323559999466: 23647/47276
1691.5737986564636: 23647/47276
1707.9313068389893: 23647/47276
1726.0183126926422: 23647/47276
1735.9112055301666: 23647/47276
1751.8469278812408: 23647/47276
1766.9387583732605: 23647/47276
1784.5982291698456: 23647/47276
1802.5661625862122: 23647/47276
1821.586998462677: 23647/47276
1838.769288301468: 23647/47276
1860.0651166439056: 23647/47276
1883.9707489013672: 23647/47276
1899.3374116420746: 23647/47276
1918.2754108905792: 23647/47276
1932.8589005470276: 23651/47276
1950.9308259487152: 23653/47276
1966.8195405006409: 23654/47276
1985.4711349010468: 23654/47276
2015.7990791797638: 23654/47276
2034.1252791881561: 23654/47276
2052.1536214351654: 23654/47276
2067.7057621479034: 23654/47276
2077.6898777484894: 23654/47276
2098.7402760982513: 23654/47276
2116.3180301189423: 23654/47276
2133.4627282619476: 23654/47276
2152.949495077133: 23654/47276
2171.620721578598: 23654/47276
2191.636074066162: 23654/47276
2207.289261341095: 23654/47276
2223.2415573596954: 23654/47276
2238.8915560245514: 23654/47276
2251.078940629959: 23654/47276
2269.3580033779144: 23654/47276
2285.1331453323364: 23654/47276
2303.776997566223: 23654/47276
2316.211188316345: 23654/47276
2330.224577188492: 23654/47276
2340.4077486991882: 23654/47276
2360.7837538719177: 23654/47276
2375.192512989044: 23654/47276
2391.433052301407: 23654/47276
2409.275637149811: 23654/47276
2419.08145737648: 23654/47276
2437.6001970767975: 23654/47276
2454.992714881897: 23654/47276
2469.852100610733: 23654/47276
2486.178815841675: 23654/47276
2503.1161236763: 23654/47276
2518.2962367534637: 23661/47276
2533.2576994895935: 23661/47276
2542.8293488025665: 23661/47276
2560.5123705863953: 23661/47276
2575.5330941677094: 23661/47276
2593.1148941516876: 23661/47276
2612.278867483139: 23661/47276
2630.251079082489: 23661/47276
2648.975434780121: 23661/47276
2664.953236103058: 23661/47276
2680.996593952179: 23661/47276
2699.5054149627686: 23661/47276
2715.3607618808746: 23661/47276
2733.5659596920013: 23661/47276
2743.0990834236145: 23661/47276
2760.190361022949: 23661/47276
2777.4732570648193: 23661/47276
2788.5545954704285: 23661/47276
2806.009365081787: 23661/47276
2821.385885477066: 23661/47276
2839.1497926712036: 23661/47276
2849.259655714035: 23661/47276
2864.5426309108734: 23661/47276
2892.866538286209: 23664/47276
2902.364989042282: 23664/47276
2918.537986755371: 23664/47276
2928.376121044159: 23664/47276
2938.9575374126434: 23664/47276
2950.023859500885: 23664/47276
2959.731364250183: 23664/47276
2976.5679647922516: 23664/47276
2986.1128108501434: 23664/47276
3002.862693309784: 23664/47276
3020.536259651184: 23664/47276
3037.062670469284: 23664/47276
3056.9814224243164: 23664/47276
3066.6701827049255: 23664/47276
3076.10528922081: 23664/47276
3096.2450199127197: 23664/47276
3112.253724336624: 23664/47276
3121.971743583679: 23664/47276
3132.7709732055664: 23664/47276
3155.4720389842987: 23664/47276
3172.35927939415: 23664/47276
3189.50053524971: 23664/47276
3199.526847600937: 23664/47276
3209.5008544921875: 23664/47276
3225.985480070114: 23664/47276
3242.146761894226: 23664/47276
3262.5713517665863: 23664/47276
3286.801374435425: 23664/47276
3296.7627358436584: 23665/47276
3315.8402111530304: 23665/47276
3332.5452864170074: 23665/47276
3342.218360185623: 23665/47276
3351.949230670929: 23665/47276
3370.770426273346: 23665/47276
3386.0794069767: 23665/47276
3397.232717514038: 23665/47276
3417.3870589733124: 23665/47276
3435.0858068466187: 23665/47276
3452.6928350925446: 23665/47276
3469.471615552902: 23665/47276
3491.4443917274475: 23665/47276
3509.075222492218: 23665/47276
3529.6292626857758: 23665/47276
3546.687778234482: 23665/47276
3565.9617545604706: 23665/47276
3575.7989463806152: 23665/47276
3595.6064834594727: 23665/47276
3609.844119787216: 23665/47276
3626.7043414115906: 23665/47276
3638.828234434128: 23665/47276
3657.329465866089: 23665/47276
3669.4155220985413: 23665/47276
3687.629446744919: 23665/47276
3697.483715772629: 23665/47276
3718.1198358535767: 23665/47276
3728.3919072151184: 23665/47276
3744.429153442383: 23665/47276
3761.4865922927856: 23665/47276
3777.1536870002747: 23665/47276
3792.524743080139: 23665/47276
3811.1291217803955: 23665/47276
3830.5254998207092: 23665/47276
3847.311820745468: 23665/47276
3864.4314987659454: 23665/47276
3877.6520454883575: 23665/47276
3899.1536819934845: 23666/47276
3915.5807659626007: 23666/47276
3931.33611035347: 23666/47276
3943.052593231201: 23666/47276
3964.036409139633: 23666/47276
3980.3727254867554: 23666/47276
3996.5087258815765: 23666/47276
4006.5289855003357: 23666/47276
4023.9906561374664: 23666/47276
4041.528731107712: 23666/47276
4058.822028875351: 23666/47276
4078.139319419861: 23666/47276
4097.333448410034: 23666/47276
4116.028793334961: 23666/47276
4132.328402519226: 23666/47276
4142.553359508514: 23666/47276
4159.639209747314: 23666/47276
4179.520219326019: 23666/47276
4197.068801403046: 23666/47276
4213.586340904236: 23666/47276
4234.3838629722595: 23666/47276
4256.786653280258: 23666/47276
4274.485402584076: 23666/47276
4289.862318515778: 23666/47276
4313.83017706871: 23666/47276
4339.897995471954: 23666/47276
4356.819778680801: 23666/47276
4369.282916545868: 23666/47276
4385.33846116066: 23666/47276
4401.249308109283: 23666/47276
4418.22122502327: 23666/47276
4439.8143854141235: 23700/47276
4461.920742034912: 23700/47276
4478.640064239502: 23700/47276
4494.772062301636: 23700/47276
4512.834223270416: 23700/47276
4523.391346693039: 23700/47276
4542.119579553604: 23700/47276
4552.525643110275: 23700/47276
4571.501262664795: 23700/47276
4586.071449518204: 23700/47276
4604.360122203827: 23700/47276
4621.649274587631: 23700/47276
4633.061474084854: 23700/47276
4643.464760065079: 23700/47276
4663.202876567841: 23701/47276
4679.709759712219: 23701/47276
4699.732924699783: 23701/47276
4716.065326452255: 23701/47276
4732.568987131119: 23701/47276
4755.053844690323: 23728/47276
4773.389918804169: 23728/47276
4784.563045978546: 23728/47276
4800.655707359314: 23728/47276
4815.283339738846: 23728/47276
4832.294813156128: 23728/47276
4857.252103328705: 23728/47276
4867.25373339653: 23728/47276
4887.03148317337: 23728/47276
4904.78135228157: 23734/47276
4920.877520561218: 23734/47276
4938.279540300369: 23734/47276
4954.61790895462: 23734/47276
4970.856855392456: 23734/47276
4993.569277763367: 23744/47276
5003.7383234500885: 23744/47276
5013.297643899918: 23744/47276
5031.900074958801: 23744/47276
5049.094098806381: 23744/47276
5065.914722442627: 23744/47276
5079.024569272995: 23744/47276
5089.777115106583: 23744/47276
5101.764217853546: 23744/47276
5118.666727542877: 23744/47276
5145.350574493408: 23744/47276
5161.582115888596: 23744/47276
5175.273549079895: 23744/47276
5191.955092430115: 23744/47276
5201.848739385605: 23744/47276
5215.658863544464: 23744/47276
5232.241633415222: 23744/47276
5248.312980175018: 23744/47276
5261.473629951477: 23744/47276
5283.51310300827: 23745/47276
5305.783407449722: 23745/47276
5315.217620372772: 23745/47276
5330.977020740509: 23745/47276
5350.445478916168: 23745/47276
5361.069652795792: 23745/47276
5370.786108016968: 23745/47276
5387.7680580616: 23745/47276
5402.789197683334: 23745/47276
5420.347049713135: 23745/47276
5441.305405855179: 23745/47276
5458.375239372253: 23745/47276
5476.742705106735: 23745/47276
5493.771997213364: 23745/47276
5510.6963403224945: 23745/47276
5527.146691322327: 23745/47276
5536.693452119827: 23745/47276
5552.643373250961: 23745/47276
