Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_123DeduplicateNextTagSize111applySimpleERKN8solidity6evmasm12AssemblyItemES5_S5_S5_St20back_insert_iteratorISt6vectorIS3_SaIS3_EEE', line_start=680, column_start=4, line_end=680, column_end=61)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_123DeduplicateNextTagSize211applySimpleERKN8solidity6evmasm12AssemblyItemES5_S5_S5_S5_S5_St20back_insert_iteratorISt6vectorIS3_SaIS3_EEE', line_start=652, column_start=4, line_end=652, column_end=61)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_129SimplePeepholeOptimizerMethodINS_23DeduplicateNextTagSize1EE5applyERNS_14OptimiserStateE', line_start=68, column_start=4, line_end=69, column_end=122)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_129SimplePeepholeOptimizerMethodINS_23DeduplicateNextTagSize1EE5applyERNS_14OptimiserStateE', line_start=69, column_start=4, line_end=69, column_end=122)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_129SimplePeepholeOptimizerMethodINS_23DeduplicateNextTagSize2EE5applyERNS_14OptimiserStateE', line_start=68, column_start=4, line_end=69, column_end=122)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_129SimplePeepholeOptimizerMethodINS_23DeduplicateNextTagSize2EE5applyERNS_14OptimiserStateE', line_start=69, column_start=4, line_end=69, column_end=122)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_16OpStop11applySimpleERKN8solidity6evmasm12AssemblyItemES5_St20back_insert_iteratorISt6vectorIS3_SaIS3_EEE', line_start=150, column_start=13, line_end=150, column_end=31)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_17PushPop11applySimpleERKN8solidity6evmasm12AssemblyItemES5_St20back_insert_iteratorISt6vectorIS3_SaIS3_EEE', line_start=103, column_start=33, line_end=103, column_end=45)
Position(function_name='PeepholeOptimiser.cpp:_ZN12_GLOBAL__N_17PushPop11applySimpleERKN8solidity6evmasm12AssemblyItemES5_St20back_insert_iteratorISt6vectorIS3_SaIS3_EEE', line_start=104, column_start=4, line_end=104, column_end=20)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE11shuffleStepIJRS5_IS6_IJZNS3_ISK_EESF_SM_SM_SN_E12PreviousSlotSD_EESaISS_EESM_RSK_EEEbDpOT_', line_start=288, column_start=5, line_end=288, column_end=39)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE11shuffleStepIJRS5_IS6_IJZNS3_ISK_EESF_SM_SM_SN_E12PreviousSlotSD_EESaISS_EESM_RSK_EEEbDpOT_', line_start=289, column_start=5, line_end=289, column_end=31)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE11shuffleStepIJRS5_IS6_IJZNS3_ISK_EESF_SM_SM_SN_E12PreviousSlotSD_EESaISS_EESM_RSK_EEEbDpOT_', line_start=290, column_start=5, line_end=290, column_end=35)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE11shuffleStepIJRS5_IS6_IJZNS3_ISK_EESF_SM_SM_SN_E12PreviousSlotSD_EESaISS_EESM_RSK_EEEbDpOT_', line_start=293, column_start=9, line_end=293, column_end=36)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE11shuffleStepIJRS5_IS6_IJZNS3_ISK_EESF_SM_SM_SN_E12PreviousSlotSD_EESaISS_EESM_RSK_EEEbDpOT_', line_start=330, column_start=47, line_end=330, column_end=56)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZN12_GLOBAL__N_117createIdealLayoutIZNS0_20StackLayoutGenerator30propagateStackThroughOperationESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISD_EERKNS0_3CFG9OperationEbE3$_0EESF_RKSF_SM_T_E17ShuffleOperationsE21dupDeepSlotIfRequiredERSO_', line_start=146, column_start=9, line_end=146, column_end=46)
